FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Masson,Alistair,Carnethy,M,01:12:50
2,Mann,Joe,Highland HR,M,01:17:18
3,Alexander,Sam,Westerlands CCC,M,01:17:28
4,Espie,James,Deeside Runners,M,01:20:25
5,Pulham,Harry,Shettleston H,M,01:20:49
6,Paterson,Jamie,Carnethy,M,01:21:54
7,Crutchfield,Stuart,Westerlands CCC,M,01:22:48
8,Stewart,Iain,Westerlands CCC,M40,01:23:13
9,Hester,Ben,Highland HR,M,01:30:02
10,Downie,Robin,Ochil,M,01:31:24
11,Jones,Ruaridh Oliver,East Sutherland,M,01:31:45
12,Bryson,Gavin,Highland HR,M,01:36:40
13,McInnes,Alasdair,Westerlands CCC,M,01:37:00
14,Smith,Alan,Deeside Runners,M60,01:37:15
15,Otton,Thomas,Carnethy,M,01:37:27
16,Bunn,Fiona,Edinburgh Uni H&H,F,01:38:54
17,Horne,Arran,Northern Fells,M,01:41:07
18,Knox,Lizzie,Carnethy,F,01:42:32
19,MacLennan,Iain,Westerlands CCC,M,01:42:57
20,Thin,Oonagh,Unattached,F,01:43:30
21,Hamlin,Robert,Westerlands CCC,M,01:44:33
22,Robson,Scott,Carnethy,M,01:44:38
23,Morne,Joseph,Unattached,M,01:46:30
24,Renville,Alan,Carnethy,M50,01:48:19
25,McCarthy,Ewan,Unattached,M40,01:48:45
26,Geddes-Barton,Maddie,Unattached,F,01:49:58
27,Garside,Richard,Ochil,M40,01:51:51
28,Hamilton,Tilly,Carnethy,F,01:53:48
29,MacLeod,Scot,Edinburgh Uni H&H,M,01:54:57
30,Taylor,Gordie,Highland HR,M50,01:55:29
31,Reid,Don,Westerlands CCC,M60,01:55:51
32,Gordon,Neil,Carnethy,M,01:57:56
33,Bryan,David,East Sutherland,M50,01:59:31
34,Hetherington,Michelle,Carnethy,F50,02:00:04
35,Moffatt,John,Highland HR,M60,02:03:14
36,Doidge,Kevin,Unattached,M40,02:03:55
37,Cunningham,Kerry,Westerlands CCC,F,02:04:23
38,Foreman,Ella,Deeside Runners,F,02:05:51
39,Coghill,Andy,Highland HR,M,02:19:01
40,Wastnedge,Lizzie,HBT,F,02:22:28
41,Till,Dave,Skye & Lochaber,M60,02:27:49
42,Mccaffery,James,Unattached,M,02:33:21
