RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Bardsley,Ben,Borrowdale Fell Runners,M40,3:07:19
2,Symonds,Joe,Shettleston Harriers,M,3:08:00
3,Jebb,Rob,Helm Hill Runners,M,3:10:33
4,Mikkelsen-Barron,Martin,Borrowdale Fell Runners,M,3:16:55
5,Taggart,Lloyd,Manx Fell Runners,M40,3:17:00
6,Wild,Finlay,Lochaber AC,M,3:19:37
7,Johnson,Oli,Dark Peak,M,3:20:17
8,Gray,Karl,Calder Valley,M40,3:21:27
9,Donnelly,Morgan,Borrowdale Fell Runners,M,3:21:39
10,Roberts,Richard,Eryri Harriers,M,3:21:46
11,Vale,Pete,Mercia,M40,3:21:51
12,Findlay-Robinson,Rhys,Dark Peak,M,3:22:09
13,Gay,Dan,HBT,M,3:25:16
14,Roberts,Mark,Borrowdale Fell Runners,M50,3:25:22
15,Mulholland,Gavin,Calder Valley,M40,3:25:33
16,Faulkner,Paul,Carnethy,M,3:26:06
17,Cale,Steve,Mercia,M,3:26:59
18,Whitlie,Stewart,Carnethy,M50,3:27:32
19,Fallas,Andrew,Carnethy,M,3:28:07
20,Hunt,John,Dark Peak,M40,3:28:46
21,Cornforth,Paul,Borrowdale Fell Runners,M40,3:29:04
22,Watson,Sam,Wharfedale Harriers,M,3:31:44
23,Richmond,Kenny,Shettleston Harriers,M40,3:33:55
24,Eiser,Dave,Ochil Hill Runners,M,3:34:42
25,Anthony,Alasdair,Ochil Hill Runners,M,3:35:26
26,Morgan,Jon,Dark Peak,M40,3:36:25
27,Pyke,Stephen,Dark Peak,M40,3:37:27
28,Neill,Dave,Staffs Moorlands,M50,3:37:41
29,MacInnes,Steven,Carnethy,M,3:41:55
30,Paris,Jasmin,Carnethy,F,3:42:02
31,Birkinshaw,Steve,Borrowdale Fell Runners,M40,3:45:29
32,Fines,Helen,Calder Valley,F,3:46:09
33,Smith,Alan,Deeside Runners,M50,3:46:33
34,Ellis,Tim,Calder Valley,M,3:46:42
35,Gamble,Ed,Cheshire Hill Racers,M40,3:47:21
36,Ward,Dave,Pennine Fell Runners,M,3:47:44
37,Stevenson,Brian,Pudsey & Bramley,M40,3:48:30
38,Schofield,Andrew,Borrowdale Fell Runners,M40,3:48:44
39,Wilby,Dave,Ilkley Harriers,M,3:49:10
40,Jeska,Lauren,Eryri Harriers,F,3:50:02
41,Harper,Kevin,Cosmics,M,3:50:14
42,Holroyd,Martin,Settle Harriers,M40,3:50:49
43,Hill,Chris,Cosmics,M,3:50:56
44,Logue,James,Calder Valley,M40,3:51:21
45,Bland,Gavin,Borrowdale Fell Runners,M40,3:51:51
46,Black,Tim,Calder Valley,M,3:53:21
47,Stewart,Iain,Westerlands,M,3:54:02
48,Walker,Iain,Westerlands,M,3:54:38
49,Small,Russell,Unattached,M40,3:57:11
50,Neill,William,Mercia,M,3:57:44
51,Stenton,Mick,Dark Peak,M50,3:59:08
52,Priestley,Andrea,Ochil Hill Runners,F40,3:59:27
53,Hutchinson,Charles,HBT,M,4:01:28
54,Stansfield,Craig,Rossendale,M40,4:04:16
55,Morgan,Charlotte,Carnethy,F,4:04:16
56,Welsh,Ali,Bowland Fell Runners,M50,4:04:16
57,Williams,Gavin,Dark Peak,M50,4:05:54
58,Jones,Paul,Mercia,M40,4:08:16
59,Bartlett,Anna,Mercia,F40,4:09:17
60,Theaker,Damien,Westerlands,M50,4:10:49
61,Hammond,John,Carnethy,M,4:12:22
62,Smith,Stuart,Cosmics,M,4:12:51
63,Taylor,Robert,Pennine Fell Runners,M60,4:13:27
64,Jepson,Judith,Dark Peak,F40,4:13:52
65,Topalian,Stanley,Westerlands,M,4:14:43
66,Scott,David,Ochil Hill Runners,M50,4:16:14
67,White,David,Kilmarnock Harriers,M40,4:16:19
68,Winter,Stephen,Shettleston Harriers,M,4:16:57
69,Horsfield,Richard,Dark Peak,M50,4:17:12
70,Cassells,Derek,Carnegie Harriers,M,4:17:26
71,Mounsey,Ben,Calder Valley,M,4:17:58
72,Anthony,Eilidh,HBT,F,4:18:20
73,Keeling,David,Cheshire Hill Racers,M50,4:19:42
74,Elmore,Helen,Dark Peak,F40,4:19:54
75,Spinks,Nicky,Dark Peak,F40,4:19:54
76,MacDonald,Grant,Garscube Harriers,M,4:20:10
77,Davis,Adrian,Lomond Hill Runners,M50,4:21:41
78,Holmes,Keith,Dark Peak,M50,4:21:54
79,Watson,Dan,Lochtayside,M40,4:22:11
80,Paterson,Robbie,Moray Road Runners,M,4:23:12
81,Paterson,Ewan,Highland Hill Runners,M60,4:23:12
82,Smithies,Stephen,Calder Valley,M40,4:23:34
83,McGaff,Tom,Cheshire Hill Racers,M50,4:23:46
84,Baistow,Scott,Wharfedale Harriers,M,4:24:46
85,Buchanan,Peter,Ochil Hill Runners,M50,4:28:41
86,Sessford,Tom,Keighley & Craven,M,4:30:57
87,Warhurst,Ian,Pennine Fell Runners,M50,4:31:05
88,Davies,Nicola,Borrowdale Fell Runners,F50,4:31:15
89,Staveley,Andy,Burnden RR,M50,4:31:19
90,Briggs,Geoff,Pennine Fell Runners,M50,4:34:52
91,Wild,Mike,HBT,M,4:35:38
92,Batt,Elizabeth,Dark Peak,F40,4:37:59
93,Hill,Rachel,Wharfedale Harriers,F40,4:39:38
94,Evans,Neah,Westerlands,F,4:42:07
95,Titmuss,James,Pudsey & Bramley,M,4:42:32
96,Mackie,Peter,Shettleston Harriers,M,4:44:40
97,Dodds,Wendy,Clayton Le Moors,F60,4:44:58
98,Heron,Gregor,Carnethy,M40,4:52:12
99,Reid,Michael,Carnethy,M,4:55:42
100,Price,Mel,Mercia,F,4:55:42
101,Pollitt,Martyn,Burnden RR,M50,4:56:58
102,Kneale,Isaline,Burnden RR,F40,4:56:58
103,Watson,Andy,Manx Fell Runners,M40,4:57:07
104,Rennie,Nick,Unattached,M40,4:57:13
105,Taylor,John,Newport & District,M40,4:57:25
106,Booth,Vincent,Cheshire Hill Racers,M40,4:58:05
107,Yule,Steven,Carnethy,M,4:58:33
108,Taylor,Dan,Todmorden Harriers,M,5:00:25
109,Pugh,Roderick,Kilmarnock Harriers,M50,5:00:51
110,Moffat,John,Highland Hill Runners,M50,5:01:49
111,Myers,Gill,Wharfedale Harriers,F50,5:02:46
112,Hall,Kirsty,Ribble Valley Athletic Club,F,5:04:11
113,Oldham,Veronique,Cosmics,F40,5:05:24
114,Tait,Dave,Dark Peak,M60,5:07:26
115,Anderson,Joanne,Carnethy,F40,5:09:50
116,Allison,Bob,Fife AC,M50,5:10:34
117,Calothis,Marinos,Westerlands,M40,5:11:54
118,Burt,Louise,Fife AC,F40,5:13:22
119,Clark,David,Garioch Road Runners,M40,5:14:25
120,Stankiewicz,Rob,Norham RC,M50,5:16:01
121,Dixon,Adrian,FRA,M60,5:16:19
122,Atkin,David,Westerlands,M50,5:21:18
123,Buchanan,Hugh,Central AC,M50,5:21:29
124,Thompson,Fabienne,Perth Road Runners,F40,5:22:59
125,Lennie,Andrew,Carnethy,M50,5:22:59
126,Murdoch,Ray,Lochaber AC,M60,5:25:21
127,Wilson,Colin,Lomond Hill Runners,M50,5:26:36
128,Bailey,Sarah,Keswick AC,F,5:26:44
129,Quigley,James,Unattached,M,5:36:08
130,Finlay,Alayne,Ochil Hill Runners,F,5:43:41
131,Jones,Alex,Pudsey & Bramley,M,5:43:41
132,Stewart,Elaine,Cosmics,F50,5:48:26
133,Rogowski,Andreas,Kinross Road Runners,M40,5:50:38
134,MacEwan,John,Ochil Hill Runners,M40,5:54:26
135,Evans,Ros,Westerlands,F60,5:59:55
136,Douglas,George,Westerlands,M40,6:01:11
137,Hamilton,Anita,Cosmics,F50,6:02:18
138,Taylor,Marcus,Burnden RR,M40,6:03:18
139,Turner,Dave,Lomond Hill Runners,M40,6:03:18
140,Hamer,John,Westerlands,M40,6:03:56
141,Oliver,David,Deeside Runners,M50,6:17:13
142,Clark,Chris,Keswick AC,M60,6:24:07
143,Tunstall,Duncan,Deeside Runners,M50,6:35:37
