RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Symonds,Joe,Shettleston Harriers,M,0:35:00
2,Docwra,Ian,Westerlands,M,0:36:04
3,Stewart,Gregor,Westerlands,M,0:36:55
4,Connaghan,John,Shettleston Harriers,M40,0:38:15
5,Foster,George,Keswick AC,M,0:39:06
6,O`Neill,Owen,Westerlands,M,0:39:42
7,Gilmore,Iain,Carnethy,M,0:40:04
8,Reid,Bob,Gala Harriers,M,0:40:27
9,Fraser,Gary,Ochil Hill Runners,M40,0:40:38
10,Baxter,Grant,Ochil Hill Runners,M40,0:40:47
11,Fraser,Callum,Lochaber AC,M,0:41:34
12,Barton,Neill,Dark Peak,M,0:41:37
13,Callender,James,Westerlands,M,0:41:45
14,MacDonald,Grant,Garscube Harriers,M,0:41:49
15,Hope,Jamie,Unattached,M,0:42:52
16,McAlinden,Niall,Westerlands,M,0:42:59
17,Ewen,Alastair,Bellahouston RR,M40,0:43:11
18,Glendinning,Greig,Bellahouston RR,M40,0:43:18
19,Fraser-Moodie,Ruth,Unattached,F,0:43:46
20,Stevenson,John,Ochil Hill Runners,M50,0:43:58
21,Macdonald,Robbie,Westerlands,M,0:44:16
22,Dickson,David,Westerlands,M50,0:44:36
23,Freshwater,Craig,HBT,M,0:44:44
24,Gilmore,Neil,Carnethy,M50,0:44:46
25,Rankin,Christina,Kilbarchan,F,0:45:28
26,Burt,Cameron,Westerlands,M,0:45:41
27,MacKintosh,Hugh,Lochaber AC,M50,0:46:00
28,Gardner,Simon,Westerlands,M,0:46:03
29,Thurlbeck,Ian,Westerlands,M50,0:46:13
30,Cowan,David,Fife AC,M50,0:46:35
31,Brown,Gareth,North Ayrshire AC,M,0:46:40
32,Robinson,Madeline,Helensburgh AAC,F,0:46:44
33,Wheeler,Mark,Hamilton Harriers,M,0:47:25
34,Watson,Dan,Lochtayside,M40,0:47:40
35,MacInnes,Alasdair,Westerlands,M,0:47:42
36,Pugh,Roderick,Kilmarnock Harriers,M50,0:47:46
37,Eklund,Lars,Unattached,M40,0:47:51
38,Hughes,Ian,Calderglen Harriers,M40,0:48:02
39,Saltums,Arnis,Clydeside Orienteers,M,0:48:23
40,McKiddie,Christopher,Westerlands,M,0:48:32
41,Cameron,Ewan,Westerlands,M,0:48:48
42,Ranford,Susie,Westerlands,F,0:48:51
43,Reid,Richard,Dunoon Hill Runners,M,0:48:53
44,Downham,Elsie,Bellahouston RR,F,0:49:13
45,MacLeod,Murdo,Westerlands,M60,0:49:15
46,Weir,Jonathan,Unattached,M,0:49:24
47,Brodie,Stuart,Ochil Hill Runners,M,0:49:43
48,James,Margo,Westerlands,F50,0:49:51
49,Black,Ali,Carnethy,M,0:49:57
50,Finlay,Alayne,Ochil Hill Runners,F,0:50:10
51,Hetherington,Michelle,Carnethy,F50,0:50:17
52,Kennedy,Nancy,Lochaber AC,F50,0:50:26
53,Cunningham,Lindsay,Milburn Harriers,M40,0:50:51
54,Lampard,Stuart,Unattached,M40,0:50:57
55,MacBeath,Niall,Lochaber AC,M40,0:51:04
56,McCaffrey,Gordon,Westerlands,M60,0:51:05
57,Somerville,Elaine,Bellahouston RR,F40,0:51:13
58,Gilmore,Andrew,Highland Hill Runners,M,0:51:18
59,Bloodworth,Jack,Ochil Hill Runners,M,0:51:24
60,Bowman,Angus,Lomond Hill Runners,M50,0:51:31
61,Maher-McWilliams,Maeve,Westerlands,F40,0:51:53
62,Cunningham,Roddy,Westerlands,M,0:51:58
63,Stakes,David,Unattached,M50,0:52:07
64,Maclean,Robert,Lochaber AC,M40,0:52:09
65,Lymburn,Eric,Unattached,M50,0:53:13
66,Furse,Chris,Westerlands,M40,0:53:37
67,Semple,Hamilton,Westerlands,M60,0:53:53
68,Hanlon,Gerri,Bellahouston RR,M50,0:54:02
69,Macnab,Graham,Lochaber AC,M50,0:54:14
70,Duncan,David,Ochil Hill Runners,M60,0:54:19
71,Bulloch,Gordon,Westerlands,M40,0:54:47
72,Flores,Leyre,Westerlands,F,0:55:19
73,Adams,Elizabeth,Westerlands,F,0:55:59
74,MacGregor,Ruaridh,Unattached,M,0:56:15
75,Britton,Liz,Dark Peak,F,0:56:31
76,Blackley,Lisa,Unattached,F,0:56:50
77,Coyle,Shaun,Westerlands,M50,0:56:52
78,Cooke,Leanne,Westerlands,F,0:57:32
79,Cameron,Bill,Lochaber AC,M40,0:57:38
80,Provan,Jamie,Westerlands,M,0:58:10
81,Haouchine,Carina,Westerlands,F40,0:58:14
82,Hamer,John,Westerlands,M50,0:58:36
83,Polak,Jo,Highland Hill Runners,F50,0:58:40
84,Murdoch,Ray,Lochaber AC,M60,0:58:41
85,Ross,Susan Jane,Lochaber AC,F40,0:58:49
86,Gilligan,Steven,Westerlands,M40,0:59:34
87,MacPherson,Helen,Westerlands,F50,1:00:51
88,Kennedy,Steve,Lochaber AC,M50,1:01:30
89,Midgley,Peter,Westerlands,M50,1:02:02
90,Davidson,Stewart,Fife AC,M60,1:02:27
91,Bowman,Jean,Lomond Hill Runners,F50,1:02:51
92,Fitzpatrick,Bryan,Dunoon Hill Runners,M,1:04:00
93,Campbell,Chris,Unattached,M,1:05:36
94,Douglas,George,Westerlands,M40,1:06:23
95,McNeill,Ruth,Westerlands,F,1:09:04
96,Murdoch,Elma,Lochaber AC,F60,1:17:21
97,Taylor,Sharon,Westerlands,F50,1:18:30
