FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Dickson,Fraser,Unattached,M,00:38:32
2,McCall,Andrew,Greenock Glenpark Harriers,M,00:38:44
3,Young,Del,Westerlands CCC,M,00:39:10
4,Phillips,George,Westerlands CCC,M,00:39:44
5,Morris,Ross,Westerlands CCC,M,00:39:46
6,Marshall,Brian,Haddington,M50,00:40:33
7,Waite,Joe,Westerlands CCC,M,00:40:39
8,MacInnes,Alasdair,Westerlands CCC,M,00:40:44
9,Beresford,Will,Westerlands CCC,M,00:40:49
10,Eisen,Luis,Shettleston Harriers,M,00:41:00
11,McKeeman,Iain,Unattached,M,00:41:02
12,Wilson,Kyle,Greenock Glenpark Harriers,M,00:41:15
13,MacIver,Alasdair,Westerlands CCC,M,00:41:27
14,Gilmore,Iain,Carnethy,M,00:41:44
15,Hogarth,Gavin,Fit Body Farm Freestyles,M,00:41:46
16,Atkinson,Owen,Greenock Glenpark Harriers,M40,00:41:56
17,Poulter,Alwyn,Westerlands CCC,M,00:43:11
18,Jung,David,Unattached,M,00:43:19
19,Karpowicz,Marcin,Portobello,M,00:43:20
20,Sparks,Arron,Highland Hill Runners,M,00:43:20
21,Glencourse,Colin,Kilmarnock Harriers,M40,00:43:25
22,Mooney,Edel,Ochil HR,F40,00:43:47
23,Anderson,Micky,Unattached,M50,00:44:19
24,Blows,Edward,Westerlands CCC,M,00:45:21
25,Gillies,Sam,Carnethy,M,00:45:27
26,Brodie,Stuart,Ochil HR,M40,00:45:30
27,Carrino,Ricci,Fit Body Farm Freestyles,M,00:45:45
28,Stuart,Megan,Westerlands CCC,F,00:45:55
29,Riggans,Liam,Carnethy,M,00:45:56
30,Clarke,Daniel,Ochil HR,M40,00:46:06
31,Mackintosh,Hugh,Lochaber AC,M50,00:46:25
32,Wheeler,Mark,Hamilton Harriers,M40,00:46:38
33,Reid,Don,Westerlands CCC,M60,00:47:05
34,Johnstone,Leo,Unattached,M,00:47:17
35,Ferguson,James,Westerlands CCC,M,00:47:31
36,Plowman,Russell,Ochil HR,M40,00:47:35
37,Williams,Daniel,Westerlands CCC,M,00:47:41
38,Weir,Jonathon,Unattached,M40,00:47:56
39,Garnett,Ian,Unattached,M,00:48:04
40,O'Neill,Owen,Westerlands CCC,M40,00:48:18
41,Lowe,Rob,Westerlands CCC,M,00:48:20
42,Gilmore,Neil,Carnethy,M50,00:48:26
43,Hayward,Gemma,Unattached,F,00:48:54
44,Pelegri,Gerard,Unattached,M,00:49:00
45,Dickson,David,Westerlands CCC,M60,00:49:22
46,Lipton,Gareth,Unattached,M,00:49:49
47,Page,Mike,Unattached,M,00:49:57
48,Shaw,Trevor,Lochtayside,M50,00:50:02
49,Perkins,Rory,Unattached,M,00:50:07
50,Doherty,Daniel,Greenock Glenpark Harriers,M40,00:50:12
51,Black,Ali,Carnethy,M,00:50:20
52,Furse,Chris,Westerlands CCC,M50,00:50:45
53,Gorgas,Steffen,Westerlands CCC,M50,00:50:52
54,Cunningham,Kerry,Westerlands CCC,F,00:50:57
55,Simpson,Stuart,Stornoway,M50,00:52:35
56,Myatt,Rona,Westerlands CCC,F,00:52:17
57,Duncan,David,Ochil HR,M60,00:52:42
58,Boyer,Alistair,Westerlands CCC,M,00:52:48
59,Ward,Ausrine,Kirkintilloch Olympians,F40,00:52:49
60,Leyland,Craig,Unattached,M,00:53:00
61,Lampard,Stuart,Unattached,M50,00:53:38
62,Dickson,Laura,Unattached,F,00:54:27
63,Michal,Rosinski,UKS TC & Motherwell,M,00:55:05
64,Roccato,Lorenzo,Scottish Athletics,M,00:55:29
65,Fitzpatrick,Pat,Ochil HR,M70,00:56:00
66,MacNeill,Sarah,HBT,F,00:56:10
67,Strachan,Paul,Westerlands CCC,M70,00:56:15
68,Easton,Ian,Westerlands CCC,M50,00:56:22
69,McNeish,Anne-Sophie,Kirkintilloch Olympians,F40,00:56:27
70,Tait,Nicola,Glasgow Front Runners,F,00:57:35
71,Fullwood,Andrew,Westerlands CCC,M50,00:57:37
72,Gilmour,Mairi,Westerlands CCC,F,00:57:47
73,Arthur,Jack,Unattached,M,00:57:56
74,Greene,Bran,Unattached,M40,00:58:04
75,Ashworth,Collette,Ochil HR,F40,00:58:11
76,Midgley,Peter,Westerlands CCC,M60,00:58:12
77,Higgins,Ailsa,Cambletown Running,F,00:58:18
78,Rypdal Varnes,Jannike,Glasgow Uni H & H,F,00:59:17
79,Headlam-Morley,Antonia,Glasgow Uni H & H,F40,00:59:33
80,Murray,Rosalind,Westerlands CCC,F40,01:03:59
81,Douglas,George,Westerlands CCC,M50,01:04:42
82,Mcgreevy,Kay,BMF Glasgow,F50,01:04:43
83,Fowler,Paul,Ochil HR,M50,01:05:41
84,Devon,Grant,Unattached,M50,01:05:41
85,Wopat,K.K.,Unattached,F,01:08:25
