RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Mattocks,Craig,Gala Harriers,M,0:46:01
2,Crowe,Jamie,Central AC,M,0:48:49
3,Crowe,Des,Penicuik Harriers,M,0:50:49
4,McCarthy,Donald,BASOC,M,0:51:32
5,Jenkins,Kate,Gala Harriers,F,0:52:48
6,Simpson,Stuart,Stornoway AC,M,0:53:50
7,MacDonald,Alasdair,North Uist AAC,M,0:55:40
8,Macrury,Neil,Stornoway AC,M,0:56:10
9,Black,Graham,North Uist AAC,M,0:57:23
10,Bowman,Angus,Lomond Hill Runners,M,0:58:40
11,MacDougall,Morina,Highland Hill Runners,F,0:58:54
12,Rich,Angus,Unattached,M,1:00:01
13,Ferguson,Angus,Unattached,M,1:04:15
14,MacLean,R,North Uist AAC,M,1:05:14
15,Crowe,Kate,Penicuik Harriers,F,1:06:55
16,Landels,Brian,Lomond Hill Runners,M,1:07:03
17,Spears,Chris,North Uist AAC,M,1:07:09
18,MacDonald,Jonathan,Unattached,M,1:07:45
19,MacIsaac,Lachie,Unattached,M,1:09:15
20,Williamson,Dermot,Garscube Harriers,M,1:09:52
21,Beaton,Gemma,Northumberland FR,F,1:11:39
22,Bowman,Jean,Lomond Hill Runners,F50,1:12:02
23,Cooke,Alex,Unattached,M,1:15:21
24,Froughi,Fazel,North Uist AAC,M,1:15:26
25,MacDonald,Alison,Unattached,F,1:16:20
26,MacInnes,Alex,Unattached,M,1:18:15
27,Williamson,Paula,Garscube Harriers,F,1:24:48
28,Connors,Stephen,Unattached,M,1:24:56
29,Ferguson,Fay,Unattached,F,1:32:46
30,Anslow,Valerie,Wellingborough,F,1:37:09
31,Woodcock,Will,Unattached,M,1:37:21
32,MacDonald,Jonathan,Unattached,M,1:47:45
