RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Simpson,Robert,Shettleston Harriers,M,1:11:33
2,Yells,John,Lochaber AC,M,1:21:16
3,Verduijn,Bjorn,Shettleston Harriers,M,1:21:34
4,Crutchfield,Stuart,Lochaber AC,M,1:21:42
5,Rawlinson,Stephen,Lochtayside,M,1:22:03
6,Cabrera Valdes,Francisco Javier,Highland Hill Runners,M,1:22:22
7,Theaker,Damien,Westerlands,M40,1:29:21
8,Pringle,Stuart,Deeside Runners,M,1:32:14
9,Todd,Euan,Unattached,M,1:33:03
10,MacLeod,Richard,Lochaber AC,M,1:33:25
11,Pringle,Alastair,Shettleston Harriers,M40,1:34:02
12,Waslidge,Neil,Lochaber AC,M40,1:34:37
13,Brown,Helen,Mynydd Du,F40,1:36:40
14,MacKinnon,Barrie,Lochaber AC,M,1:38:10
15,Maclean,Robert,Lochaber AC,M40,1:39:07
16,Martin,Nathan,Lochaber AC,M40,1:40:39
17,Cunningham,Roddy,Westerlands,M,1:42:15
18,Taylor,Gordie,Lochaber AC,M50,1:42:45
19,Shaw,Lyndsey,Lochaber AC,F40,1:43:15
20,MacBeath,Niall,Lochaber AC,M40,1:44:01
21,Reid,Don,Westerlands,M50,1:46:14
22,Gilmour,Andrew,Unattached,M,1:47:13
23,MacDonald,Brian,Lochaber AC,M,1:49:56
24,MacPhail,Catherine Joanne,Anster Haddies,F,1:51:15
25,Flores,Leyre,Westerlands,F,1:51:34
26,Wilson,Colin,Lomond Hill Runners,M50,1:52:08
27,Douglas,George,Westerlands,M50,1:54:00
28,MacKinnon,Vikki,Lochaber AC,F,1:55:21
29,Ross,Susan Jane,Lochaber AC,F40,1:57:00
30,Wilson,Joan,Lomond Hill Runners,F50,1:57:59
31,Bradley,Siobhan,Lochaber AC,F,1:58:55
32,Hamilton,Jim,Lochaber AC,M40,1:59:48
33,Valentine,Chloe,Lochaber AC,F40,2:00:32
34,Tighe,Mick,Lochaber AC,M60,2:02:18
35,Murdoch,Lucy,Unattached,F40,2:06:18
36,Tighe,Katharine,Lochaber AC,F50,2:07:08
37,Jaberoo,David,Unattached,M,2:08:09
38,Pearce,Emma,Lochaber AC,F50,2:11:53
39,Murdoch,Ray,Lochaber AC,M60,2:12:34
40,Niciu,Cristina,Unattached,F,2:44:52
