RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Whitehead,Dan,Deeside Runners,M,0:30:21
2,Mitchell,Craig,Vegan Runners,M,0:30:35
3,Cammack,Robbie,Moray Road Runners,MJ,0:30:47
4,Rogan,Paul,Moray Road Runners,M,0:32:01
5,Stewart,Mike,Keith & District AAC,M40,0:32:33
6,Cowie,Kyle,Central AC,M,0:32:37
7,Green,Colin,Moray Road Runners,M,0:33:44
8,Gill,Stephen,Keith & District AAC,M,0:33:56
9,Cox,Steven,Keith & District AAC,MJ,0:33:57
10,Whitehead,Clare,Deeside Runners,F,0:34:25
11,Angus,Gerald,Keith & District AAC,M40,0:35:45
12,McGhee,Jim,Forres Harriers,M40,0:37:11
13,Taylor,Steven,Keith & District AAC,M,0:37:28
14,Morrison,Sam,Forres Harriers,M50,0:38:17
15,Duncan,Sandy,Unattached,M40,0:39:04
16,Morrison,Graeme,Unattached,M50,0:39:28
17,Dearman,Mike,Cairngorm Runners,M,0:40:54
18,Beharrell,Malcolm,Nairn Road Runners,M40,0:41:07
19,Duncan,Scott,Unattached,M,0:41:57
20,Beattie,Andy,Forres Harriers,M40,0:42:22
21,Whitehead,Andy,Unattached,M40,0:43:02
22,Milmoe,Michael,Forres Harriers,M50,0:43:07
23,Stewart,Jim,Lochaber AC,M50,0:43:27
24,Corrigan,Paul,Royal Navy AC,M50,0:44:39
25,Main,Dave,Unattached,M,0:45:02
26,Byrne,Anthony,Unattached,M,0:45:27
27,Drury,Chris,Keith & District AAC,M40,0:45:31
28,Lees,John,Unattached,M40,0:45:48
29,Smith,Malcolm,Keith & District AAC,M40,0:45:56
30,Hendry,Philip,Unattached,M,0:46:05
31,Burn,Stewart,Forres Harriers,M50,0:46:21
32,Cameron,Andy,Unattached,M,0:46:53
33,Russell,Eric,Unattached,M,0:47:09
34,Laing,Willie,Unattached,M40,0:48:13
35,Ness,Kevin,Unattached,M,0:49:21
36,Miller,Paul,Inverness Harriers,M,0:49:50
37,Dunnett,Wenzel,Keith & District AAC,M60,0:57:49
