FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Masson,Alastair,Carnethy ,M,01:56:24
2,Vokes,Philip,Unattached,M,02:03:20
3,Milton,Sam,Moray Road Runners,M,02:06:20
4,Thornton,Alastair,Ochil Hill Runners,M,02:11:27
5,Davies,Andrew,Ochil Hill Runners,M40,02:11:32
6,Howie,Robin,Highland Hill Runners,M,02:13:46
7,Yells,John ,Lochaber AC,M,02:14:39
8,Livesey,Ben,RAF,M40,02:15:35
9,Morgan,Tim,Carnethy ,M,02:16:28
10,Lang,Naomi,Aberdeen AAC,FU23,02:17:02
11,Lamont,Andrew,Carnethy ,M40,02:18:45
12,Richardson,Chris,Metro Aberdeen,M,02:24:10
13,Muir,Jonny,Carnethy ,M40,02:26:10
14,Cymbalista,Pawel,Lochaber AC,M,02:28:57
15,Horrocks,Sophie,Carnethy ,F,02:29:15
16,Gilmore,Andrew,Highland Hill Runners,M,02:31:35
17,Wilson,Euan,Insch TRC,M,02:32:00
18,Baird,Colin,Moray Road Runners,M,02:36:41
19,Ashworth,James,Ochil Hill Runners,M50,02:37:23
20,Cooper,Meryl,Deeside Runners,F,02:37:32
21,Stephen,Kevin,Insch TRC,M40,02:37:51
22,Rogan,Andrew,Moray Road Runners,M,02:38:30
23,Ockenden,John,HBT,M,02:38:37
24,Henderson,Walter,Shettleston Harriers,M50,02:40:23
25,Smith,Alan,Deeside Runners,M60,02:41:38
26,Barclay,David,Garioch Road Runners,M40,02:42:08
27,Bain,Martin ,Moray Road Runners,M40,02:42:40
28,Padilla,Monica,Highland Hill Runners,F,02:43:27
29,Barnes,Ross,JSK Running Club,M40,02:45:01
30,Butterworth,Callum,HBT,F,02:46:02
31,Turnbull,Jon,Strathearn Harriers,M,02:46:22
32,Williamson,Jason,Cosmics,M50,02:46:48
33,McCleary,Jeff,Deeside Runners,M,02:47:09
34,Wilson,Stewart,Highland Hill Runners,M50,02:48:17
35,Oldham,Veronique,Cosmics,F50,02:50:05
36,Mackay,Isla,Lochaber AC,F,02:50:16
37,Belton-Schure,Aidan,HBT,M,02:54:22
38,Sheehan,Ruari,Insch TRC,M,02:55:26
39,Little,Rachel ,Insch TRC,F40,02:55:34
40,Bryan,David,East Sutherland AC,M50,02:55:46
41,Allen,Lynne,Unattached,F,02:56:28
42,Ormerod,Sarah,Carnethy ,F,03:01:26
43,Macpherson,Rory,Cosmics,M50,03:01:39
44,Baxter,Ros,Deeside Runners,F40,03:02:06
45,Ingram,Richard ,Cosmics,M40,03:02:37
46,Lachovicz,Dani,Carnethy ,F40,03:04:38
47,Mackinnon,Chris,Unattached,M40,03:05:17
48,Chapman,Andrew ,Cosmics,M40,03:07:43
49,Taylor,Gordie,Highland Hill Runners,M50,03:08:34
50,Rogan,Kirsty,Highland Hill Runners,F,03:09:29
51,Devereux-Cole,Micheal,Moray Road Runners,M,03:11:19
52,Smith,Lynn,Cosmics,F50,03:11:28
53,Robertson,Hugh,Insch TRC,M40,03:13:46
54,Moffat,John,Highland Hill Runners,M60,03:14:39
55,Ritchie,Hilary ,Fife AC,F50,03:15:21
56,Hamilton,Ian,Cosmics,M60,03:16:58
57,Lowder,Cathy,Unattached,F40,03:17:19
58,Beckett,David,Unattached,M,03:17:39
59,Stockton,Mark,Cosmics,M40,03:18:29
60,Johnson,Ian,Lochaber AC,M60,03:20:16
61,May,Steve,Keith Jog Scotland,M40,03:20:51
62,Walkingshaw,Nina,Unattached,F40,03:23:13
63,Dick,Alan,Cosmics,M50,03:28:04
64,Cruickshank,Greig ,JSK Running Club,M60,03:28:24
65,Prentice,Stuart,Unattached,M,03:28:44
66,Blake,Holly,Unattached,F,03:29:32
67,Johnson,Stephen,Milburn Harriers,M60,03:31:03
68,Dalton,Mark ,Team Hardmoors,M50,03:37:13
69,Rattray,Ed,Dufftown Jog Scotland,M60,03:37:17
70,Black,Corri,Unattached,F50,03:40:51
71,Wilson,Alison,Highland Hill Runners,F50,03:51:33
72,Lewis,Gavin,Keith Jog Scotland,M50,03:51:35
73,Till,Dave,Skye and Lochalsh,M60,04:00:18
74,Main,Gordon ,Moray Road Runners,M60,04:06:48
75,Stoddard,Kathryn,Unattached,F,04:26:01
