FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Howie,Robin,Highland Hill Runners,M,00:58:27
2,Battle,Hamish,Metro Aberdeen ,M,01:00:18
3,Oliver-Jones,Ruairdh,East Sutherland AC,M,01:03:02
4,Hill,Christopher,Cosmics,M40,01:04:17
5,Wilson,Euan,Insch TRC,M,01:05:14
6,Marshall,Brian,Haddington,M50,01:07:00
7,Cruickshank,Jordan,Metro Aberdeen ,M,01:07:19
8,Howorth,Charles,Stonehaven RC,M,01:07:29
9,Walls,David,Unattached,M,01:09:10
10,Lorimer,Hayden,HBT,M50,01:10:43
11,Cooper,Meryl,Unattached,F,01:10:51
12,Hargreaves,Stephen,Steel City Striders RC,M40,01:11:47
13,Gilbertson,Will,Unattached,M,01:12:40
14,Terwey,Stephen,Stonehaven RC,M40,01:13:01
15,Black,Keith,Montrose Flyers,M40,01:14:35
16,Doidge-Harrison,Steve,Unattached,M40,01:14:42
17,Reynolds,Dean,Insch TRC,M,01:15:32
18,Junor,Martin,Unattached,M40,01:15:40
19,Dozier,Laura,Unattached,F,01:15:52
20,Padilla,Monica,Highland Hill Runners,F,01:16:20
21,Barron,Liam,Insch TRC,M,01:16:21
22,Mclean,Nick,Insch TRC,M,01:16:48
23,Reid,Matthew,Unattached,M,01:17:22
24,Perry,Ross,Stonehaven RC,M,01:17:45
25,Macfadyen,Gary,Forres Harriers,M50,01:18:00
26,Cameron,Hilary,Unattached,F50,01:19:53
27,Sell,Scott,Stonehaven RC,M40,01:19:57
28,Macgillivray,Mark,Stonehaven RC,M50,01:20:16
29,Mann,Phil,Unattached,M40,01:20:22
30,Elton,Steven,Unattached,M40,01:20:26
31,Mcdonald,Dennis,Cosmics,M50,01:20:35
32,Cook,Mal,Insch TRC,M40,01:20:37
33,Little,Rachel,Insch TRC,F40,01:20:38
34,Gray,Simon,Unattached,M40,01:20:47
35,Morrison,David,Metro Aberdeen ,M40,01:20:56
36,Smith,Stephen,Unattached,M40,01:21:05
37,Watters,Dee,Unattached,F,01:21:26
38,Wild,Jason,Unattached,M50,01:21:58
39,Mark,Forbes,Unattached,M50,01:22:05
40,Muir,Amy,Stonehaven RC,F,01:22:09
41,Ipsen,Poul,Insch TRC,M40,01:22:11
42,Taylor,Lucy,Unattached,F,01:22:14
43,Chalmers,Quintin,Metro Aberdeen ,M40,01:22:41
44,Ingram,Richard,Garioch Road Runners,M40,01:22:48
