RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Gilmore,Iain,Carnethy,M,0:04:19
2,McVey,Alex,Carnethy,M,0:04:26
3,Gilmore,Andrew,Highland Hill Runners,M,0:04:27
4,Fraser,Gary,Ochil Hill Runners,M40,0:04:29
5,Mathieson,Gordon,Anster Haddies,M,0:04:38
6,Elder,David,Lomond Hill Runners,M,0:04:42
7,Wiseman,Bob,Ochil Hill Runners,M,0:04:46
8,Knox,Thomas,Anster Haddies,M,0:05:00
9,Fallon,Steven,Carnethy,M50,0:05:12
10,Brodie,Stuart,Ochil Hill Runners,M,0:05:13
11,Knox,Jonny,Anster Haddies,M50,0:05:15
12,Harris,Mark,Fife AC,M40,0:05:40
13,Chalmers,David,Kinross Road Runners,M,0:05:45
14,Gilmore,Neil,Carnethy,M50,0:05:55
15,Weir,Jonathan,Unattached,M,0:05:56
16,Knox,Lizzie,Anster Haddies,F,0:05:57
17,Greig,Rory,Carnegie Harriers,M,0:05:58
18,Brown,Jamie,HBT,M,0:05:59
19,Davis,Duncan,Carnethy,M40,0:06:08
20,Reid,Don,Westerlands,M50,0:06:17
21,Brennan,Brian,Westerlands,M50,0:06:31
22,Sword,Lawrence,Unattached,M40,0:06:38
23,Duncan,David,Ochil Hill Runners,M60,0:06:49
24,Elder,Alan,Moorfoot Runners,M50,0:07:04
25,Shaw,Trevor,Lochtayside,M50,0:07:17
26,Blackley,Lisa,Unattached,F,0:08:19
