RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Anthony,Alasdair,Ochil Hill Runners,M ,0:13:07
2,Wellock,Ian,HBT,M ,0:13:26
3,Naylor,Donald,HBT,M ,0:13:42
4,Ward,Adam,Carnethy,M40,0:13:54
5,Nixon,Mark,Edinburgh Uni H&H,M ,0:14:01
6,Fallon,Steven,Carnethy,M40,0:14:08
7,Mowbray,Phil,HBT,M ,0:14:19
8,Cammack,Robbie,Moray Road Runners,MJ,0:14:21
9,Hart,Al,HBT,M ,0:14:27
10,Gallagher,Ronnie,Carnethy,M40,0:14:51
11,Stevenson,John,Ochil Hill Runners,M40,0:15:12
12,Wiseman,Bob,Ochil Hill Runners,M ,0:15:14
13,Smith,Bruce,Carnethy,M40,0:15:39
14,Milne,Ross,Lothian,M ,0:15:40
15,Glencorse,Colin,Kilmarnock Harriers,M ,0:16:04
16,Stevenson,Jamie,Ochil Hill Runners,MJ,0:16:06
17,Warman,Julian,HBT,M ,0:16:22
18,Reid,Don,Westerlands,M40,0:16:31
19,Durn,Chris,Carnethy,M40,0:16:38
20,Hulme,Martin,Corstorphine,M50,0:16:42
21,McBurney,Craig,HBT,M ,0:16:51
22,Oldham,Veronique,Cosmics,F40,0:16:56
23,MacLeod,Murdo,Westerlands,M40,0:16:59
24,Norwood,Tim,Corstorphine,M ,0:17:01
25,Waterhouse,Bob,Carnethy,M50,0:17:12
26,Barr,Tom,HBT,M ,0:17:14
27,Jenkins,Kate,Gala Harriers,F,0:17:18
28,Burns,Keith,Carnethy,M60,0:17:19
29,Bouchier,Shane,Carnethy,M ,0:17:24
30,Rogers,David,Westerlands,M40,0:17:41
31,Kelly,Graham,Westerlands,M ,0:17:56
32,Paton,Derek,Carnethy,M ,0:18:00
33,Buchanan,Hugh,Central AC,M40,0:18:15
34,Young,Archie,Unattached,M50,0:18:24
35,Caban,Paul,Ferranti AC,M40,0:18:27
36,Magee,Billy,Larne AC,M60,0:18:33
37,Holding,Hilary,Carnethy,F,0:18:34
38,Anthony,Eilidh,HBT,F,0:18:36
39,Smith,Fraser,Unattached,M ,0:18:40
40,Buchanan,Catriona,Ochil Hill Runners,FJ,0:18:41
41,O`Brien,Paul,Corstorphine,M40,0:18:47
42,Robertson,Jane,Westerlands,F40,0:18:52
43,Howie,Brian,Carnethy,M50,0:18:56
44,Ledlie,Colin,Carnethy,M40,0:19:07
45,Wellings,John,Unattached,M50,0:19:11
46,Gatehouse,Richard,Lomond Hill Runners,M50,0:19:19
47,Buchanan,Andrina,Unattached,F40,0:19:24
48,Smith,Donald,Westerlands,M ,0:19:26
49,Campbell,Ian,HBT,M40,0:19:49
50,Kaushal,Jason,Holmfirth Harriers,M40,0:19:56
51,Pritchard,Colin,Carnethy,M60,0:20:21
52,McCullough,Lindsay,Unattached,M50,0:20:27
53,O`Brien,Phyllis,HBT,F40,0:20:48
54,Orr,Graeme,Westerlands,M50,0:20:52
55,Downie,Chris,Penicuik Harriers,M40,0:21:00
56,Sabiston,Kevin,The Bicycleworks,M40,0:21:04
57,Wilkinson,Michael,Carnethy,M40,0:21:33
58,McManus,Ian,Irvine RC,M60,0:21:43
59,Cox,Byron,HBT,M40,0:21:49
60,Lathe,Richard,Carnethy,M50,0:22:00
61,Thomas,Robin,HBT,M50,0:22:29
62,Stapley,Tony,Portobello,M60,0:22:43
63,Turnbull,Drew,Westerlands,M60,0:22:49
64,O`Hara,John,Corstorphine,M40,0:23:15
65,Reid,Victoria,Westerlands,F,0:25:02
66,Soran,Al,HBT,M40,0:25:23
