RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Owens,Tom,Shettleston Harriers,M,0:31:08
2,Paul,Cameron,Arran Runners,M,0:34:30
3,Wales,James,Kilmarnock Harriers,M,0:35:30
4,Conner,Sean,Galloway Harriers,M,0:37:38
5,Conway,Craig,Shettleston Harriers,M,0:39:10
6,Mcnee,Ian,Troon Tortoises,M,0:40:46
7,Drain,Alex,Troon Tortoises,M,0:43:18
8,Dowell,Finlay,Irvine RC,M,0:43:52
9,Miller,Bobby,Troon Tortoises,M,0:44:07
10,Emsley,Paul,Arran Runners,M,0:44:36
11,Tait,Gayle,Tinto Hill Runners,F,0:44:52
12,Davidson,Iain,Girvan Harriers,M,0:45:37
13,Taylor,Andy,Kilmarnock Harriers,M,0:45:59
14,Murray,Christopher,Unattached,M,0:46:59
15,McKinlay,John,Troon Tortoises,M,0:47:17
16,Mullen,Jimmy,Unattached,M,0:48:04
17,Macdougall,Ken,Tinto Hill Runners,M,0:49:02
18,Brown,Murray,Unattached,M,0:49:27
19,Noble,Anne,Troon Tortoises,F,0:49:40
20,King,Michael,Unattached,M,1:01:24
