RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Alexander,Sam,Westerlands,M,0:48:05
2,Kerr,David,Highland Hill Runners,M40,0:52:13
3,Williamson,Jason,Cosmics,M40,0:53:13
4,Knight,Paul,Metro Aberdeen,M,0:53:58
5,Stevens,Brett,Unattached,M,0:54:06
6,Main,Darren,Unattached,M40,0:55:39
7,Molloy,Stephen,Unattached,M,0:57:41
8,Oldham,Veronique,Cosmics,F50,0:57:59
9,McFadzean,Peter,Deeside Runners,M40,0:58:57
10,Wallis,Sally,Deeside Runners,F,0:59:29
11,Newman,Miles,Deeside Runners,M50,1:00:24
12,Mackinnon,Martin,Cosmics,M40,1:00:35
13,Brettle,Matt,Cosmics,M40,1:00:46
14,McDonald,Fiona,Cosmics,F40,1:01:09
15,Inglis,Magnus,Gala Harriers,M40,1:01:47
16,Mottram,Kevin,Insch Trail Running Club,M40,1:02:24
17,Parson,Simon,Unattached,M50,1:02:46
18,Matthews,Clive,Cosmics,M,1:03:06
19,Strachan,Graham,Metro Aberdeen,M40,1:03:11
20,Colegrave,John,Cosmics,M60,1:03:23
21,Kammer,Philip,Cosmics,M60,1:04:01
22,Foster,Andy,Unattached,M,1:04:23
23,Entwistle,Marie,Deeside Runners,F40,1:06:15
24,Baxter,Ros,Deeside Runners,F40,1:07:38
25,Duncan,David,Ochil Hill Runners,M60,1:10:41
26,O`Toole,Sarah,Cosmics,F,1:12:32
27,Harper,Claire,Cosmics,F40,1:14:16
28,Hay,Richard,Unattached,M40,1:15:20
29,Walker,Angela,Insch Trail Running Club,F50,1:15:42
30,Smith,Linda,Unattached,F50,1:16:48
31,Ipsen,Caroline,Insch Trail Running Club,F40,1:17:01
32,Smith,Steven,Jog Scotland,M50,1:20:42
33,Leslie,Judy,Unattached,F50,1:22:23
34,Bryce,Murray,Cosmics,M60,1:23:43
35,Aitken,Gordon,Unattached,M40,1:24:42
36,Ferguson-Jones,Kirsten,Unattached,F,1:28:46
37,Brazewell,Stuart,Unattached,M,1:37:17
38,Yuill,Andre,Deeside Runners,M,1:37:21
