RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,McGuire,Ryan,Ochil Hill Runners,M,0:24:19
2,Low,Matthew,Shettleston Harriers,M,0:26:17
3,Bird,Matt,Portobello,M,0:26:37
4,Beresford,Will,Westerlands,M,0:26:46
5,Cuthbertson,Mark,Ochil Hill Runners,M40,0:26:51
6,Connor,Phil,Unattached,M,0:26:56
7,Denny,Scott,Unattached,M,0:27:01
8,McIntyre,Euan,Unattached,M,0:27:25
9,Campbell,Jack,Central AC,M,0:27:40
10,Buchanan,Catriona,Ochil Hill Runners,F,0:27:58
11,King,Steven,Carnegie Harriers,M40,0:28:07
12,Williams,Phil,Central AC,M40,0:28:20
13,Simpson,Peter,Carnegie Harriers,M60,0:28:25
14,Wheeler,Mark,Hamilton Harriers,M40,0:28:28
15,Findlay,Alan,Stirling Tri Club,M50,0:28:54
16,Cross,Jon,Ochil Hill Runners,M50,0:29:07
17,Coombs,Richard,Ochil Hill Runners,M50,0:29:09
18,Samphier,Oliver,Unattached,M40,0:29:10
19,Beresford,Lucinda,Westerlands,F,0:29:23
20,Longhurst,Gary,Forth Valley Orienteers,M60,0:29:33
21,Weir,Jonathan,Unattached,M40,0:29:56
22,Bass,Owen,Solway,M50,0:30:16
23,Holland,Lee,Carnegie Harriers,M50,0:30:23
24,Watson,Dan,Lochtayside,M50,0:30:25
25,Pryde,Gordon,Lomond Hill Runners,M60,0:30:26
26,Inman,Jason,Ochil Hill Runners,M40,0:30:38
27,Latimer,Rob,Unattached,M40,0:30:42
28,Mccarron,Christopher,Calderglen Harriers,M,0:30:58
29,Glendinning,Greig,Bellahouston RR,M40,0:31:08
30,Buchanan,Hugh,Unattached,M50,0:31:18
31,Cockburn,Gary,Unattached,M50,0:31:21
32,Finlayson,Malcolm,Falkirk Victoria Harriers,M50,0:31:36
33,Mcguire,Bob,Unattached,M50,0:31:40
34,Jarvis,Emily,Unattached,F,0:31:42
35,Duncan,Ritchie,Unattached,M,0:31:53
36,Cunningham,Jack,Unattached,M,0:31:58
37,Dillon,Mike,Unattached,M40,0:32:03
38,Williams,Jim,Unattached,M,0:32:06
39,Shaw,Trevor,Lochtayside,M50,0:32:13
40,Best,Michelle,Carnegie Harriers,F40,0:32:31
41,Miller,Brian,Carnegie Harriers,M40,0:32:53
42,Osfield,Robert,Squadra Porcini,M50,0:33:05
43,Hay,Sarah,Unattached,F,0:33:09
44,Kelsall,Fiona,Ochil Hill Runners,F50,0:33:14
45,Davies,Jason,Ochil Hill Runners,M40,0:33:28
46,Hay,Lynsey,Linlithgow Harriers,F,0:33:32
47,Scott,Tom,Fife AC,M70,0:33:37
