RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Prasad,Prasad,Squadra Porcini,M,0:59:28
2,Harvey,Craig,Squadra Porcini,M40,1:06:19
3,Glendinning,Greig,Bellahouston RR,M40,1:07:52
4,Upson,Chris,Westerlands,M40,1:10:36
5,Mitchell,Scott,Westerlands,M,1:11:15
6,Attila,Emmer,Vasas-Humansoft,M,1:13:19
7,Findlay,Alan,Stirling Tri Club,M40,1:13:24
8,Macgregor,Gregor,Unattached,M,1:16:37
9,Brooks,Mike,Penicuik Harriers,M40,1:16:41
10,Osfield,Robert,Squadra Porcini,M40,1:16:44
11,Brannan,Tosh,Lothian,M40,1:17:35
12,Irwin,Larry,Unattached,M,1:20:36
13,Hector,Alice,Stirling University,F,1:21:23
14,Love,Gary,Strathclyde Fire & Rescue,M40,1:25:02
15,Kirkaldy,George,Strathclyde Fire & Rescue,M40,1:25:09
16,Hale,Matt,SPRA Canicross,M,1:25:18
17,Mackinnon,Euan,Carnethy,M,1:25:34
18,McEleney,Rodger,Giffnock North,M40,1:25:42
19,Dimmer,Andrew,Unattached,M40,1:25:47
20,Weir,Jonathan,Unattached,M,1:26:13
21,Wylie,Alison,Unattached,F,1:27:21
22,Williams,Rupert,Cosmics,M40,1:27:43
23,Latimer,Rob,Unattached,M,1:30:54
24,Martin,Alastair,Unattached,M40,1:31:13
25,Johnston,Alistair,Unattached,M40,1:36:47
26,Jumelle,Jean,Carnethy,M40,1:37:15
27,Neville,Alexander,Fredericton Fast Tracks,MJ,1:37:47
28,Johnston,Sheila,Unattached,F40,1:37:51
29,Mathieson,Shelley,Unattached,F,1:39:55
30,Yaqub,Zia,Unattached,M40,1:41:12
31,Neville,John,Unattached,M40,1:42:52
32,Doak,Christopher,Bellahouston RR,M,1:42:53
33,Coyle,Caroline,Unattached,F,1:43:58
34,Kidd,Arnott,Edinburgh Tri Club,M40,1:45:31
35,Frater,Martin,Unattached,M,1:47:06
36,Mallin,Gerda,Cairngorm Runners,F40,1:48:11
37,McGonnell,Paul,Unattached,M40,1:51:50
38,Mueller,Judith,Morfelden Waldorf,F,1:52:59
39,Bisset,Michael,Unattached,M,1:58:34
40,Underhill,Neil,GH3,M40,1:58:52
41,Mallin,Trudy,Southampton AC,F,1:59:47
42,Morrison,Anna,Unattached,F,2:01:38
43,McGonnell,Mark,Unattached,M40,2:01:45
44,Kinlough,James,Unattached,M,2:08:55
45,Rigby,Sandra,Unattached,F,2:09:56
46,Dodgson,Beverley,Jog Scotland,F40,2:16:35
47,Rizza,Wendy,Bristol & West AC,F,2:37:27
