RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Crowe,Des,Penicuik Harriers,M40,0:22:56
2,Bennet,Sandy,Unattached,M40,0:23:44
3,Bass,Owen,Solway,M40,0:24:21
4,Tullie,John,Teviotdale Harriers,M50,0:24:36
5,Waldie,James,HBT,MJ18,0:24:43
6,Reid,Don,Westerlands,M50,0:25:04
7,Martin,Neil,Lomond Hill Runners,M40,0:25:11
8,Geoghegan,Michael,Portobello,M,0:25:11
9,Welsh,Ali,Bowland Fell Runners,M40,0:25:21
10,Stevenson,John,Ochil Hill Runners,M40,0:25:23
11,Heron,Gregor,Carnethy,M40,0:25:44
12,Cameron,Gordon,Carnethy,M50,0:25:59
13,Anderson,Laurie,Lomond Hill Runners,M50,0:26:01
14,Balfour,Eddie,Moorfoot Runners,M40,0:26:54
15,Wilson,Colin,Lomond Hill Runners,M40,0:27:24
16,Begley,Tommy,Irvine RC,M40,0:27:53
17,Brennan,Brian,Westerlands,M50,0:28:01
18,Bowman,Angus,Lomond Hill Runners,M50,0:28:19
19,MacLeod,Murdo,Westerlands,M50,0:28:47
20,Scott,Cameron,Carnethy,M40,0:28:58
21,Diver,Michael,Clydesdale Harriers,M40,0:29:21
22,Evans,Neah,Westerlands,F,0:29:23
23,Shiell,Dougie,Unattached,M50,0:29:23
24,Mason,Andrew,Unattached,M,0:29:26
25,Weir,Jonathan,Unattached,M,0:29:32
26,Smith,Alastair,Dundee Hawkhill,M,0:29:45
27,Evans,Malcolm,Westerlands,M60,0:29:58
28,McFarlane,Steven,Carnethy,M40,0:30:01
29,Bowie,Tom,Unattached,M60,0:30:16
30,Wilson,Joan,Lomond Hill Runners,F40,0:30:22
31,Reynolds,Colin,Carnegie Harriers,M40,0:31:24
32,Howie,Brian,Carnethy,M60,0:31:42
33,Gatehouse,Richard,Lomond Hill Runners,M50,0:31:46
34,Evans,Ros,Westerlands,F60,0:32:09
35,Macdougall,Ken,Tinto Hill Runners,M,0:32:13
36,Eunson,Paul,Portobello,M50,0:32:28
37,Bennet,Lynne,Unattached,F40,0:32:48
38,West,Alison,Carnegie Harriers,F50,0:32:51
39,Crowe,Kate,Penicuik Harriers,F40,0:32:56
40,Nowicki,Michael,Carnethy,M,0:33:06
41,Whitehead,Jonathan,Carnethy,M50,0:33:45
42,Bass,Ursula,Deeside Runners,F40,0:34:46
43,Oliver,Chris,HBT,M60,0:34:46
44,Smith,Janice,HBT,F50,0:35:08
45,Bowman,Jean,Lomond Hill Runners,F50,0:35:49
46,Stapley,Tony,Portobello,M60,0:36:38
47,Winning,Jennifer,Lomond Hill Runners,F,0:37:06
48,McManus,Ian,Irvine RC,M60,0:42:28
