RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Lennox,Gordon,Inverness Harriers,M,1:08:31
2,Wilby,David,Highland Hill Runners,M,1:09:38
3,Campbell,Ross,Highland Hill Runners,M,1:10:28
4,Wilby,Andrew,Highland Hill Runners,M40,1:12:40
5,Keith,Alec,Inverness Harriers,M50,1:12:53
6,Bannerman,Ross,East Sutherland,M40,1:16:30
7,Craighead,Scott,Carnethy,M,1:16:41
8,Hansen,Helge,Inverness Harriers,M,1:17:37
9,Harrison,Samuel,Bowland Fell Runners,M,1:17:57
10,Nicolson,William,Highland Hill Runners,M,1:18:05
11,Smith,Alan,Deeside Runners,M50,1:19:11
12,Nixon,Ross,Inverness Harriers,M40,1:19:21
13,Schijf,Mann,Unattached,M,1:20:32
14,MacKintosh,Hugh,Lochaber AC,M50,1:21:07
15,Cabrera Valdes,Francisco Javier,Highland Hill Runners,M,1:21:24
16,Mackie,Chris,Highland Hill Runners,M,1:21:27
17,Wilson,Stewart,Highland Hill Runners,M40,1:21:46
18,Macmillan,Gavin,Lochaber AC,M,1:22:12
19,Maclennan,Iain,Highland Hill Runners,M40,1:22:38
20,Buchanan,Kenneth,Highland Hill Runners,M,1:23:04
21,O`Hagan,Andrew,Lochaber AC,M,1:23:57
22,Forrest,Stuart,Highland Hill Runners,M,1:24:02
23,Gertig,Helen,Inverness Harriers,F,1:24:44
24,Taylor,Gordie,Lochaber AC,M50,1:27:21
25,Campbell,Graeme,Inverness Harriers,M40,1:28:06
26,Marwick,Caroline,Inverness Harriers,F,1:29:07
27,Clark,David,Cosmics,M40,1:30:55
28,Dobbs,Simon,Moray Road Runners,M50,1:31:39
29,Calder,Graham,Unattached,M40,1:32:00
30,Ritchie,Charles,Cambridge and Coleridge,M50,1:32:20
31,Higginbottom,Jacqui,Carnethy,F40,1:33:07
32,Hopkins,Claire,Carnethy,F,1:34:30
33,Renville,Alan,Carnethy,M40,1:34:48
34,Hulme,Martin,Corstorphine,M60,1:36:56
35,Maclean,Robert,Lochaber AC,M40,1:37:00
36,Connich,Callum,Unattached,M,1:37:35
37,Matthewson,Alastair,Highland Hill Runners,M40,1:38:18
38,Turner,Neil,Skye & Lochalsh RC,M40,1:38:21
39,Clark,Lesley,Cosmics,F40,1:38:30
40,Connolly,Michael,Lochaber AC,M60,1:39:12
41,Wilby,Raymond,Highland Hill Runners,M70,1:39:32
42,Maclean,Robert,Ross County AC,M50,1:40:00
43,Bradley,Ed,Highland Hill Runners,M40,1:40:13
44,Gaff,Melanie,Wester Ross Athletics,F,1:40:24
45,Burns,Paul,Carnethy,M40,1:41:19
46,Williams,Rupert,Cosmics,M50,1:42:15
47,Munro,Scott,Lochtayside,M,1:42:56
48,Conner,Andrew,Helm Hill Runners,M40,1:43:11
49,Macrury,Neil,Stornoway AC,M50,1:43:53
50,Macnab,Graham,Lochaber AC,M50,1:44:02
51,Campbell,Doreen,Inverness Harriers,F40,1:44:07
52,Douglas,David,Highland Hill Runners,M40,1:45:25
53,Smith,Alan,Highland Hill Runners,M,1:45:43
54,Mackay,Blair,East Sutherland,M,1:46:00
55,Falconer,Helen,Portobello,F,1:46:25
56,Fleming,Gibson,Westerlands,M70,1:50:33
57,Macmillan,Ross,Lochaber Jog Scotland,M,1:53:27
58,Campbell,Rod,Cosmics,M60,1:54:18
59,Fraser,Graham,Unattached,M40,1:56:22
60,Cameron,Bill,Lochaber AC,M40,1:57:12
61,Smith,Linda,Moray Road Runners,F50,1:58:10
62,Panelli,Alessio,Unattached,M40,2:23:42
63,Kitson,Aileen,Lochaber AC,F50,2:28:30
64,Murdoch,Elma,Lochaber AC,F60,2:29:14
65,Murdoch,Ray,Lochaber AC,M60,2:29:14
66,Coelho,Jenni,Moray Road Runners,F40,2:31:29
