RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Chepelin,Alexander,Carnethy,M,1:03:31
2,Bonnyman,Brian,Westerlands,M40,1:15:09
3,Stewart,Mike,Keith & District AAC,M50,1:15:33
4,Henry,Peter,Deeside Runners,M,1:16:22
5,Walker,Alistair,Deeside Runners,M,1:16:44
6,Davis,Adrian,Lomond Hill Runners,M50,1:17:39
7,Provan,Stephanie,Deeside Runners,F,1:17:40
8,Knight,Paul,Metro Aberdeen,M,1:17:57
9,Maclennan,Iain,Highland Hill Runners,M40,1:18:07
10,Pugh,Richard,Unattached,M,1:18:16
11,Smith,Alan,Deeside Runners,M50,1:19:15
12,Young,Martin,Deeside Runners,M,1:21:16
13,Murray,Rory ,Cosmics,M,1:21:51
14,Inglis,Andrew,Cosmics,M,1:21:55
15,Williamson,Jason,Cosmics,M40,1:22:04
16,Comber,Ayron,Deeside Runners,M40,1:22:09
17,Lennox,Isaac,Unattached,M,1:22:15
18,Murray,Rab,The Darkside,M50,1:22:57
19,Kerridge,Donald,Deeside Runners,M50,1:23:36
20,Gillies,Michael,Unattached,M,1:23:46
21,Simpson,Geoff,HBT,M50,1:24:01
22,Chepelin,Evgueni,Grampian Orienteers,M50,1:24:18
23,Urquhart,John,Moray Road Runners,M50,1:24:32
24,Davidson,Gregor,Lochaber AC,M,1:24:34
25,Walker,Neil,Altrincham,M,1:24:37
26,Kelly,Jason,Stonehaven RC,M,1:25:36
27,More,Dave,Metro Aberdeen,M40,1:25:53
28,McLure,Neil,Carnegie Harriers,M50,1:26:03
29,McDonald,Dennis,Cosmics,M50,1:26:56
30,Stockton,Mark,Cosmics,M,1:27:02
31,Gray,Patrick,Unattached,M,1:27:31
32,Oldham,Veronique,Cosmics,F50,1:28:07
33,Sell,Scott,Stonehaven RC,M,1:29:00
34,Lang,Richard,Cosmics,M40,1:29:25
35,Ferguson,Allan,Forfar Road Runners,M,1:29:47
36,Ord,Steven,Deeside Runners,M40,1:29:47
37,Larmour,Colin,Cosmics,M50,1:31:10
38,Popple,Steve,Highland Hill Runners,M50,1:31:18
39,Hitchen,John,Highland Hill Runners,M40,1:31:29
40,Maclean,Robert,Lochaber AC,M40,1:32:04
41,Ingram,Richard,Cosmics,M40,1:32:09
42,Anderson,Craig,Metro Aberdeen,M40,1:32:36
43,Henderson,David,Stonehaven RC,M40,1:32:48
44,Monk,Kenny,Garioch Road Runners,M40,1:33:00
45,Angus,Gerald,Keith & District AAC,M50,1:34:29
46,Wright,Hazel,Deeside Runners,F,1:35:42
47,Hawkins,Ian,Fife AC,M50,1:36:12
48,Tandy,Mark,Deeside Runners,M40,1:37:14
49,Aitken,Joe,Insch Trail Running Club,M,1:37:17
50,Ritchie,Hilary,Fife AC,F50,1:37:19
51,Ballantyne,Rich,Montrose Triathlon Club,M,1:37:42
52,Gill,Stephen,Keith & District AAC,M40,1:38:25
53,Roy,Scott,Unattached,M40,1:38:35
54,Bowman,Angus,Lomond Hill Runners,M60,1:38:55
55,Entwistle,Marie,Deeside Runners,F40,1:39:11
56,Fielding,Debbie,Cosmics,F,1:39:25
57,Aitken,Richard,Highland Hill Runners,M40,1:40:08
58,Rendall,Erin,Metro Aberdeen,F,1:40:17
59,Mackinnon,Martin,Cosmics,M40,1:40:35
60,Bryce,Rebecca,Cosmics,F,1:40:36
61,Duncan,David,Ochil Hill Runners,M60,1:42:36
62,McLeod,Lucy,Metro Aberdeen,F,1:42:54
63,Forte,Phil,Dundee Hawkhill,M60,1:43:23
64,Erskine,Alec,Cosmics,M50,1:43:44
65,Milne,Ron,Forfar Road Runners,M60,1:43:56
66,Cumming,Mike,Fife AC,M,1:44:24
67,Oliver,David,Deeside Runners,M50,1:44:44
68,Scott,Jocelyn,Fife AC,F60,1:45:37
69,Black,Corri,Cosmics,F40,1:46:05
70,Irvine,Rob,Cosmics,M50,1:46:22
71,Battle,Joe,Deeside Runners,M50,1:47:19
72,Kelly,Louise,Stonehaven RC,F50,1:47:20
73,McLennan,Gavin,Metro Aberdeen,M,1:47:33
74,Gaff,Melanie,Cairngorm Runners,F,1:48:11
75,Fraser,Ronald,Dundee Road Runners,M50,1:50:57
76,Martin,Clare,Deeside Runners,F50,1:51:13
77,Khan,Mohammed,Dumfries RC,M,1:51:32
78,Walker,Grant,Vegan Runners,M,1:52:02
79,Clark,Sarah,Forfar Road Runners,F,1:52:13
80,Grainger,Moira,Fife AC,F50,1:52:38
81,Steel,John,Stonehaven RC,M50,1:53:09
82,Muir,Amy,Stonehaven RC,F,1:53:30
83,Oliver,Jane,Deeside Runners,F50,1:53:32
84,Bass,Ursula,Deeside Runners,F40,1:54:05
85,McGovern,Mora,Unattached,F,1:57:11
86,Dick,Alan,Aberdeen AAC,M50,1:59:22
87,Murdoch,Ray,Lochaber AC,M60,2:02:42
88,Preece,Ben,Deeside Runners,M70,2:05:31
89,Davidson,Stewart,Fife AC,M60,2:09:27
90,Bowman,Jean,Lomond Hill Runners,F50,2:10:04
91,Milne,Elizabeth,Forfar Road Runners,F50,2:10:19
92,Kenward,Deborah,Forfar Road Runners,F50,2:11:43
93,Johnston,Alison,HBT,F50,2:11:57
94,Wallace,Liz,Banchory Running Club,F60,2:12:30
95,Walker,Dale,Unattached,M,2:14:28
96,Vigrow,Alan,Dundee Hawkhill,M50,2:22:56
