RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Smith,Tom,Lochaber AC,M,0:18:45
2,Mitchell,Craig,Vegan Runners,M,0:19:42
3,Smith,Alan,Deeside Runners,M50,0:20:15
4,Poll,Bruce,Lochaber AC,M,0:20:20
5,Bossard,Michael,Lochaber AC,M,0:21:01
6,Binnie,John,Lochaber AC,M40,0:21:04
7,Paterson,Donald,Lochaber AC,M,0:21:22
8,Bass,Owen,Solway,M40,0:22:12
9,MacDonald,David X,Lochaber AC,M,0:22:18
10,Blomfield,Oliver,Eden Runners,M,0:22:24
11,Blackhall,Keith,Lochaber AC,M40,0:22:30
12,Forbes,Craig,Lochaber AC,M,0:22:35
13,MacAlistair,Kenny,Lochaber AC,M,0:22:44
14,MacBeath,Niall,Lochaber AC,M40,0:22:46
15,Bell,Michael,Lochaber AC,M40,0:22:51
16,MacDonald,Gary,Lochaber AC,M,0:23:03
17,Beagrie,Joe,Lochaber AC,M40,0:23:12
18,Forster,Damian,Lochaber AC,M40,0:23:32
19,Stewart,John,Lochaber AC,M40,0:23:41
20,Hague,Peter,Cairngorm Runners,M40,0:23:53
21,Shaw,Lyndsey,Lochaber AC,F,0:23:56
22,Duncan,David,Ochil Hill Runners,M50,0:24:14
23,Weir,Jonathan,Unattached,M,0:24:15
24,Maitland,John,Lochaber AC,M40,0:24:40
25,Campbell,Brian,Lochaber AC,M50,0:25:42
26,Forster,Nix,Lochaber AC,F40,0:25:47
27,Murdoch,Ray,Lochaber AC,M60,0:26:00
28,Graham,Leigh,Unattached,M,0:27:11
29,Stewart,Jim,Lochaber AC,M60,0:27:22
30,Smith,Tilly,Deeside Runners,F50,0:27:35
31,Cameron,Andrew,Lochaber AC,M40,0:27:52
32,Morgan,Sharyn,Lochaber AC,F,0:27:55
33,Ross,Susan Jane,Lochaber AC,F40,0:28:06
34,Orr,Ernie,Lochaber AC,M60,0:28:24
35,Kennedy,Nancy,Lochaber AC,F50,0:28:39
36,Bass,Ursula,Deeside Runners,F40,0:28:48
37,Hamilton,Jim,Lochaber AC,M40,0:29:38
38,Downey,Colin,Mercia,M50,0:29:42
39,Tighe,Katharine,Lochaber AC,F40,0:29:42
40,Milmoe,Michael,Forres Harriers,M50,0:30:08
41,Steele,Stuart,Lochaber AC,M,0:30:44
42,Jardine,Jimmy,Lochaber AC,M70,0:30:47
43,MacInnes,Karen,Lochaber AC,F40,0:31:19
44,Gardiner,Fiona,Lochaber AC,F40,0:31:34
45,Kitson,Aileen,Lochaber AC,F50,0:31:52
46,Kirkdale,Brian,Hastings Runners,M50,0:32:23
47,Paul,Brenda,Westerlands,F,0:39:13
