RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Bryson,Gavin,Highland Hill Runners,M,0:39:14
2,Bee,Graham,Inverness Harriers,M,0:41:26
3,Keith,Alec,Inverness Harriers,M50,0:42:38
4,Whiteside,Gavin,Highland Hill Runners,M40,0:43:14
5,Gardiner,Stuart,Inverness Harriers,M,0:43:26
6,Newlands,Bryan,North Highland Harriers,M,0:44:35
7,Forrest,Stuart,Highland Hill Runners,M,0:44:47
8,McIntyre,Steven,Highland Hill Runners,M40,0:45:02
9,Pearks,David,Highland Hill Runners,M40,0:45:29
10,Grant,Rhona,Highland Hill Runners,F,0:45:46
11,Hoult,Michael,Ross County AC,M40,0:45:54
12,Wallace,Craig,Highland Hill Runners,M,0:47:32
13,Sutherland,Darren,North Highland Harriers,M,0:47:34
14,MacLaren,Paul,Unattached,M40,0:47:38
15,Macgruger,Kenny,North Highland Harriers,M,0:47:42
16,Macdonald,Dougie,Highland Hill Runners,M40,0:48:13
17,Paterson,Paul,Inverness Harriers,M,0:48:16
18,MacCulloch,Stuart,Inverness Harriers,M,0:48:23
19,Rees,Halina,Fife AC,F,0:48:27
20,MacPherson,John,Unattached,M,0:48:49
21,Grant,Neil,Unattached,M40,0:48:54
22,Fraser,Peter,Inverness Harriers,M,0:48:55
23,Orr,David,North Highland Harriers,M40,0:48:59
24,Dempster,Douglas,Unattached,M,0:49:02
25,Parker,Graham,Highland Hill Runners,M40,0:49:53
26,Chatburn,Richard,Highland Hill Runners,M40,0:50:00
27,Fiddes,Ben,Inverness Harriers,M,0:51:34
28,Moffat,John,Highland Hill Runners,M50,0:52:38
29,Macrae,Ritchie,Highland Hill Runners,M,0:52:47
30,Bee,Megan,Highland Hill Runners,F,0:53:05
31,Sneddon,George,Highland Hill Runners,M50,0:53:49
32,Gardiner,Heather,Inverness Harriers,F50,0:54:00
33,Sutherland,Amy,North Highland Harriers,F,0:54:12
34,MacFadyen,Gary,Forres Harriers,M50,0:54:03
35,Matheson,Caryn,Inverness Harriers,F,0:58:09
36,Perry,Ross,Highland Hill Runners,M,0:59:21
37,Dunnett,Sophie,North Highland Harriers,F50,1:00:43
38,Farnell,Carrie,Inverness Harriers,F,1:05:24
39,Wright,Laura,Triathlon Inverness,F,1:06:36
40,MacRae,William,Highland Hill Runners,M60,1:06:37
41,Sanchez-Garcia,Oscar,Unattached,M40,1:07:38
42,Bernal,Nia,North Highland Harriers,F40,1:16:17
