RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Gilmore,Andrew,Highland Hill Runners,M,1:00:33
2,Stewart,Iain,Westerlands,M,1:00:56
3,Smith,Alan,Deeside Runners,M50,1:02:17
4,Gilmore,Iain,Carnethy,M,1:02:28
5,Parrish,David,Dumfries RC,M,1:02:40
6,Haworth,Jim,Galloway Harriers,M40,1:03:30
7,Winter,Stephen,Shettleston Harriers,M,1:05:25
8,Cox,Andrew,Moorfoot Runners,M,1:07:01
9,Anderson,Adam,Hartfell HRC,M40,1:07:13
10,Morgan,Charlotte,Carnethy,F,1:08:07
11,Dickie,Adam,Dumfries RC,M,1:09:05
12,Sills,Ian,Dunbar RC,M40,1:11:20
13,Gilmore,Neil,Carnethy,M50,1:11:48
14,Bass,Owen,Solway,M50,1:11:58
15,McCloskey,Terry,Dumfries RC,M,1:12:31
16,Plummer,Kevin,Hartfell HRC,M40,1:12:55
17,Robertson,Ally,Carnethy,M,1:13:31
18,Webster,Andrew,Solway,M,1:13:47
19,McRobert,John,Hardrock Hoodlums,M,1:14:07
20,Fairgrieve,Andy,Annan & District AC,M40,1:14:21
21,Goldsworthy,John,Hardrock Hoodlums,M50,1:14:53
22,Burns,Garry,Hardrock Hoodlums,M,1:14:56
23,Spence,Alan,Dumfries and Galloway Tri Club,M,1:15:25
24,Bloxham,Alistair,Dumfries RC,M,1:16:11
25,Anderson,Laurie,Lomond Hill Runners,M50,1:16:47
26,Robson,John,Annan & District AC,M50,1:17:59
27,McLachlan,Richard,Hardrock Hoodlums,M,1:18:54
28,Wilson,Oliver,Hartfell HRC,M,1:18:54
29,Webster,Phoebe,Unattached,F,1:19:21
30,Milligan,Douglas,Solway,M60,1:20:45
31,Stitt,John,Hardrock Hoodlums,M40,1:21:53
32,Wilson,Joan,Lomond Hill Runners,F50,1:22:01
33,Priest,Steven,Unattached,M,1:22:48
34,Connor,Julia,Unattached,F,1:23:44
35,Thomas,Ranjit,Dumfries RC,M40,1:24:25
36,Singh,Shirley,Hardrock Hoodlums,F40,1:26:00
37,Kellock,James,Dumfries RC,M40,1:26:04
38,Douglas,George,Westerlands,M40,1:26:30
39,Parker,Craig,Solway,M40,1:26:41
40,Wilson,Colin,Lomond Hill Runners,M50,1:26:50
41,McMinn,Sean,Dumfries RC,M,1:27:12
42,Murgatroyd,Ian,Solway,M50,1:27:57
43,McKay,Craig,Unattached,M50,1:28:46
44,Gordon,Nick,Solway,M40,1:30:20
45,Duncan,David,Ochil Hill Runners,M50,1:31:12
46,Hill,Les,Dumfries RC,M50,1:33:01
47,Stakes,David,Unattached,M50,1:33:40
48,Macdougall,Ken,Tinto Hill Runners,M40,1:36:06
49,Smith,Tilly,Deeside Runners,F50,1:37:03
50,Macdougall,Colin,Tinto Hill Runners,M40,1:40:07
51,Creighton,Alan,Annan & District AC,M50,1:42:32
52,Bass,Ursula,Deeside Runners,F40,1:44:02
53,Turner,Ian,Solway Orienteers,M60,1:47:05
54,Skachill,Frank,Dumfries RC,M50,1:47:31
