RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,McLeod,Alasdair,Shettleston Harriers,M,0:42:57
2,Smith,Tom,Lochaber AC,M,0:46:45
3,Sedgwick,Nick,Lochaber AC,M,0:47:09
4,Bannerman,Ross,East Sutherland,M40,0:48:34
5,Marshall,Brian,HELP,M50,0:49:10
6,Smith,Alan,Deeside Runners,M50,0:50:54
7,Wilson,Stewart,Highland Hill Runners,M40,0:52:54
8,Binnie,John,Lochaber AC,M40,0:53:40
9,Thompson,Ben,Lochaber AC,M,0:53:44
10,MacBeath,Niall,Lochaber AC,M40,0:57:13
11,Kennedy,Ali,Lochaber AC,M50,0:57:28
12,Dodman,Ben,Lochaber AC,M,0:57:50
13,Stalker,Jim,Lochaber AC,M50,1:00:05
14,Forster,Damian,Lochaber AC,M40,1:00:56
15,Munro,David,Lochaber AC,M40,1:01:10
16,MacDonald,David J,Lochaber AC,M,1:01:49
17,Lamont,Allan,Lochaber AC,M,1:01:57
18,Gardiner,Paula,Westerlands,F40,1:02:10
19,MacKay,Isla,Lochaber AC,FU18,1:02:49
20,Denny,Colin,Lochaber AC,M50,1:02:53
21,Macmillan,Gavin,Lochaber AC,M,1:03:35
22,Thompson,Fiona,Lochaber AC,F,1:03:37
23,Duncan,David,Ochil Hill Runners,M50,1:06:13
24,Forster,Nix,Lochaber AC,F40,1:07:23
25,Treasurer,Jim,Lochaber AC,M60,1:07:25
26,Smith,Jo,Lochaber AC,F,1:08:58
27,Tighe,Mick,Lochaber AC,M60,1:10:31
28,Stewart,Jim,Lochaber AC,M60,1:10:40
29,Ross,Susan Jane,Lochaber AC,F40,1:11:25
30,Pearce,Emma,Lochaber AC,F40,1:13:26
31,Munro,Gemma,Lochaber AC,F,1:13:34
32,Smith,Helen,Lochaber Jog Scotland,F40,1:13:48
33,Gardiner,Fiona,Lochaber AC,F40,1:14:00
34,Collins,Richard,Lochaber AC,M40,1:14:14
35,Davie,Bruce,Lochaber AC,M40,1:16:24
36,Macdermott,Martin,Unattached,M40,1:22:32
37,Aitken,Morag,Lochaber AC,F40,1:23:11
38,Treasurer,Claire,Lochaber AC,F,1:26:22
39,Boswell,Roger,Lochaber AC,M60,1:31:06
40,Hamilton,Pamela,Lochaber AC,F40,1:33:41
41,Smith,Elaine,Lochaber AC,F,1:33:41
