RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Henry,Peter,Deeside Runners,M,0:36:00
2,Marshall,David,Cosmics,M,0:36:31
3,Wright,Joseph,Deeside Runners,MJ,0:37:57
4,Ross,Jamie,Deeside Runners,M40,0:38:01
5,Stockton,Mark,Cosmics,M,0:38:21
6,Kerridge,Donald,Deeside Runners,M40,0:39:24
7,Young,Martin,Deeside Runners,M,0:40:14
8,Hirst,David,Deeside Runners,M50,0:40:17
9,Sheridan,Bob,Deeside Runners,M40,0:40:22
10,Hyland,Liam,Deeside Runners,M,0:41:13
11,Wallis,Sally,Deeside Runners,F,0:41:24
12,Smith,Alan,Deeside Runners,M50,0:41:56
13,Croll,David,Deeside Runners,M50,0:42:09
14,Coombs,Roger,Deeside Runners,M50,0:42:20
15,Arthur,Dermid,Unattached,M50,0:42:24
16,Comber,Ayron,Deeside Runners,M40,0:42:26
17,McMahon,Frankie,Deeside Runners,MJ,0:42:26
18,Chapman,Jake,Deeside Runners,MJ,0:43:06
19,Ingram,Richard,Cosmics,M40,0:43:32
20,Ingram,Richard,Cosmics,M40,0:43:32
21,Tandy,Mark,Deeside Runners,M40,0:43:49
22,De Boer,Izzy,Unattached,M,0:43:51
23,Larmour,Colin,Cosmics,M50,0:43:55
24,Wilson,Ian,Cosmics,M40,0:44:16
25,McMahon,Martin,Deeside Runners,M40,0:44:29
26,Entwistle,Marie,Deeside Runners,F40,0:44:48
27,Weir,Jonathan,Unattached,M,0:45:56
28,Hamilton,Ian,Cosmics,M50,0:46:03
29,Oliver,David,Deeside Runners,M50,0:46:13
30,Brennan,Brian,Westerlands,M60,0:46:17
31,Henderson,Katie,Deeside Runners,F,0:46:24
32,Wright,Hazel,Deeside Runners,F,0:46:35
33,Mason,John,Banchory Running Club,M50,0:47:28
34,McLeod,Lucy,Metro Aberdeen,FJ,0:47:48
35,Mason,Abigail,Deeside Runners,FJ,0:48:37
36,Kirk,Lachlan,Grampian Orienteers,MJ,0:48:38
37,McLeod,Roddy,Metro Aberdeen,M40,0:49:15
38,Bennett,Alan,MAROC,M40,0:49:30
39,Gooch,Matthew,MAROC,MJ,0:50:55
40,Kirk,David,Grampian Orienteers,M40,0:52:25
41,Martin,Clare,Deeside Runners,F50,0:52:44
42,Wright,Denise,Deeside Runners,F50,0:54:01
43,Stirton,Joe,Deeside Runners,M50,0:54:55
44,Stewart,Elaine,Cosmics,F50,0:56:34
45,Serrell,Patrick,Unattached,M,0:58:08
