RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Lennox,Jethro,Shettleston Harriers,M,0:34:08
2,Anthony,Alasdair,Ochil Hill Runners,M,0:34:17
3,Owens,Tom,Shettleston Harriers,M,0:35:02
4,Gillespie,Matthew,Shettleston Harriers,M,0:35:29
5,McCarthy,Ewan,Unattached,M,0:35:52
6,Haines,Hector,HBT,M,0:36:12
7,Richmond,Kenny,Shettleston Harriers,M,0:36:56
8,Stevenson,Jamie,Ochil Hill Runners,M,0:36:58
9,Mitchell,Craig,Vegan Runners,M,0:37:09
10,McLennan,Ross,Ochil Hill Runners,M,0:37:09
11,Jones,Alex,Fife AC,M,0:37:53
12,Mudge,Angela,Carnethy,F,0:37:54
13,Riach,David,Westerlands,M40,0:38:16
14,Tolson,Jonathan,Dundee University,M,0:38:41
15,Sutherland,Matthew,North Highland Harriers,M,0:38:54
16,Smith,Alan,Deeside Runners,M40,0:39:16
17,Johnston,Mark,Carnethy,M,0:39:47
18,Ross,Dougal,Bellahouston RR,M,0:39:49
19,Jack,Ewan,Ochil Hill Runners,M,0:39:57
20,Glencorse,Colin,Kilmarnock Harriers,M,0:39:58
21,Winter,Stephen,Shettleston Harriers,M,0:40:00
22,Cowie,Kyle,Central AC,M,0:40:03
23,McGougan,Duncan,Scottish Prison Service,M40,0:40:09
24,Prasad,Elke,Squadra Porcini,F,0:40:17
25,Warnock,Robert,Wee County Harriers,M40,0:40:18
26,Goddard,Roger,Strathearn Harriers,M,0:40:27
27,Arnott,Neil,Carnegie Harriers,M,0:40:49
28,Upson,Chris,Westerlands,M40,0:41:05
29,O`Neill,Owen,Westerlands,M,0:41:16
30,Cross,Jon,Ochil Hill Runners,M40,0:41:20
31,Hensman,Will,Central AC,M,0:41:27
32,Connor,Brad,Ochil Hill Runners,M,0:41:30
33,Spence,Crawford,Westerlands,M,0:41:32
34,Neil,Craig,Stirling University,M,0:41:36
35,Johnston,Graham,Strathearn Harriers,M,0:41:37
36,Anderson,Russell,Moorfoot Runners,M40,0:41:38
37,Cowper,Stephen,Milburn Harriers,M40,0:41:41
38,Cartmell,Blair,Stirling University,M,0:41:43
39,Thin,Jamie,HBT,M,0:41:54
40,Triger,Simon,Westerlands,M,0:41:59
41,Buchanan,Catriona,Ochil Hill Runners,F,0:42:14
42,Bradford,Daniel,Glasgow Uni H&H,M,0:42:15
43,Priestley,Andrea,Ochil Hill Runners,F40,0:42:20
44,Lewis,Ian,Shettleston Harriers,M,0:42:22
45,Scholes,John,Unattached,M40,0:42:26
46,Walder,Patrick,Shettleston Harriers,M,0:42:32
47,Halpin,Shaun,Unattached,M40,0:42:41
48,Kelly,Graham,Westerlands,M,0:42:42
49,O`Brien,Paul,Corstorphine,M40,0:42:48
50,Reid,Don,Westerlands,M50,0:43:00
51,Inman,Jason,Ochil Hill Runners,M,0:43:04
