FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Tosh,Samuel,Carnethy,MS,01:31:16
2,Masson,Alister,Carnethy,MS,01:33:22
3,Cooper,Keiren,Cambuslang,MS,01:35:56
4,Sedman,Eliot,Carnethy,M40,01:40:03
5,Mon-Williams,Ruaridh,Edinburgh Uni,MS,01:40:16
6,Adkin,Scout,Moorfoots,FS,01:40:33
7,Fraser,Gary,Ochil HR,M50,01:42:06
8,Reid,Michael,Carnethy,M40,01:42:20
9,Flanagan,Dessie,Carnethy,M40,01:42:43
10,Whitlie,Stewart,Carnethy,M50,01:44:43
11,Mackie,Peter,Shettleston,M40,01:50:03
12,Baxter,Grant,Ochil HR,M50,01:50:36
13,Cooper,Richard,Cambuslang,M50,01:51:28
14,Carter,Justin,Cambuslang,M40,01:51:37
15,Sharkey,Drew,Carnethy,M50,01:51:58
16,Smith,Alan,Deeside,M60,01:52:06
17,Marwick,Caroline,Highland HR,FS,01:52:38
18,Allsop,David,Kirkintilloch,M40,01:53:50
19,Anderson,Adam,Hartfell HR,M50,01:54:08
20,Elise-Horrocks,Sophie,Unattached,FS,01:56:21
21,Patterson,Ian,Whisky Chasers,M50,01:57:48
22,Wilson,Rob,Penicuik,M50,01:58:10
23,Park,Adam,Hartfell HR,MS,01:58:32
24,Mclellan,Graham,Hartfell HR,M40,02:00:36
25,Short,Kenneth,Teviot,M50,02:01:10
26,Malcolmson,Craig,Hartfell HR,M50,02:02:46
27,Plummer,Kevin,Hartfell HR,M50,02:03:08
28,O'Neil,Owen,Westerlands,MS,02:04:06
29,Harkin,Richard,Ayrshire TR,MS,02:04:14
30,Roper,Mark,Westerlands,M60,02:04:50
31,Gilmore,Neil,Carnethy,M50,02:05:01
32,Meldrum,Alasdair,Ayr Seaforth,M50,02:05:39
33,Kirk,Simon,Ayr Seaforth,M40,02:06:52
34,Evans,Hayley,Unattached,F40,02:07:04
35,Wheeler,Mark,Hamilton,M40,02:07:25
36,Hellam,Lorna,Hartfell HR,FS,02:08:24
37,Cairnie,David,Unattached,M40,02:11:52
38,Anderson,Ross,Westerlands,MS,02:13:21
39,Thurlbeck,Ian,Westerlands,M50,02:13:32
40,Neilson,Norman,Hartfell HR,M60,02:14:09
41,Mason,David,Linlithgow,M50,02:14:36
42,McCabe,John,Troon,M50,02:15:16
43,Dean,Adrian,Hartfell HR,M40,02:15:50
44,Bajzath,Gergely,Tinto,M40,02:16:27
45,Currie,Sandy,Unattached,MS,02:17:07
46,Irving,Roger,Hartfell HR,M60,02:17:38
47,Blackley,Lisa,Unattached,FS,02:18:12
48,Freidrich,Juliane,Penicuik,FS,02:18:43
49,Crichton,Andy,Unattached,MS,02:19:36
50,Gorgas,Stefan,Unattached,M50,02:20:04
51,Szafransca,Anna,Unattached,F40,02:20:07
52,Furse,Chris,Westerlands,M50,02:20:20
53,Pugh,Roderick,Kilmarnock,M60,02:20:43
54,Anderson,Laurie,Lomond,M60,02:23:40
55,White,David,Kilmarnock,M50,02:25:22
56,Hannay,Mark,Unattached,M40,02:27:02
57,Brannan,Tosh,Lothian ,M60,02:27:48
58,Ward,Ausrine,Kirkintilloch,F40,02:28:00
59,Pettigrew,Iain,Ayr Seaforth,M50,02:28:34
60,Maclean,Peter,Ayr Seaforth,M40,02:30:02
61,Macleod,Murdo,Westerlands,M60,02:30:54
62,Duncan,Davie,Ochil HR,M60,02:33:39
63,Gordon,Nick,Hartfell HR,M50,02:34:04
64,Morrison,Iain,Ayr Seaforth,M50,02:34:37
65,Stakes,David,Westerlands,M50,02:38:28
66,Hyslop,Scott,Linlithgow,M50,02:42:04
67,Lampard,Stuart,Ayr Seaforth,M50,02:42:30
68,Martin,Keith,Harmeny,M50,02:48:21
69,McCaig,Campbell,Galloway,M40,02:51:04
70,Park,Archibald,Hartfell HR,M60,02:51:06
71,McNeish,Anne Sophie,Unattached,F40,02:51:55
72,McArthur,Clair,Hamilton,F40,02:55:13
73,Dealtry,Eddie,Ochil HR,M70,02:56:20
