RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Macdonald,Steve,Lochaber AC,M,1:04:13
2,Taylor,Luke,Highland Hill Runners,MJ,1:07:06
3,Wilson,Stewart,Highland Hill Runners,M40,1:09:40
4,Mackenzie,Sarah,Lochaber AC,F,1:11:59
5,Gunn,Tarquin,Lochaber AC,M,1:12:30
6,Kennedy,Ali,Lochaber AC,M50,1:12:46
7,MacTavish,Colin,Lochaber AC,M,1:13:22
8,Kennedy,Peter,Lochaber AC,M40,1:15:17
9,Taylor,Gordie,Lochaber AC,M50,1:15:25
10,Binnie,John,Lochaber AC,M40,1:16:48
11,Cymbalista,Pawel,Lochaber AC,M,1:16:52
12,Forbes,Craig,Lochaber AC,M,1:18:18
13,Forster,Damian,Lochaber AC,M40,1:19:15
14,Worsley,Steven,Inverness Harriers,M50,1:20:16
15,Blackhall,Amanda,Lochaber AC,F40,1:22:06
16,Blackhall,Keith,Lochaber AC,M40,1:26:46
17,Macdonald,Lynsey,Inverness Harriers,F,1:27:28
18,Forster,Nix,Lochaber AC,F40,1:30:08
19,Ross,Susan Jane,Lochaber AC,F40,1:33:15
20,MacKinnon,Michael,Lochaber AC,M,1:35:00
21,Prins,Lucy,Lochaber AC,F40,1:37:45
22,Pearce,Emma,Lochaber AC,F40,1:49:36
