FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Cox,Andrew,Moorfoot Runners,M40,00:40:18
2,Stewart,Iain,Westerlands CCC,M40,00:41:06
3,Marshall,Brian,Haddington RC,M50,00:41:17
4,Misak,Milan,Moorfoot Runners,M,00:41:36
5,Sanderson,William,Unattached,M,00:41:15
6,Donnelly,Colin,Cambuslang Harriers,M60,00:42:50
7,Fraser,Andrew,Unattached,M,00:43:00
8,Trewartha,Gary,Gala Harriers,M40,00:44:49
9,Williams,Paul,Westerlands CCC,M,00:45:45
10,Williams,Colin,Moorfoot Runners,M40,00:46:44
11,Wilson,Connor,Unattached,M,00:47:05
12,Adamson,Simon,Gala Harriers,M40,00:47:42
13,Thomson,Mark,Unattached,M40,00:47:57
14,Ross,Heidi,Carnethy,F,00:48:10
15,McFadden,Fraser,Unattached,M,00:48:18
16,Unkles,Douglas,Unattached,M50,00:48:30
17,Draye,Ben,Corstorphine AAC,M,00:48:55
18,Galbraith,Anna,Unattached,F,00:49:10
19,Wright,Ciaran,Macclesfield Harriers,M,00:49:15
20,Ball,James,Carnethy,M,00:49:24
21,Rourke,Katie,Gala Harriers,F,00:49:13
22,Nixon,Daniel,Westerlands CCC,M,00:50:10
23,Johnson,Bob,Gala Harriers,M60,00:50:22
24,Bell,Iain,Gala Harriers,M50,00:51:22
25,Molero,Luis,Lauderdale Limpers RC,M40,00:52:23
26,Gilhooley,George,Lothian RC,M60,00:54:22
27,Connor,Richy,Unattached,M40,00:54:22
28,Wilson,Keith,Galavanters,M40,00:54:13
29,Lunn,Gillian,Gala Harriers,F50,00:55:12
30,Duncan,Andrew,Unattached,M50,00:55:34
31,Challis,Dan,Lauderdale Limpers RC,M,00:55:35
32,Sneddon,Zander,Unattached,M40,00:55:41
33,mackie,steven,Unattached,M,00:55:52
34,Parkinson,Hamish,Moorfoot Runners,M50,00:56:03
35,Ward,Ausrine,Kirkintilloch Olympians,F40,00:56:13
36,Duncan,David,Ochils,M60,00:56:47
37,Fraser,Mitchell,Unattached,M40,00:56:52
38,Manners,James,Unattached,M50,00:57:01
39,Misak,Jennifer,Moorfoot Runners,F40,00:57:21
40,Burdis,Stephanie,Unattached,F40,00:57:26
41,Nightingale,David,Gala Harriers,M60,00:57:38
42,Horne,Ken,Roxburgh Reivers,M50,00:57:48
43,Wilson,Alison,Lauderdale Limpers RC,F50,00:58:05
44,Elliott,Jane,Lauderdale Limpers RC,F50,00:58:19
45,Bowman,Angus,Lomond HR,M60,00:58:57
46,McAleese,Rachel,Lauderdale Limpers RC,F,00:59:33
47,Turnbull,Les,Norham RC,M60,00:59:56
48,Lockie,Paul,Teviotdale Harriers,M50,00:59:59
49,Clough,Steve,Norham RC,M70,01:00:07
50,Richard,Jocelyn,Gala Harriers,F60,01:00:35
51,Calder,Denny,Gala Harriers,M40,01:00:39
52,Duncan,Thomas,Unattached,M,01:01:33
53,Maddison,Raymond,Unattached,M50,01:01:53
54,Neil,Cornel,Kirkintilloch Olympians,M60,01:03:10
55,Walker,Sandy,Unattached,M,01:03:11
56,Coltman,Alan,Teviotdale Harriers,M50,01:03:29
57,Farquhar,Peter,Unattached,M,01:04:34
58,Jackson,Andrew,Gala Harriers,M50,01:06:07
59,Donald,Calum,Unattached,M40,01:07:24
60,Harris,Peter,Unattached,M40,01:10:15
61,Pitchford,Laura,Ashington Hirst RC,F40,01:11:48
62,Royall,Stuart,Ashington Hirst RC,M50,01:11:48
63,Turner,Jean,Telford Harriers,F60,01:12:00
64,Lawton,Michael,Unattached,M50,01:13:02
65,Hastings,Ron,Teviotdale Harriers,M60,01:21:29
