RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Whitehead,Dan,Deeside Runners,M40,0:21:40
2,Wright,Joseph,Deeside Runners,M,0:22:19
3,Henry,Peter,Deeside Runners,M,0:22:25
4,Manson,Iain,Metro Aberdeen,M,0:22:28
5,Williamson,Clyde,Cosmics,M,0:22:54
6,Barclay,David,Garioch Road Runners,M40,0:23:24
7,Knight,Paul,Metro Aberdeen,M,0:23:30
8,Tomlin,Chris,Cosmics,M40,0:23:42
9,Easton,Neil,Stonehaven RC,M,0:23:55
10,Williamson,Jason,Cosmics,M40,0:24:00
11,Lorimer,Hayden,HBT,M40,0:24:13
12,Smith,Alan,Deeside Runners,M50,0:24:34
13,Langan,David,Unattached,M,0:24:43
14,Whitehead,Clare,Deeside Runners,F40,0:24:49
15,Murray,Rab,The Darkside,M50,0:24:54
16,Comber,Ayron,Deeside Runners,M40,0:24:56
17,Stockton,Mark,Cosmics,M,0:24:58
18,Provan,Stephanie,Deeside Runners,F,0:25:15
19,Steel,Alisdiar,Stonehaven RC,M,0:25:17
20,Gray,James,Aberdeen AAC,M,0:25:22
21,Seally,Alan,Unattached,M50,0:25:40
22,McDonald,Dennis,Cosmics,M50,0:25:42
23,Rose,Alex,Metro Aberdeen,M40,0:25:44
24,Young,Martin,Deeside Runners,M,0:25:48
25,Oldham,Veronique,Cosmics,F50,0:26:15
26,Larmour,Colin,Cosmics,M50,0:26:19
27,Main,Darren,Unattached,M40,0:26:39
28,Watt,Malcolm,Garioch Road Runners,M40,0:26:42
29,Henderson,David,Unattached,M40,0:26:58
30,Melville,Peter,Unattached,M,0:27:01
31,Thomson,Gary,Garioch Road Runners,M,0:27:05
32,Wallis,Dirk,Deeside Runners,M,0:27:08
33,Aitken,Graham,Insch Trail Running Club,M,0:27:13
34,Ross,Calum,Unattached,M,0:27:17
35,Murray,Neil,Metro Aberdeen,M,0:27:26
36,Robertson,Ali,Stonehaven RC,M,0:27:29
37,Harold,Luke,Insch Trail Running Club,M,0:27:34
38,Hunt,Gareth,Rebel PT,M,0:27:42
39,Cowie,Philip,Metro Aberdeen,M60,0:27:47
40,Gordon,Andew,Unattached,M40,0:27:50
41,Grilli,Carlo,Unattached,M,0:27:54
42,Badial,Anisha,Aberdeen AAC,F,0:28:06
43,MacGillivray,Mark,Stonehaven RC,M40,0:28:21
44,Mackinnon,Martin,Cosmics,M40,0:28:22
45,Kelly,Jason,Stonehaven RC,M,0:28:29
46,Bryce,Rebecca,Cosmics,F,0:28:30
47,Paterson,Scott,Unattached,M40,0:28:33
48,Musgrave,Ewan,Deeside Runners,M,0:28:34
49,Tandy,Mark,Deeside Runners,M40,0:28:37
50,Dunn,Sarah,Deeside Runners,F40,0:28:52
51,Weir,Jonathan,Unattached,M,0:28:54
52,Roy,Scott,Unattached,M40,0:28:56
53,Ingram,Richard,Cosmics,M40,0:28:57
54,Monk,Kenny,Garioch Road Runners,M40,0:28:58
55,Davis,Duncan,Carnethy,M40,0:29:00
56,Mackay,Mike,Unattached,M40,0:29:04
57,Mardall,Nick,Deeside Runners,M50,0:29:08
