RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Sutherland,Mark,Westerlands,M,1:33:30
2,Tullie,Douglas,HBT,M,1:36:11
3,Adkin,Jacob,Keswick AC,M,1:37:16
4,Thurlbeck,Alastair,Shettleston Harriers,M,1:37:38
5,Bryson,Gavin,Highland Hill Runners,M,1:37:43
6,Callan,Thomas,Westerlands,M,1:39:06
7,Feltbower,Steve,Ochil Hill Runners,M,1:39:10
8,Nash,Graham,Carnethy,M40,1:41:54
9,Mackie,Peter,Shettleston Harriers,M,1:42:09
10,Britton,James,Carnethy,M,1:42:11
11,Flanagan,Dessie,Carnethy,M40,1:42:46
12,Sedman,Eliot,Carnethy,M,1:42:48
13,Glendinning,Greig,Bellahouston RR,M40,1:45:21
14,Anderson,Rory,Teviotdale Harriers,M,1:45:26
15,Stewart,Gregor,Westerlands,M,1:45:58
16,Mattocks,Craig,Gala Harriers,M40,1:46:25
17,Williamson,Nick,Dunbar RC,M40,1:46:27
18,Connaghan,John,Shettleston Harriers,M40,1:47:09
19,Darlow,Tim,Gala Harriers,M40,1:48:56
20,Muir,Jonny,Carnethy,M,1:49:10
21,Dougal,Darin,Moorfoot Runners,M40,1:50:35
22,Johnston,Fergus,Carnethy,M,1:50:59
23,Dunlop,Robbie,Dundee Road Runners,M,1:51:02
24,Breckenridge,Bill,Shettleston Harriers,M50,1:51:30
25,Gardner,Peter,HBT,M,1:52:04
26,Williams,Colin,Moorfoot Runners,M40,1:53:52
27,Horrocks,Sophie,Edinburgh Uni H&H,F,1:54:26
28,Short,Kenny,Teviotdale Harriers,M50,1:54:29
29,Laucht,Richard,Carnethy,M,1:54:41
30,Cruickshanks,Ross,Shettleston Harriers,M,1:55:08
31,Titmuss,Simon,Carnethy,M40,1:55:11
32,Windram-Geddes,Morgan,Fife AC,F,1:55:22
33,Callender,James,Westerlands,M,1:55:59
34,Dunbar,Graeme,Carnethy,M40,1:57:17
35,Kemp,Alexander,Borders Triathletes,M,1:57:19
36,Stephenson,Olly,Carnethy,M40,1:57:55
37,Hardie,James,Carnethy,M,1:58:05
38,Tullie,John,Teviotdale Harriers,M50,1:58:12
39,Tuck,Ian,Unattached,M,1:58:24
40,Horswell,Clara,Shettleston Harriers,F,1:58:26
41,King,Steven,Carnegie Harriers,M40,1:58:40
42,Campbell,Rory,Gala Harriers,M40,1:58:48
43,Warman,Julian,HBT,M40,1:58:55
44,Hanna,David,Carnethy,M,1:59:06
45,McGovern,Michael,Moorfoot Runners,M40,1:59:10
46,Burnett,Neil,Carnethy,M40,1:59:22
47,Lamont,Andrew,Carnethy,M,1:59:24
48,Hughes,Bruce,Teviotdale Harriers,M,1:59:36
49,Lynch,Mike,Carnethy,M40,1:59:42
50,Foster,Paul,Unattached,M40,2:00:09
51,Roper,Marc,Westerlands,M50,2:01:00
52,Cockburn,Lindsay,Harmeny AC,M,2:01:36
53,Renville,Alan,Carnethy,M40,2:01:43
54,MacQueen,Douglas,Carnethy,M,2:03:45
55,McMullan,George,Norham RC,M40,2:03:53
56,Dalgleish,Fiona,Gala Harriers,F40,2:04:05
57,Veitch,Grahame,Chirnside Chasers,M50,2:04:12
58,Stewart,Calum,Lauderdale Limpers,M40,2:04:28
59,Maclure,Keith,Borders Triathletes,M40,2:05:14
60,McLure,Neil,Carnegie Harriers,M40,2:05:34
61,Gilmour,Mairi,Westerlands,F,2:05:42
62,Campbell,Ryan,Fusion Triathlon,M,2:05:52
63,Crane,Russell,Westerlands,M,2:05:58
64,Beard,Nathan,Gala Harriers,M40,2:06:42
65,Campbell,Anya,Gala Harriers,F40,2:07:29
