RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Haines,Hector,HBT,M,0:49:04
2,Rogan,Paul,Moray Road Runners,M40,0:51:35
3,Keith,Alec,Inverness Harriers,M40,0:52:03
4,Trevelyan,Jack,Highland Hill Runners,M,0:54:39
5,Mackenzie,Stan,Forres Harriers,M40,0:56:34
6,MacKenzie,John,Highland Hill Runners,M40,0:57:26
7,Popple,Steve,Highland Hill Runners,M40,0:59:01
8,Matthewson,Alastair,Highland Hill Runners,M40,1:00:41
9,Paterson,George,Highland Hill Runners,M40,1:00:49
10,McLeod,Alasdair,Shettleston Harriers,M,1:01:05
11,Sutherland,Alex,Highland Hill Runners,M60,1:01:55
12,McDougall,Alasdair,Highland Hill Runners,M,1:03:18
13,Roberts,Richard,Highland Hill Runners,M40,1:03:52
14,McIntyre,Iain,Highland Hill Runners,M40,1:04:36
15,Airlie-Gilbert,Richard,Highland Hill Runners,M40,1:05:07
16,Bryan,David,East Sutherland,M40,1:05:45
17,Ilett,Stephen,Forres Harriers,M40,1:06:46
18,Young,Andy,Ross County AC,M,1:07:17
19,Earnshaw,Colin,North Highland Harriers,M40,1:07:59
20,Hume,Andy,Unattached,M40,1:10:29
21,Rogan,Kirstie,Moray Road Runners,F,1:12:39
22,Mathieson,Tom,Ross County AC,M40,1:13:55
23,Wallace,Craig,Vegan Runners,M,1:14:17
24,Cook,Alan,Tain Runners,M40,1:14:55
25,Nadin,Louise,Highland Hill Runners,F40,1:21:00
26,Lowe,Gillian,Unattached,F40,1:21:31
27,Burn,Stewart,Forres Harriers,M40,1:21:34
28,Airlie-Gilbert,Kirsten,Lochaber AC,F,1:25:05
