RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wilby,David,Highland Hill Runners,M,1:04:09
2,Bee,Graham,Inverness Harriers,M,1:04:17
3,Paterson,Robbie,Moray Road Runners,M,1:05:04
4,Todd,Finlay,Glasgow Uni H&H,M,1:06:50
5,Wilby,Andrew,Highland Hill Runners,M40,1:07:58
6,Cabrera Valdes,Francisco Javier,Highland Hill Runners,M,1:08:55
7,Munro-White,Tam,Inverness Harriers,M,1:10:46
8,Bergmann,Kurt,Unattached,M,1:11:03
9,Coull,Eoin,Ross County AC,M,1:12:45
10,Jarrett,Matthew,Unattached,M,1:13:33
11,Whiteside,Gavin,Highland Hill Runners,M,1:13:54
12,Macdonald,Dougie,Highland Hill Runners,M40,1:15:39
13,Macdougall,Colin,Tinto Hill Runners,M40,1:16:19
14,Duncan,Eric,Highland Hill Runners,M40,1:16:31
15,Pearks,David,Highland Hill Runners,M40,1:16:48
16,Faulkner,Calum,Ross County AC,M,1:17:13
17,Forrest,Stuart,Highland Hill Runners,M,1:17:34
18,MacDonald,Ian,Forres Harriers,M,1:17:40
19,Chatburn,Richard,Highland Hill Runners,M,1:18:43
20,Sutherland,Daniel,Unattached,M,1:19:46
21,Bee,Megan,Highland Hill Runners,F,1:20:40
22,MacKenzie,Kenneth,Highland Hill Runners,M40,1:20:59
23,Maclelland,Adam,Ross County AC,M,1:23:43
24,Brown,Trevor,Highland Hill Runners,M,1:23:44
25,Lamont,Allan,Lochaber AC,M,1:24:09
26,Erskine,Alec,Cosmics,M50,1:24:54
27,Wilby,Sue,Highland Hill Runners,F40,1:25:15
28,Wilby,Raymond,Highland Hill Runners,M70,1:28:21
29,Young,Andy,Ross County AC,M,1:28:58
30,MacKenzie,Derek,Inverness Harriers,M,1:30:00
31,Mathieson,Tom,Ross County AC,M50,1:34:32
32,MacRae,William,Highland Hill Runners,M40,1:34:42
33,Gillies,Jenny,Spey Runners,F,1:36:45
34,Coghill,Fraser,Falkland Trail Runners,M,1:38:26
35,Bain,Moraig,Unattached,F,1:44:44
36,Clark,Debbie,Unattached,F,1:54:59
37,Cameron,James,Unattached,M,1:55:00
