RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Sutherland,Matthew,Central AC,M,0:31:34
2,Spalding,Ross,Ochil Hill Runners,M,0:32:35
3,Colley,Dale,Central AC,M,0:33:11
4,Wiseman,Bob,Ochil Hill Runners,M40,0:33:20
5,Bowers,William,Ochil Hill Runners,M,0:33:43
6,Taylor,Lewis,Unattached,M,0:33:56
7,Williams-Duncan,Samuel,Dark Peak,M,0:34:27
8,Lake,Graham,Otley AC,M40,0:35:00
9,Downey,David,Dunblane Runners,M40,0:35:05
10,Hayward,Adam,Moorfoot Runners,M,0:35:38
11,Ferguson,Allan,Forfar Road Runners,M,0:37:20
12,Drummond,James,Unattached,M,0:38:30
13,Weir,Jonathan,Unattached,M40,0:39:24
14,Holland,Lee,Carnegie Harriers,M,0:39:49
15,Cubitt,Isla,Unattached,F,0:39:57
16,Hartley,Chris,Unattached,M,0:40:06
17,Pullan,Mark,Dunblane Runners,M40,0:40:39
18,Kelly,Graham,Westerlands,M40,0:41:28
19,Anderton,Nathan,Unattached,M40,0:41:50
20,Buchanan,Hugh,Central AC,M40,0:42:11
21,Hall,Stephan,Unattached,M40,0:42:34
22,Mcstay,Kirsten,Central AC,F,0:42:42
23,Duncan,David,Ochil Hill Runners,M40,0:44:22
24,Holland,Arianne,Carnegie Harriers,F,0:44:50
25,Hart,Sam,Unattached,M40,0:44:55
26,Buchanan,Andrina,Unattached,F40,0:45:12
27,Astley-Jones,Adrian,Unattached,M,0:46:05
28,Evans,Mark,Stirling Tri Club,M40,0:46:11
29,Forbes,Denise,Jog Scotland,F40,0:50:25
30,Lambie,Dougie,Unattached,M40,0:51:06
31,Robertson,Karen,Kilmarnock Harriers,F40,0:51:35
32,Reilly,Kirsten,Ochil Hill Runners,F,0:53:50
33,Valentine,Russ,Unattached,M40,0:54:38
34,Kershaw,Daniel,Falkland Trail Runners,M40,0:55:50
35,McKean,Lawrie,Jog Scotland,M40,0:56:21
36,Duff,Bill,Falkland Trail Runners,M40,1:03:00
37,Campbell,Karen,Falkland Trail Runners,F40,1:03:00
