FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Abernethy,Rory,Ochil Hill Runners,M,00:29:52
2,Sutherland,Matthew,Central AC,M,00:30:25
3,McLeod,Alasdair,Ochil Hill Runners,M,00:30:43
4,Malcolm,Gregor,Ochil Hill Runners,M,00:33:07
5,Wiseman,Bob,Ochil Hill Runners,MV,00:34:26
6,Daley,Alexander,Unattached ,M,00:34:34
7,Sinclair,Regan,Portobello RC,M,00:34:38
8,Layet,Sam,Unattached ,M,00:36:18
9,Eiser,David,Unattached ,MV,00:36:28
10,Duncan,Eric,Highland Hill Runners,MV,00:36:38
11,King,Steven,Carnegie Harriers,MV,00:37:21
12,Woolhead,Samuel,Unattached ,M,00:37:53
13,Mooney,Edel,Ochil Hill Runners,FV,00:38:02
14,Wallace,Cameron,Ochil Hill Runners,M,00:38:06
15,Brodie,Stuart,Ochil Hill Runners,MV,00:38:24
16,Holland,Lee,Carnegie Harriers,MV,00:38:29
17,Ross,Heidi,Carnethy HRC,F,00:38:42
18,Downie,David,Dunblane Runners,MV,00:38:42
19,Brown,Gary,Unattached ,MV,00:38:47
20,Weir,Jonathan,Unattached ,MV,00:39:03
21,Coy,Thomas,Ochil Hill Runners,MV,00:39:05
22,Ferrier,Neil,Central AC,M,00:39:08
23,Jackson,Nicole,Carnegie Harriers,F,00:39:17
24,Miller,Jonathan,Carnegie Harriers,M,00:39:36
25,Coombs,Richard,Ochil Hill Runners,MV,00:40:45
26,Clayton,Stuart,Unattached ,M,00:41:11
27,Barnes,Jason,Unattached ,MV,00:41:16
28,Spowart,Kevin,Carnegie Harriers,MV,00:41:23
29,Cross,Jon,Ochil Hill Runners,MV,00:41:28
30,Steele,John,Unattached ,MV,00:41:32
31,Becks-Phelps,Finley,Unattached ,M,00:41:33
32,Wilkinson,Owen,Carnethy HRC,M,00:42:08
33,Shepard,Rozy,Carnethy HRC,F,00:42:10
34,Kriche,Nils,Carnegie Harriers,M,00:42:49
35,Macdonald,Stuart,Unattached ,MV,00:42:56
36,Hywel,David,Unattached ,MV,00:43:02
37,Rodger,Ian,Dundee,MV,00:43:04
38,Mcaree,Ruari,Unattached ,M,00:43:05
39,Simpson,Iain,Lomond Hill Runners,MV,00:43:08
40,Ashworth,Collette,Ochil Hill Runners,FV,00:43:12
41,Brickell,Harry,Unattached ,M,00:43:21
42,Brickell,Jack,Ochil Hill Runners,M,00:43:40
43,Ball,James,Carnethy HRC,M,00:43:44
44,Hamilton,Scott,Unattached ,M,00:43:49
45,Lunn,Finlay,Unattached ,M,00:43:53
46,Williams,Daniel,Unattached ,M,00:43:57
47,Fairfield,Kenny,Carnegie Harriers,MV,00:44:02
48,Buchanan,Hugh,Central AC,MV,00:44:13
49,Hynd,John,Carnegie Harriers,MV,00:44:20
50,Shaw,Trevor,Ochil Hill Runners,MV,00:44:30
51,Pryde,Gordon,Lomond Hill Runners,MV,00:44:33
52,Skene,Jenny,Unattached ,F,00:45:01
53,Finlay,Alayne,Ochil Hill Runners,FV,00:45:09
54,Robertson,Alan,Unattached ,M,00:45:17
55,Briggs,Charlotte,Carnegie Harriers,FV,00:45:42
56,Murton,Rosie,Portobello RC,F,00:45:56
57,Mackenzie,Rory,Unattached ,M,00:46:35
58,Kellock,Celeste,Ochil Hill Runners,F,00:46:48
59,Brown,Leah,Central AC,FJ,00:46:51
60,Munro,Frazer,Kinross Road Runners,MV,00:46:54
61,Mailer,Jim,Unattached ,MV,00:46:55
62,Duncan,David,Ochil Hill Runners,MV,00:47:00
63,Musgrave,Posy,Ochil Hill Runners,FV,00:47:16
64,Sinclair,Colin,Central AC,MV,00:47:41
65,Lambie,Denise,Unattached ,FV,00:47:55
66,Wellcoat,Sarah,Carnegie Harriers,F,00:48:13
67,Fairfield,Kathryn,Carnethy HRC,FV,00:48:13
68,Robinson,Angus,Unattached ,MV,00:48:37
69,Summers,Robert,Beacon Runners,MV,00:48:48
70,Anderson,Jane,Carnegie Harriers,FV,00:49:03
71,Cessford,Lee,Falkland Trail Runners,MV,00:49:12
72,Muller,Daniel,Lomond Hill Runners,M,00:50:17
73,Haines,Chloe,Unattached ,F,00:50:39
74,Kay,Clara,Carnegie Harriers,FV,00:51:06
75,Fraser,Ron,Dundee RR,MV,00:51:09
76,Macmillan,Allan,Unattached ,MV,00:51:23
77,Ure,Barry,Ochil Hill Runners,MV,00:52:30
78,Naray,Emily,Aberdeen Uni AC,F,00:52:35
79,Forsyth,Karen,Carnegie Harriers,FV,00:52:42
80,Sauer,Kirstin,Ochil Hill Runners,F,00:53:16
81,Pybus,Helen,Forth Valley Orienteers,F,00:53:57
82,Ure,Jennifer,Unattached ,FV,00:53:59
83,Leask,Duncan,Striling Tri Club,MV,00:54:12
84,Roche,Julia,Dunblane Runners,FV,00:54:21
85,McNamara,Craig,Granite City Harriers,M,00:57:06
86,Coy,Nina,Unattached ,FV,00:59:08
87,Smithard,Phil,Carnegie Harriers,MV,00:59:12
88,Hodgson,Rowan,Unattached ,FV,00:59:40
89,Hunter,Kerry,Carnethy HRC,FV,01:00:34
90,Campbell,Cameron,Central AC,MV,01:11:00
91,Gall,Allan,Central AC,MV,01:11:00
