RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Douglas,Andrew,Inverclyde AC,M,0:21:01
2,Wilby,David,Highland Hill Runners,M,0:22:32
3,Wilby,Andrew,Highland Hill Runners,M,0:23:10
4,Bannerman,Ross,East Sutherland,M,0:23:29
5,Craine,Noel,Eryri Harriers,M,0:25:05
6,Menzies,Ewan,Unattached,M,0:25:20
7,Phin,Lawrence,Unattached,M,0:25:25
8,Nichols,Alan,Unattached,M,0:26:46
9,Rudloff,Till,Unattached,M,0:26:58
10,Duncan,David,Ochil Hill Runners,M,0:28:10
11,Williamson,Graeme,Unattached,M,0:28:47
12,Brennan,Brian,Westerlands,M50,0:28:54
13,Thomas,Alison,Eryri Harriers,F,0:29:19
14,Weir,Jonathan,Unattached,M,0:29:27
15,Thain,Duncan,Unattached,M,0:29:34
16,Gaff,Melanie,Wester Ross Athletics,F,0:29:44
17,Watson,Gordon,Unattached,M,0:30:02
18,Bertram,Noback,Unattached,M,0:30:17
19,Wallace,Craig,Vegan Runners,M,0:31:35
20,Hofmann,Felix,Unattached,M,0:34:08
21,Tree,Darren,Unattached,M,0:34:55
22,Jardine,Jimmy,Lochaber AC,M,0:36:22
23,Mackenzie,Callum,Unattached,M,0:36:53
24,Scott,Allan,Unattached,M,0:52:53
25,Skelton,Alison,Unattached,F,0:54:22
