RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,McGovern,Michael,Moorfoot Runners,M40,0:33:35
2,Green,Gareth,Portobello,M,0:34:13
3,Dougal,Darin,Moorfoot Runners,M,0:34:19
4,Mason,John,Wakefield Harriers,M40,0:34:31
5,Reid,Michael,Carnethy,M,0:34:42
6,Burt,Cameron,Westerlands,M,0:34:53
7,Martin,Richard,Carnethy,M,0:35:15
8,Buchanan,Peter,Portobello,MV3,0:35:33
9,Hobbs,Tom,Moorfoot Runners,M40,0:35:47
10,Nash,Graham,Carnethy,M40,0:36:10
11,Jessiman,Andy,Peebles Triathlon Club,M,0:36:21
12,Brooks,Mike,Penicuik Harriers,M40,0:37:12
13,Martin,Steven,Gala Harriers,M,0:37:39
14,Hendry,Robert,Unattached,M40,0:37:42
15,Ridley,Susan,Edinburgh AC,F40,0:37:47
16,Fletcher,Graeme,Corstorphine,M40,0:37:54
17,Jenkins,Kate,Gala Harriers,F2,0:38:08
18,Davidson,Kenny,Moorfoot Runners,M40,0:38:26
19,Munro,Ian,Moorfoot Runners,M,0:38:31
20,Gwynne,Neal,Glasgow Academy,M,0:38:40
21,Fagan,Rachel,Gala Harriers,F,0:38:58
22,Anderson,John,Penicuik Harriers,M40,0:39:06
23,Adkin,Scout,Ambleside,F17,0:39:10
24,Patterson,Robert,Unattached,M,0:39:25
25,Brydon,Derrick,Gala Harriers,M,0:39:29
26,Hulme,Martin,Corstorphine,M50,0:39:42
27,Connor,Julia,Unattached,F,0:39:45
28,Oliver,Alex,Carnethy,M40,0:39:51
29,Fraser-Moodie,Ruth,Unattached,F40,0:39:59
30,Anthony,Eilidh,HBT,F,0:40:09
31,Blackwood,Chris,Moorfoot Runners,M,0:40:19
32,Burnett,Neil,Carnethy,M40,0:40:26
33,Tinsley,Matt,Unattached,M,0:41:08
34,Watson,Adam,Unattached,M17,0:41:49
35,Grisewood,Aidan,Portobello,M,0:41:52
36,Campbell,Ian,HBT,M40,0:42:19
37,Morrice,Lynn,Portobello,F,0:42:33
38,McLean,Graham,Corstorphine,M,0:42:43
39,McIntyre,Gordon,Cambuslang Harriers,M,0:42:48
40,Nichol,Paul,Moorfoot Runners,M40,0:42:59
41,Bailey,Brian,Gala Harriers,M,0:44:02
42,O`Brien,Phyllis,HBT,FV3,0:44:23
43,Stark,Fraser,Glasgow Academy,MJ,0:44:37
44,Constance,S,Unattached,M,0:44:41
45,Tait,Gayle,Tinto Hill Runners,F,0:44:42
46,Edwards,Tom,Unattached,M40,0:44:44
47,Nowicki,Michael,Carnethy,M,0:44:58
48,McPherson,Hugh,Tinto Hill Runners,M60,0:45:00
49,Steen,Katie,Moorfoot Runners,F,0:45:05
50,McCall,Ross,Edinburgh Uni H&H,M,0:45:23
51,Downie,Chris,Penicuik Harriers,M40,0:45:28
52,Sandwell,Brian,Unattached,M,0:45:33
53,Scott,Elspeth,Westerlands,F40,0:45:57
54,Lynch,Mike,Carnethy,M40,0:46:01
55,McIntosh,Derek,Unattached,M,0:46:07
56,Lamont,Mike,Carnethy,M40,0:46:14
57,Baxter,Peter,Westerlands,M40,0:46:15
58,Batterham,Jessica,HBT,F,0:46:24
59,Monteith,Paul,Unattached,M,0:46:36
60,Bannon,Mark,Unattached,M,0:48:21
61,Nairn,Paul,Unattached,M,0:48:30
62,Purves,James,Gala Harriers,M50,0:48:43
63,Noble,Ruth,Unattached,F,0:49:21
64,Scott,Angela,Jog Earlston,F40,0:53:33
65,Riley,M,Unattached,M,0:54:09
66,Stapley,Tony,Portobello,M60,0:54:24
67,McManus,Ian,Irvine RC,M60,0:54:43
68,Sowden,Rebecca,Glasgow Academy,F,0:59:24
69,McPhee,John,Unattached,M,1:01:13
