RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Holmes,Ian,Bingley Harriers,M40,3:31:44
2,Keith,Alec,Inverness Harriers,M40,3:52:03
3,Ward,Adam,Carnethy,M40,3:52:59
4,Robinson,Mike,Dark Peak,M,3:54:16
5,Trigg,Andy,Pennine Fell Runners,M40,3:57:21
6,Arnott,Luke,Westerlands,M,3:59:41
7,Jackson,James,Dartmoor Runners,M,4:04:47
8,Duxbury,Dan,Ambleside,M,4:05:04
9,Boyle,John,Dark Peak,M,4:07:45
10,Upson,Chris,Westerlands,M40,4:10:21
11,Holt,Jack,Clayton Le Moors,M50,4:12:24
12,Ward,Dave,Pennine Fell Runners,M,4:13:12
13,Shaw,Mark,Jura AC,M,4:14:45
14,Flower,Crispin,Mynydd Du,M,4:15:22
15,Bellamy,Stewart,Mercia,M,4:17:47
16,Whitelaw,Mark,Hartfell HRC,M,4:18:12
17,Taylor,Peter,Tattenhall,M,4:20:44
18,Scott,David,Ochil Hill Runners,M50,4:21:15
19,Crabtree,Stuart,Pennine Fell Runners,M,4:22:01
20,Dulson,Colin,Cumberland Fell Runners,M40,4:22:18
21,Bulloss,Nick,Arran Runners,M40,4:23:02
22,Cowie,Ian,Mercia,M50,4:23:14
23,Rozga,Grant,Jura AC,M,4:25:10
24,Makin,Dave,Achille Ratti,M40,4:27:29
25,Pryde,Gordon,Lomond Hill Runners,M40,4:28:46
26,Wright,Jonathan,Todmorden Harriers,M,4:29:21
27,Donnelly,Julian,Black Combe Runners,M40,4:30:01
28,Bell,Jim,Dark Peak,M40,4:31:56
29,Hyde,James,Unattached,M40,4:33:32
30,Cable,Nick,Unattached,M,4:33:51
31,Spenceley,Andy,Carnethy,M40,4:36:39
32,Hutt,Colin,Unattached,M,4:37:09
33,Wilson,David,Bowland Fell Runners,M40,4:37:27
34,Browning,Peter,Clayton Le Moors,M40,4:38:20
35,Cunningham,Richie,Carnegie Harriers,M,4:39:18
36,Murray,David,Ochil Hill Runners,M40,4:40:26
37,Atkinson,David,Northumberland FR,M40,4:41:17
38,Cannon,Russell,Helm Hill Runners,M40,4:41:36
39,Barlow,Stephen,Horwich,M40,4:41:48
40,Broome,Jon,Achille Ratti,M40,4:41:57
41,Carr,Kieran,Clayton Le Moors,M60,4:42:26
42,Walker,Adrian,Settle Harriers,M40,4:42:33
43,MacLeod,Murdo,Westerlands,M50,4:42:35
44,Kay,John,Fife AC,M40,4:43:33
45,Westgate,Tom,Dark Peak,M40,4:43:53
46,Johnston,Graham,Strathearn Harriers,M,4:44:20
47,Wardle,Mike,Calder Valley,M40,4:44:42
48,Saville,Kevin,Dark Peak,M40,4:45:30
49,Scott,Dawn,Lochaber AC,F,4:45:41
50,Hawley,Tim,Dark Peak,M40,4:45:56
51,Croome,Jonathan,Exmouth Harriers,M40,4:46:32
52,Underwood,Jon,Calder Valley,M,4:46:57
53,Hardiman,Neil,Clayton Le Moors,M,4:48:05
54,Anderson,John,Mid Argyll Tri & Cycle Club,M40,4:48:14
55,Howie,Andy,Pennine Fell Runners,M50,4:48:28
56,Gorgas,Steffen,Westerlands,M,4:48:47
57,Craine,Noel,Eryri Harriers,M40,4:48:53
58,White,David,Kilmarnock Harriers,M,4:49:32
59,Robinson,Hazel,Ambleside,F,4:49:58
60,Drake,Neil,Dark Peak,M40,4:50:41
