FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wild,Finlay,Lochaber AC,M,03:07:07
2,Rutter,Philip,Helm Hill Runners,M,03:23:33
3,Saville,Tom,Dark Peak ,M,03:23:36
4,Simpson,Tom,Ambleside AC,M,03:26:42
5,Halsall,Steve,Shettleston Harriers,M,03:28:04
6,Alexander,Sam,Westerlands CCC,M,03:33:52
7,Crutchfield,Stuart,Westerlands CCC,M40,03:37:18
8,Thorburn,Ewan,Lochaber AC,M40,03:47:29
9,Holmes,Ian,Bingley Harriers & AC,M50,03:47:45
10,Mann,Joe,Highland Hill Runners,M,03:48:06
11,Laverick,Benjamin,Carnethy HRC,M,03:49:41
12,Davies,Huw,Mercia Fell Runners,M,03:51:11
13,Anthony,Alasdair,Ochil Hill Runners,M40,03:51:29
14,Steede,Jonny,Glens Runners,M40,03:51:32
15,Wilkins,Robin,Ochil Hill Runners,M40,03:53:46
16,Ashwood,Daniel,Carnethy HRC,M,03:54:30
17,Dixon,Sam,Helm Hill Runners,M,03:54:33
18,Sedman,Eliot,Carnethy HRC,M40,03:55:14
19,Stewart,Gregor,Westerlands CCC,M,03:56:59
20,Jennings,Zach,Settle Harriers,M,03:57:08
21,Gallacher,Craig,Westerlands CCC,M,03:57:44
22,Wainwright,Sam,Ochil Hill Runners,M,03:57:55
23,Macdonald,Andrew,Sheffield University,MU23,03:58:03
24,Bartholomew,Douglas,Unattached,M,03:59:17
25,Harris,Jack,Pennine Fell Runners,M,03:59:55
26,Lamont,Andrew,Carnethy HRC,M40,04:02:37
27,Lowe,James,Dark Peak ,M,04:02:47
28,Birch-Machin,Sam,Dark Peak ,M,04:04:29
29,Jebb,Andrew,Bingley Harriers & AC,M40,04:05:54
30,Priestley,Thomas,Ambleside AC,M,04:07:50
31,Rawlik,Konrad,Carnethy HRC,M40,04:10:42
32,Schofield,Andrew,Borrowdale Fell Runners,M50,04:11:09
33,Marrs,John,Glens Runners,M40,04:11:17
34,Silvie,Will,Black Combe Runners,M,04:11:38
35,Kennard,Seth,Lonsdale Fell Runners,M,04:15:55
36,Jackson,David,Achille Ratti Climbing Club,M40,04:16:39
37,Barnett,Simon,Tring RC,M40,04:17:52
38,Johnstone,Eleanor,Pennine Fell Runners,F,04:18:43
39,Thompson,Victoria,Helm Hill Runners,F,04:19:45
40,Broad,Will,Ashbourne Running Club,M,04:20:31
41,Whitlie,Stewart,Carnethy HRC,M60,04:21:26
42,Downs,Ellen,Westerlands CCC,F,04:21:31
43,Cunningham,Roddy,Westerlands CCC,M,04:22:28
44,Green,Robert,Achille Ratti Climbing Club,M,04:22:51
45,Holroyd,Matthew,Settle Harriers,MU23,04:23:28
46,Halcrow,Bryony,Ambleside AC,F,04:23:34
47,Dodman,Ben,Lochaber AC,M40,04:24:30
48,Lynch,Tom,Otley AC,M40,04:24:44
49,Wilson,Felix,Carnethy HRC,MU23,04:24:59
50,Pulham,Harry,Shettleston Harriers,M,04:25:01
51,Knox,Thomas,Perth Road Runners,M,04:25:37
52,Reid,Michael,Carnethy HRC,M40,04:25:53
53,Foreman,Ella,Westerlands CCC,F,04:26:02
54,Rozga,Grant,Jura AC,M,04:27:11
55,Smith,Alan,Deeside Runners,M60,04:27:44
56,Cameron,Angus,Lochaber AC,M,04:28:00
57,Furness,Ethan,Black Combe Runners,M,04:30:29
58,Wheeler,Niall,Glens Runners,M40,04:30:36
59,Richmond,Sue,Pennine Fell Runners,F40,04:31:07
60,Mann,Jim,Unattached,M40,04:31:46
61,Kerr,David,Highland Hill Runners,M40,04:32:34
62,Davies,Tom,Mercia Fell Runners,M,04:32:51
63,Mudge,Angela,Ochil Hill Runners,F50,04:33:33
64,Near,Chris,Eryri Harriers,M50,04:33:47
65,Morris,Alex,Unattached,M,04:34:22
66,Sinclair,Regan,Portobello Running Club,M,04:40:01
67,Downs,Juliet,Dark Peak ,F,04:42:32
68,Thistlethwaite,Mark,Shettleston Harriers,M40,04:43:02
69,Waite,Joe,Westerlands CCC,M,04:43:40
70,McConville,Miles,Westerlands CCC,M,04:43:52
71,Rose,Rachel,Dark Peak ,F40,04:44:11
72,Thurlow-Begg,Richard,Westerlands CCC,M,04:44:38
73,Coombs,Kirsty,Carnethy HRC,F,04:45:21
74,Dakin,Pippa,Carnethy HRC,F,04:45:53
75,Ryan,John,Carnethy HRC,M40,04:46:17
