FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Campbell,Alasdair,,M,00:21:47
2,Paggott,Harris,,M,00:22:30
3,Rawlinson,Stephen,,M,00:23:56
4,McGurk,James,,M,00:25:03
5,Marshall,Brian,,M,00:25:34
6,Hakela,Joe,,M,00:26:05
7,Johnston,Jamie,,M,00:27:40
8,Stone,Will,,M,00:27:57
9,Younger,Phil,,M,00:28:54
10,Cumber,Ayron,,M,00:28:54
11,Brodie,Stuart,,M,00:29:20
12,Padmanabhan,Mia,,F,00:29:52
13,Weir,Jonathan,,M,00:30:52
14,Muir,Stewart,,M,00:31:01
15,Coombs,Richard,,M,00:31:11
16,Shaw,Trevor,,M,00:31:21
17,Beizas,Chris,,M,00:32:25
18,Stevenson,John,,M,00:34:06
19,McNab,Victorie,,F,00:34:32
20,Grims,Toom,,M,00:34:34
21,Drummond,Lucy,,F,00:34:35
22,Fox-Pitt,Isla,,F,00:34:37
23,McNab,Martin,,M,00:36:46
24,Bowman,Gus,,M,00:37:23
25,McNab,Philippine,,F,00:39:00
26,Forster,Kate,,F,00:40:43
27,Paterson,Ian,,M,00:40:52
28,McNab,Klervi,,F,00:40:53
29,Padmanabhan,Catriona,,F,00:42:13
30,Bethol,Ignatio,,F,00:43:36
31,Hoogendoorn,Simone,,F,00:43:43
32,Williams,Rupert,,M,00:45:04
33,McNab,Brittany,,F,00:47:54
34,Lambert,Joyce,,F,00:51:54
