RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Austin,Marc,Howgill Harriers,M,0:29:24
2,Houston,Michael,Inverclyde AC,M,0:29:37
3,Callan,Thomas,Westerlands,M,0:30:21
4,Connaghan,John,Shettleston Harriers,M40,0:30:41
5,Richmond,Kenny,Shettleston Harriers,M50,0:30:47
6,McPartlin,Donald,Garscube Harriers,M,0:31:00
7,Cope,David,Howgill Harriers,M,0:31:43
8,Bowden,James,HBT,M,0:31:52
9,McAlinden,Niall,Westerlands,M,0:32:00
10,Stubbs,Harrison,Westerlands,M,0:32:10
11,Oates,Calum,Shettleston Harriers,M,0:32:33
12,Cornock,Paul,Shettleston Harriers,M,0:32:36
13,MacLeod,James,Garscube Harriers,M,0:32:39
14,Pulham,Harry,Strathclyde University,M,0:32:40
15,Tremblay,Joshua,Westerlands,M,0:32:56
16,Warman,Julian,HBT,M50,0:33:00
17,Cruickshanks,Ross,Shettleston Harriers,M,0:33:04
18,Clayburn,Lloyd,Unattached,M,0:33:23
19,Pender,Iain,Shettleston Harriers,M,0:33:29
20,Elliotte,Tom,Westerlands,M,0:33:44
21,McCall,Andrew,Greenock Glenpark Harriers,M,0:33:51
22,Henderson,Scott,Westerlands,M40,0:34:37
23,O`Neill,Owen,Westerlands,M,0:34:45
24,Campbell,Alan,Unattached,M40,0:35:06
25,Anderson,Micky,Unattached,M50,0:35:13
26,Edenborough,Calum,Unattached,M,0:35:40
27,Brown,Gareth,North Ayrshire AC,M,0:35:49
28,Grant,Alasdair,Unattached,M,0:35:54
29,Reid,Lewis,Unattached,M,0:36:18
30,Hammersley,Samuel,Westerlands,M,0:36:23
31,Watson,Maddy,Strathclyde University,F,0:37:13
32,Craig,Stephen,Garscube Harriers,M,0:37:26
33,Finch,Tom,Westerlands,M,0:37:30
34,Goodger,Michael,Westerlands,M,0:37:33
35,Austin,Jach,Unattached,M,0:37:42
36,Diver,Michael,Clydesdale Harriers,M50,0:37:47
37,Thurlbeck,Ian,Westerlands,M50,0:37:52
38,Comerford,Johnny,Unattached,M40,0:37:54
39,Mackenzie,Wilson,Unattached,M,0:37:57
40,Peters,Ella,Westerlands,F,0:38:10
41,Meldrum,Alasdair,Ayr Seaforth,M40,0:38:24
42,McLoone,Michael,Greenock Glenpark Harriers,M,0:38:30
43,McParland,Tony,Bellahouston RR,M50,0:38:41
44,Beresford,Lucinda,Westerlands,F,0:38:54
45,Brannigan,Brian,Unattached,M50,0:39:01
46,Beard,Romy,Westerlands,F,0:39:08
47,Normand,Ivor,HBT,M50,0:39:38
48,Poulter,Alwyn,Unattached,M,0:39:57
49,Austin,Ritchie,Unattached,M,0:40:01
50,Fleming,Rod,Westerlands,M,0:40:04
51,Michaud,Alex,Unattached,M,0:40:13
52,Berry,Alex,Westerlands,F,0:40:16
53,Sparks,Arron,Westerlands,M,0:40:27
54,Cordeaux,Sarah,Westerlands,F,0:40:32
55,McLaughlin,Danny,Greenock Glenpark Harriers,M60,0:40:39
56,Atkin,David,Westerlands,M60,0:40:40
57,Pettigrew,Iain,Ayr Seaforth,M50,0:40:49
58,Furse,Chris,Westerlands,M50,0:40:53
59,Boyer,Alistair,Westerlands,M,0:41:06
60,Edwards,Colin,Ochil Hill Runners,M40,0:41:35
61,Ruddick,Jenn,Westerlands,F,0:41:42
62,Kane,Michael,Westerlands,M,0:41:42
63,McDonald,Kenny,Bellahouston RR,M40,0:41:46
64,Crawford,Eddie,Arrochar MRT,M40,0:41:48
65,Morris,Alan,Unattached,M,0:42:24
66,Yuill,Andre,Deeside Runners,M,0:42:28
67,Crewe,Ruth,Westerlands,F,0:42:34
68,Gallagher,Brian,Unattached,M,0:42:34
69,McKenny,Mark,Shettleston Harriers,M,0:42:38
70,Comrie,Fiona,North Ayrshire AC,F40,0:42:41
71,MacFarlane,Brian,Unattached,M40,0:42:49
72,Galloway,Grant,Unattached,M,0:42:59
73,Vernal,Ross,Unattached,M40,0:43:24
74,Bowie,Greg,Ayr Seaforth,M40,0:43:27
75,Douglas,George,Westerlands,M50,0:43:28
76,Ridyard,Alison,HBT,F50,0:43:32
77,Shand,Leo,Unattached,M,0:43:37
78,Cunningham,Kerry,Westerlands,F,0:43:52
79,Domminney,Nick,Westerlands,M60,0:44:05
80,Laverty,Hugh,Clydesdale Harriers,M60,0:44:23
81,MacLeod,Murdo,Westerlands,M60,0:44:31
82,McCahill,Emma,Westerlands,F,0:44:33
83,Lorimer,Alan,Clydesdale Harriers,M50,0:44:56
84,O'Brien,Audrey,Westerlands,F40,0:45:28
85,Wallace,Lednard,Centurion RC,M,0:45:45
86,Fowley,Peter,Unattached,M,0:46:08
87,Stakes,David,Unattached,M50,0:46:19
88,Fullwood,Andrew,Westerlands,M50,0:46:19
89,Davidson,Iain,Girvan Harriers,M50,0:46:40
90,Fowler,Paul,Ochil Hill Runners,M40,0:46:57
91,Mills,Daniel,Unattached,M,0:48:29
92,Oram,Louisa,Westerlands,F,0:49:06
93,Bray,Stella,Westerlands,F,0:50:23
94,Noble,Anne,Troon Tortoises,F50,0:50:51
