FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Campbell,Alistair,Cambuslang,M,00:28:11
2,Pullman,Harry,Shettleston,M,00:29:01
3,Callan,Tom,Westerlands CCC,M,00:29:38
4,Harris,Tom,Fife AC,M,00:30:02
5,Thornton,Alistair,Ochils,M,00:30:04
6,Grant-Pantrey,Chris,Shettleston,M40,00:30:49
7,Young,Cameron,Shettleston,M,00:30:58
8,Phillips,George,Westerlands CCC,M,00:31:11
9,MacCarqudale,Iain,Cambuslang,M40,00:31:18
10,MacLeod,James,Garscube,M40,00:31:45
11,Davies,Fred,Shettleston,M,00:31:52
12,Hamlin,Robert,Westerlands CCC,M,00:32:07
13,Pender,Iain,Shettleston,M,00:32:14
14,Rodney,Stewart,West End Road Runners,M,00:32:19
15,Neill,Kenny,Ayr Seaforth,M40,00:32:35
16,Hepburn,David,Glasgow Tri Club,M,00:32:43
17,Carter,Justin,Cambuslang,M50,00:32:44
18,Horne,Arran,Westerlands CCC,M,00:32:46
19,Ring,Josh,Westerlands CCC,M,00:32:48
20,Watts,Kieran,Ochils,M,00:32:57
21,Shields,Andrew,Shettleston,M,00:33:07
22,Mcalinden,Niall,Westerlands CCC,M,00:33:33
23,Laing,Peter,Unattached,M,00:33:36
24,MacIver,Ally,Westerlands CCC,M,00:33:04
25,Anderson,Ross,Westerlands CCC,M,00:34:04
26,Clarkson,Alex,Shettleston,M,00:34:35
27,Ashworth,James,Ochils,M50,00:34:47
28,Eisen,Luis,Shettleston,M,00:35:05
29,McCartney,Cameron,Ochils,M,00:35:20
30,Patterson,Charlie,Westerlands CCC,M,00:35:27
31,Duigun,Sean,West End Road Runners,M,00:35:29
32,Strachan,Andrew,Westerlands CCC,M,00:35:35
33,Murphy,Iain,Cambuslang,M,00:35:42
34,Knox,Thomas,Perth Road Runners,M,00:35:54
35,Johnstone,Leo,Unattached,M,00:35:56
36,Hyland,Jimmy,Westerlands CCC,M,00:36:01
37,Mahoney,Luke,Westerlands CCC,M,00:36:03
38,Arnott,Andrew,West End Road Runners,M,00:36:04
39,Foreman,Ella,Westerlands CCC,F,00:36:11
40,Finch,Tom,Westerlands CCC,M,00:36:18
41,Shaw,David,Run Rhaw,M,00:36:21
42,Topalian,Stanley,Westerlands CCC,M40,00:36:29
43,Breckenridge,Bill,Shettleston,M50,00:36:37
44,Auty,Joe,Unattached,M,00:36:50
45,Foster,Paul,Westerlands CCC,M,00:37:28
46,Sowden,Calum,Unattached,M,00:37:45
47,Ferguson,Jamie,Westerlands CCC,M,00:37:46
48,Watson,Maddie,Law & District,F,00:37:48
49,Crawford,Ross,Unattached,M40,00:38:01
50,Duffy,John,Shettleston,M50,00:38:03
51,Brodie,Stuart,Ochils,M40,00:38:13
52,Coleman,Denis,Run Rhaw,M40,00:38:26
53,Collins,Ian,Westerlands CCC,M40,00:38:30
54,Reid,Don,Westerlands CCC,M60,00:38:34
55,Fielding,Richard,Unattached,M40,00:38:46
56,Stuart,Meg,Westerlands CCC,F,00:38:47
57,Curtis,Bobby,Shettleston,M,00:38:48
58,Reis,Rodrigo,Shettleston,M40,00:38:52
59,Garnett,Ian,Unattached,M,00:38:55
60,Hellam,Lorna,Hartfell HRC,F,00:38:57
61,Anderson,Adam,Unattached,M,00:38:58
62,Robertson,David,Garscube,M50,00:39:16
63,Blair,Andrew,Unattached,M,00:39:38
64,Watson,Edward,Unattached,M,00:40:00
65,Burges,David,Unattached,M,00:40:20
66,McCabe,John,Troon Tortoises,M50,00:41:01
67,Dawson,Nicola,Westerlands CCC,F40,00:41:04
68,Easton,Ian,Westerlands CCC,M50,00:41:11
69,Hotchkiss,Catherine,Westerlands CCC,F,00:41:30
70,McGreevy,Paul,Unattached,M50,00:41:32
71,Sahraie,Tiam,Bellahouston,M,00:42:01
72,Breckenridge,Myrtle,Shettleston,F,00:42:02
