RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Carroll,Mike,Perth Road Runners,M,0:24:52
2,Whitehead,Dan,Deeside Runners,M,0:25:53
3,Naylor,Donald,HBT,M,0:26:18
4,Sullivan,Matthew,Shettleston Harriers,M,0:26:31
5,Bonnyman,Brian,Westerlands,M,0:27:36
6,Hensman,Will,Central AC,M,0:27:49
7,Wiseman,Bob,Ochil Hill Runners,M,0:28:01
8,Winter,Stephen,Shettleston Harriers,M,0:28:02
9,Manners,Will,Strathearn Harriers,M40,0:28:19
10,Taylor,Ewan,PH Racing,M,0:28:32
11,Knox,Jonny,Anster Haddies,M40,0:28:47
12,Simpson,Peter,Carnegie Harriers,M50,0:28:53
13,Williams,Phil,Central AC,M,0:28:55
14,Anderson,Iain,Dundee Hawkhill,M40,0:29:01
15,Crowe,Des,Penicuik Harriers,M40,0:29:09
16,Allan,Douglas,Ochil Hill Runners,M,0:29:16
17,Llewellyn,Andrew,Unattached,M,0:29:18
18,Laing,Martin,Unattached,M50,0:29:24
19,Kirby,Graham,Fife AC,M40,0:29:30
20,Stevenson,John,Ochil Hill Runners,M40,0:29:37
21,Hargreaves,William,Carnegie Harriers,M,0:29:38
22,Fallon,Steven,Carnethy,M40,0:29:50
23,Johnston,Graham,Strathearn Harriers,M,0:30:01
24,Coombs,Richard,Ochil Hill Runners,M40,0:30:10
25,King,Steven,Carnegie Harriers,M,0:30:12
26,Denovan,John,Tartan Warrior,M,0:30:23
27,Leonard,Paul,Dundee Hawkhill,M40,0:30:34
28,Anderson,Laurie,Lomond Hill Runners,M50,0:30:53
29,O`Shea,Emma,Deeside Runners,F,0:30:54
30,Scott,Tom,Fife AC,M50,0:30:58
31,Runner3,Unknown,Unknown,M,0:30:59
32,Smith,Bill,Fife AC,M40,0:31:13
33,Judge,Kevin,Carnethy,M,0:31:17
34,Pryde,Gordon,Lomond Hill Runners,M50,0:31:19
35,Mestecky,Phil,Strathearn Harriers,M40,0:31:21
36,Summers,Robert,Beacon Runners,M40,0:31:40
37,Knox,Thomas,Anster Haddies,M,0:31:50
38,Shepherd,Andrew,Carnethy,M50,0:31:53
39,Buchanan,Peter,Ochil Hill Runners,M50,0:31:54
40,Millington,Andrew,Perth Road Runners,M,0:31:58
41,Jelly,Ewan,Perth Road Runners,M,0:31:59
42,Mitchell,Dave,Dundee Hawkhill,M40,0:31:59
43,Forte,Phil,Dundee Hawkhill,M50,0:31:59
44,Milne,Bruce,Carnethy,M40,0:32:01
45,Douglas,Claire,Perth Road Runners,F35,0:32:02
46,Shah,Rashmi,Kinross Road Runners,M40,0:32:03
47,Hague,Peter,Cairngorm Runners,M40,0:32:13
48,Henry,Peter,Deeside Runners,M,0:32:17
49,Hunter,Stuart,Cosmics,M40,0:32:25
50,Johns,Andy,Kinross Road Runners,M,0:32:28
51,Tipping,Phil,Strathearn Harriers,M40,0:32:35
52,Higginbottom,Jacqui,Carnethy,F35,0:32:38
53,Campbell,Isla,Central AC,F,0:32:38
54,McNulty,Ian,Dundee Hawkhill,M40,0:32:41
55,Hanlon,Dave,Dundee Hawkhill,M50,0:32:42
56,Wooler,Grant,Perth Road Runners,M40,0:32:44
57,Wilson,Niall,Carnegie Harriers,M,0:33:01
58,Strachan,Grant,Perth Road Runners,M,0:33:02
59,Law,John,Anster Haddies,M40,0:33:05
60,Runner4,Unknown,Unknown,M,0:33:10
61,Wiseman,Sarah,Ochil Hill Runners,F,0:33:11
62,Roberts,Clive,Fife AC,M50,0:33:12
63,Orr,Johnston,Westerlands,M,0:33:21
64,Park,Angela,Perth Road Runners,F,0:33:30
