RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Espie,James,Deeside Runners,M,0:38:18
2,McLaren,Jamie,Strathclyde University,M,0:40:22
3,Wallace,David,Ochil Hill Runners,M40,0:40:49
4,McInally,Ralph,Unattached,M,0:41:21
5,Wilkins,Robin,Ochil Hill Runners,M40,0:41:30
6,Anthony,Alasdair,Ochil Hill Runners,M40,0:42:07
7,Dickson,Fraser,Unattached,M,0:42:32
8,MacInnes,Alasdair,Westerlands,M,0:42:52
9,Baxter,Grant,Ochil Hill Runners,M40,0:43:48
10,Davis,Adrian,Lomond Hill Runners,M50,0:44:26
11,Mudge,Angela,Carnethy,F40,0:45:00
12,Smith,Alan,Deeside Runners,M50,0:45:22
13,Allsop,David,Kirkintilloch Olympians,M40,0:46:27
14,Gray,Ross,Dundee University,M,0:47:00
15,Finch,Tom,Westerlands,M,0:47:08
16,Stewart,Ewan,Unattached,M,0:47:31
17,McNeill,Norry,Kirkintilloch Olympians,M40,0:48:13
18,McLaughlin,David,Unattached,M,0:50:07
19,Scheuerl,Stephan,Wee County Harriers,M40,0:50:20
20,Crawford,Ross,Unattached,M40,0:50:51
21,Brodie,Stuart,Ochil Hill Runners,M,0:51:02
22,Watson,Dan,Lochtayside,M50,0:51:14
23,Pryde,Gordon,Lomond Hill Runners,M60,0:51:15
24,Weir,Jonathan,Unattached,M40,0:51:20
25,Ditty,Derek,Unattached,M40,0:51:27
26,Houston,Stewart,Unattached,M,0:51:35
27,Bass,Owen,Solway,M50,0:51:47
28,Laing,Catriona,Dundee University,F,0:52:11
29,McInally,Hanna,Unattached,F,0:52:46
30,Homer,Alan,Derwent Valley Running Club,M,0:52:47
31,Dudchenko,Paul,Linlithgow Harriers,M50,0:52:50
32,Hetherington,Michelle,Carnethy,F50,0:52:59
33,Daly,Mark,Unattached,M,0:53:00
34,Reid,Don,Westerlands,M60,0:53:11
35,Adam,Sarah,Westerlands,F40,0:53:15
36,Shaw,Lee,Strathclyde University,M,0:53:44
37,MacEwan,John,Ochil Hill Runners,M50,0:54:02
38,Ruddick,Jenn,Westerlands,F,0:54:22
39,Waterhouse,Bob,Carnethy,M60,0:54:27
40,Mackenzie,Joe,Glenrothes Tri Club,M,0:54:46
41,Shaw,Trevor,Lochtayside,M50,0:54:56
42,Kelsall,Fiona,Ochil Hill Runners,F40,0:55:04
43,Summers,Robert,Beacon Runners,M50,0:55:58
44,Furse,Chris,Westerlands,M50,0:56:16
45,Maclean,Fiona,Unattached,F40,0:56:25
46,Munro,Frazer,Kinross Road Runners,M50,0:56:47
47,Beveridge,Keith,Lochaber AC,M40,0:57:06
48,MacLeod,Murdo,Westerlands,M60,0:57:35
49,Earle,Paddy,Tinto Hill Runners,M60,0:57:40
50,Adams,Elizabeth,Westerlands,F,0:57:50
51,Berry,Hannah,Dundee University,F,0:58:08
52,Hilmi,Amber,Dundee University,F,0:58:08
53,Brennan,Brian,Westerlands,M60,0:58:15
54,Ledlie,Colin,Carnethy,M50,0:58:25
55,Donnelly,John,Westerlands,M50,0:58:30
56,Stevenson,Greig,Lomond Hill Runners,M,0:58:35
57,Ward,Ausrine,Kirkintilloch Olympians,F40,0:59:23
58,Wilson,Colin,Lomond Hill Runners,M50,0:59:37
59,Stevenson,Lyndsey,Unattached,F,0:59:57
60,Stakes,David,Unattached,M50,1:00:09
61,Pettigrew,Iain,Ayr Seaforth,M50,1:00:26
62,Dillon,Stewart,Fife AC,M50,1:00:22
63,Godfrey,Kevin,Lothian,M40,1:00:51
64,Ritchie,Hilary,Fife AC,F50,1:00:55
65,Wilson,Joan,Lomond Hill Runners,F50,1:01:45
66,Gunstone,Chris,Portobello,M60,1:02:01
67,Valentine,Russ,Falkland Trail Runners,M50,1:02:05
68,Boyer,Alistair,Westerlands,M40,1:02:14
69,O'Brien,Audrey,Westerlands,F40,1:04:57
70,Cunningham,Emer,Unattached,F,1:05:07
71,Scott,Jocelyn,Fife AC,F60,1:05:13
72,Duncan,David,Ochil Hill Runners,M60,1:05:16
73,McColm,Stuart,Ayr Seaforth,M50,1:05:42
74,Hamer,John,Westerlands,M50,1:05:58
75,Eleftheriou,Kate,Stirling University,F,1:08:09
76,Chandler,Richard,Carnethy,M50,1:08:24
77,Cessford,Lee,Falkland Trail Runners,M40,1:08:39
78,Cuthbert,Ryan,Unattached,M,1:08:42
79,Hunter,Lia,Lochaber AC,F,1:09:05
80,Fraser,Ronald,Dundee Road Runners,M50,1:10:36
81,Gayle,Vernon,Forth Valley Orienteers,M50,1:11:42
82,Summers,Robert,Beacon Runners,M50,1:14:04
83,Fowler,Paul,Ochil Hill Runners,M40,1:20:51
