RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Sullivan,Matthew,Shettleston Harriers,M,3:14:26
2,Catmur,Edward,Thames H&H,M,3:19:20
3,Kirby,Graham,Fife AC,M40,3:32:05
4,Mon-Williams,Mark,Ilkley Harriers,M40,3:32:44
5,Thompson,Dave,Unattached,M40,3:38:03
6,Hill,Chris,Cosmics,M,3:40:11
7,Reid,Alan,Peterhead Running Club,M40,3:40:19
8,Kay,John,Fife AC,M50,3:40:42
9,Boyd,Nicol,Unattached,M,3:45:24
10,Boyd,Euan,Carnethy,M,3:45:24
11,Windram-Geddes,Morgan,Fife AC,F,3:49:40
12,Matthews,Paul,Metro Aberdeen,M,3:53:55
13,Smith,Alan,Deeside Runners,M50,3:53:58
14,Lawson,Johnny,Portobello,M,3:54:35
15,Gordon,Claire,HBT,F,3:57:23
16,Mitchell,Simon,Fleet & Crookham AC,M40,4:00:41
17,Jenkins,Kate,Gala Harriers,F,4:01:27
18,Kerridge,Donald,Deeside Runners,M40,4:04:10
19,Henry,Peter,Deeside Runners,M,4:08:03
20,Smith,Stephen,Aberdeen AAC,M,4:08:57
21,Johns,Andy,Kinross Road Runners,M,4:11:14
22,Bass,Owen,Solway,M40,4:11:44
23,Brooks,Mike,Penicuik Harriers,M40,4:14:10
24,Reid,Duncan,Springburn Harriers,M50,4:14:33
25,Curtis,Lee,Dunbar RC,M,4:16:13
26,Laycock,Andy,Kinross Road Runners,M40,4:18:47
27,O`Sullivan,Sean,Deeside Runners,M,4:18:52
28,O`Shea,Emma,Deeside Runners,F,4:19:12
29,Brown,Nicholas,Corstorphine,M,4:21:16
30,Cassidy,Iain,Nairn Road Runners,M50,4:21:47
31,King,Steven,Carnegie Harriers,M,4:24:25
32,Scott,Fraser,Lomond Hill Runners,M,4:25:39
33,Kelly,Chris,Unattached,M40,4:26:58
34,Short,Kenny,Teviotdale Harriers,M40,4:27:44
35,Smith,Stuart,Cosmics,M,4:29:51
36,Brennan,Matthew,Ripley RC,M,4:33:30
37,Moriarty,Brendan,Bellahouston RR,M,4:35:27
38,Simpson,Jane,Bellahouston RR,F,4:35:30
39,Wilson,Alan,Tinto Hill Runners,M40,4:36:05
40,Howie,Brian,Carnethy,M50,4:36:28
41,Irvine,Rob,Cosmics,M40,4:36:33
42,Blyth,Mark,Unattached,M40,4:36:35
43,Tipping,Phil,Strathearn Harriers,M40,4:37:50
44,Matthews,Alison,Metro Aberdeen,F,4:37:58
45,Doney,Alexander,Unattached,F40,4:39:34
46,McIntosh,John,Unattached,M40,4:39:57
47,Bowman,Angus,Lomond Hill Runners,M50,4:40:53
48,Sim,Andrew,Carnegie Harriers,M40,4:41:40
49,Wilson,Colin,Lomond Hill Runners,M40,4:42:00
50,Turner,Dave,Lomond Hill Runners,M40,4:42:55
51,Smithard,Phil,Carnegie Harriers,F50,4:45:07
52,Beal,Marietta,Edinburgh AC,F40,4:48:54
53,Dobson,Judith,Kinross Road Runners,F50,4:50:00
54,Coull,Evelyn,Deeside Runners,F60,4:50:35
55,Milne,Ron,Forfar Road Runners,M50,4:55:22
56,MacRitchie,Neil,Peterhead Running Club,M,4:56:52
57,Wilson,Joan,Lomond Hill Runners,F40,4:59:33
58,Brown,Peter,Beacon Runners,M40,4:59:38
59,Love,Charlie,Dundee Hawkhill,M60,5:05:04
60,Shields,John,Metro Aberdeen,M50,5:06:22
61,Wong,Ivan,Lomond Hill Runners,M,5:10:07
62,Owens,Phil,Portobello,M,5:12:35
63,Rennie,Nick,Unattached,M40,5:14:41
64,Malcolm,Richard,Mansfield Harriers,M40,5:15:51
65,Knight,David,Norham RC,M40,5:15:59
66,Gray,David,Unattached,M50,5:16:22
67,Lee,Rab,Falkirk Victoria Harriers,M,5:17:19
68,Sheehan,Ruari,Insch Trail Running Club,M,5:19:17
69,Clunas,Gillian,Cosmics,F50,5:22:07
70,Hay,Bruce,Unattached,M40,5:23:36
71,Henderson,Jenny,Highland Hill Runners,F,5:25:41
72,Main,Gordon,Nairn Road Runners,M50,5:25:43
73,Brennan,Rebecca,Fleet & Crookham AC,F,5:27:42
74,Headley,Phillipa,Carnethy,F40,5:27:52
75,Blake,Katie,Portobello,F,5:27:59
76,Skripek,Rob,Fleet & Crookham AC,M40,5:30:31
77,Lawrie,Lynsey,Portobello,F,5:30:52
78,Mercer,Suzanne,Borders Triathletes,F40,5:32:43
79,Bell,Adam,Unattached,M,5:41:16
80,Kuz,Lynne,Carnegie Harriers,F40,5:47:48
81,Sim,Helena,Carnegie Harriers,F40,5:47:48
82,Marzaioli,Sarah,Hastings Runners,F60,5:49:40
