RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Mitchell,Craig,Vegan Runners,M,1:35:28
2,Harris,Mark,Fife AC,M40,1:36:20
3,Smith,Tom,Lochaber AC,M,1:36:50
4,Williamson,Jason,Cosmics,M,1:37:36
5,Upson,Chris,Westerlands,M40,1:38:41
6,Kay,John,Fife AC,M50,1:40:58
7,Ward,Peter,Unattached,M,1:42:40
8,Dale,Andy,Loch Eck Orienteers,M40,1:44:45
9,MacBeath,Niall,Lochaber AC,M40,1:44:57
10,King,Steven,Carnegie Harriers,M,1:45:04
11,Gay,Jon,Lochaber AC,M,1:45:48
12,Craig,Andrew,Lochaber AC,M40,1:49:18
13,Gorgas,Steffen,Westerlands,M,1:49:45
14,Kennedy,Ali,Lochaber AC,M40,1:49:57
15,Binnie,John,Lochaber AC,M40,1:50:05
16,Barnett,Gary,Giffnock North,M,1:50:06
17,Orr,David,Lochaber AC,M,1:50:36
18,Bass,Owen,Solway,M40,1:51:03
19,Blackhall,Amanda,Lochaber AC,F,1:51:21
20,Turner,Ronnie,Lochaber AC,M40,1:52:06
21,Treasurer,Jim,Lochaber AC,M50,1:52:37
22,Duncan,David,Ochil Hill Runners,M50,1:57:07
23,Macmillan,Susannah,Unattached,F40,1:57:30
24,Denny,Colin,Lochaber AC,M40,1:59:40
25,Shaw,Lyndsey,Lochaber AC,F,1:59:45
26,McCabe,James,Unattached,M40,2:01:24
27,Barnes,Hannah,Lochaber AC,F,2:01:30
28,Sim,Andrew,Carnegie Harriers,M40,2:01:38
29,Marsden,Steven,Highland Hill Runners,M40,2:02:01
30,Henrys,Mark,Lochaber AC,M40,2:02:16
31,MacEwan,Linda,Lochaber AC,F40,2:04:31
32,Bowman,Angus,Lomond Hill Runners,M50,2:05:20
33,Forster,Nix,Lochaber AC,F40,2:06:06
34,Bindels,Bert,Lochaber AC,M50,2:06:23
35,Murdoch,Ray,Lochaber AC,M60,2:07:09
36,Rowan,Arlene,Lochaber AC,F,2:07:25
37,Davie,Bruce,Lochaber AC,M40,2:09:01
38,Murdoch,Gail,Carnegie Harriers,F40,2:10:40
39,Finnimore,Andrew,Lochaber AC,M50,2:13:25
40,Tomlinson,David,Lochaber AC,M60,2:13:43
41,Dowell,Finlay,Irvine RC,M50,2:14:24
42,Weir,Jonathan,Unattached,M,2:15:09
43,Orr,Ernie,Lochaber AC,M60,2:15:26
44,Broome,Chris,Anster Haddies,M50,2:15:40
45,Sim,Helena,Carnegie Harriers,F40,2:17:01
46,Pearce,Emma,Lochaber AC,F40,2:17:28
47,Bass,Ursula,Deeside Runners,F40,2:18:22
48,Ross,Susan Jane,Lochaber AC,F40,2:20:11
49,Paterson,Chloe,Lochaber AC,F,2:24:43
50,Corner,Julie,Lochaber AC,F,2:24:43
51,Ross,Kirstie,Lochaber AC,F,2:26:37
52,Winning,Jim,Lomond Hill Runners,M50,2:27:01
53,MacDonald,Hamish,Aberdeen AAC,M50,2:29:35
54,Dougan,John,Lochaber AC,M50,2:29:35
55,Murdoch,Elma,Lochaber AC,F50,2:35:02
56,Morgan,Sharyn,Lochaber AC,F,2:35:18
57,Bradley,Siobhan,Lochaber AC,F,2:36:42
58,Bowman,Jean,Lomond Hill Runners,F50,2:38:15
59,Lees,Shan,Beacon Runners,F40,2:38:32
60,Adams,Ian,Lochaber AC,M50,2:39:32
61,Morrison,Ellen,Lochaber AC,F,2:39:32
62,Duncan,Aileen,Lochaber AC,F40,2:39:32
63,McGovan,Gill,Beacon Runners,F,2:41:11
64,Treasurer,Claire,Lochaber AC,F,2:41:58
65,Hunter,Ruth,Beacon Runners,F,2:48:22
66,Watt,June,Lochaber AC,F40,2:56:06
67,Kilpatrick,Lyn,Lochaber AC,F40,2:56:51
68,MacPhee,Margaret Rose,Lochaber AC,F40,2:58:14
