FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Thornton,Alistair,Howgill Harriers,M,00:36:08
2,Harris,Tom,Fife AC,M,00:36:41
3,Van Dijk,Benjamin,Ochil Hill Runners,M,00:37:19
4,Grant-Pantrey,Chris,Shettleston Harriers,M40,00:39:03
5,Knox,Thomas,Anster Haddies,M,00:40:01
6,Ring,Josh,Westerlands CCC,M,00:40:08
7,Wainwright,Sam,Ochil Hill Runners,M,00:40:26
8,Dobson,Jacob,Unattached,M,00:42:35
9,Gard-Storry,Bobby,Ochil Hill Runners,M,00:43:12
10,Finch,Tom,Westerlands CCC,M,00:44:42
11,Henderson,Scott,Westerlands CCC,M40,00:45:32
12,Riggans,Liam,Carnethy,M,00:45:49
13,Anderson,Micky,Unattached,M50,00:46:23
14,Lorimer,Hayden,HBT,M50,00:46:33
15,Anderson,Ross,Westerlands CCC,M,00:46:49
16,Theaker,Damien,Westerlands CCC,M60,00:47:18
17,Thomson,James,Unattached,M,00:47:19
18,Gilmore,Iain,Carnethy,M,00:47:24
19,Knox,Lizzie,Carnethy,F,00:47:31
20,Brodie,Stuart,Ochil Hill Runners,M40,00:47:47
21,Gray,Telfer,Edinburgh Uni H&H,M,00:47:52
22,Gilmore,Neil,Carnethy,M50,00:48:39
23,Reid,Don,Westerlands CCC,M60,00:50:15
24,Gordon,Helen,Unattached,F,00:50:25
25,Ross,Freya,Falkirk Victoria Harriers,F,00:51:43
26,Preiss,Alastair,Ochil Hill Runners,M40,00:52:21
27,Williamson,Daniel,Westerlands CCC,M,00:52:34
28,Foster,Paul,Westerlands CCC,M,00:52:43
29,Callender,James,Westerlands CCC,M,00:54:38
30,Pugh,Roderick,Kilmarnock Harriers,M60,00:55:04
31,Wright,Martyn,Unattached,M,00:55:12
32,Turner,Judith,PH Racing Club,F40,00:55:16
33,Johns,Andy,Kinross RR,M50,00:55:47
34,Mitchell,Neill,Fife AC,M50,00:55:52
35,Furse,Chris,Westerlands CCC,M50,00:56:03
36,Fitzpatrick,Pat,Ochil Hill Runners,M70,00:56:06
37,Lampard,Stuart,Unattached,M50,00:56:31
38,Williamson,Philip,Pitreavie AAC,M60,00:56:49
39,Musgrave,Rosy,Ochil Hill Runners,F,00:57:35
40,Mulholland,Arthur,East Kilbride AC,M50,00:59:26
41,Dott,Glen,Stirling Tri Club,M50,00:59:30
42,Boyer,Alistair,Westerlands CCC,M40,01:01:52
43,MacNeill,Sarah,HBT,F,01:02:03
44,Tooby,Hugh,Ochil Hill Runners,M60,01:02:15
45,Ritchie,Karen,Kinross RR,F,01:04:38
46,Midgley,Peter,Westerlands CCC,M60,01:05:39
47,Fullwood,Andrew,Westerlands CCC,M50,01:09:56
48,Fowler,Paul,Ochil Hill Runners,M50,01:10:37
49,Mitchell,Karen,Kinross RR,F40,01:13:13
50,Chubb,Lily,Unattached,M,01:13:16
