RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Dougal,Darin,Moorfoot Runners,M,0:26:35
2,Mattocks,Craig,Gala Harriers,M,0:28:23
3,Cox,Andrew,Moorfoot Runners,M,0:29:21
4,Mowbray,Phil,HBT,M,0:30:09
5,Williams,Colin,Moorfoot Runners,M,0:30:25
6,Forrest,Gary,Unattached,M,0:30:37
7,Bates,John,Unattached,M,0:31:14
8,Cheskin,Lucas,Shettleston Harriers,M,0:31:20
9,Florida-James,Geraint,Carnethy,M,0:31:21
10,Morgan,Charlotte,Carnethy,F,0:31:43
11,Jenkins,Kate,Gala Harriers,F,0:32:54
12,Maass,Digby,Carnethy,M,0:35:48
13,Cheskin,David,Moorfoot Runners,M,0:38:33
14,Lamont,Mike,Carnethy,M,0:43:23
15,Double,Adam,Unattached,M,0:44:32
16,McGowan,Alistair,Carnethy,M,0:57:12
