RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Gay,Dan,HBT,M,1:24:54
2,Marshall,Brian,HELP,M40,1:24:55
3,Johnston,Fergus,Carnethy,M,1:26:36
4,Campbell,Ross,Highland Hill Runners,M,1:28:18
5,Harris,Mark,Fife AC,M40,1:28:42
6,Gilmore,Andrew,Highland Hill Runners,M,1:29:42
7,Harris,Adam,Unattached,M,1:32:01
8,Gorman,Manny,Westerlands,M40,1:32:04
9,Smith,Alan,Deeside Runners,M50,1:34:08
10,Knox,Jonny,Anster Haddies,M40,1:34:56
11,Cox,Andrew,Moorfoot Runners,M,1:36:21
12,Mackenzie,Donald,Lomond Hill Runners,M40,1:36:52
13,Morgan,Charlotte,Carnethy,F,1:37:08
14,O`Neill,Owen,Westerlands,M,1:37:23
15,Bradley,Scott,Carnegie Harriers,M,1:37:26
16,Mackie,Peter,Shettleston Harriers,M,1:37:40
17,Simpson,Peter,Carnegie Harriers,M50,1:37:44
18,Breckenridge,Bill,Shettleston Harriers,M40,1:38:11
19,Baxter,Grant,Ochil Hill Runners,M40,1:38:40
20,Fraser,Gary,Ochil Hill Runners,M40,1:38:44
21,Gibson,Billy,Dundee Hawkhill,M,1:38:55
22,Malcolm,Bruce,Corstorphine,M40,1:40:40
23,Gilmore,Iain,Carnethy,M,1:40:40
24,Gay,Sula,HBT,F,1:40:52
25,Pringle,Alastair,Shettleston Harriers,M40,1:42:55
26,Sanderson,Stuart,Penicuik Harriers,M40,1:43:22
27,Bird,Sharon,Carnethy,F,1:43:29
28,King,Steven,Carnegie Harriers,M40,1:43:36
29,Mowbray,Megan,HBT,F,1:43:50
30,Knox,Thomas,Anster Haddies,M,1:44:04
31,Gilmore,Neil,Carnethy,M50,1:44:04
32,McCall,Tim,Norham RC,M50,1:44:10
33,Pryde,Gordon,Lomond Hill Runners,M50,1:44:41
34,Cowan,David,Fife AC,M50,1:45:10
35,Brooks,Mike,Penicuik Harriers,M40,1:45:26
36,Kelly,Graham,Westerlands,M40,1:45:36
37,Harrison,Jason,Lomond Hill Runners,M40,1:47:28
38,Kenyon,Oliver,HBT,M,1:47:34
39,Anderson,Neil,MR25,M50,1:48:23
40,Gallagher,Ronnie,Carnethy,M50,1:49:05
41,Addie,James,Dunbar RC,M,1:49:20
42,Hill,Christopher,British Military Fitness,M40,1:50:36
43,Pugh,Roderick,Kilmarnock Harriers,M50,1:50:40
44,Cooper,Brian,Perth Road Runners,M,1:50:45
45,Boyd,Lisa,Carnethy,M,1:51:20
46,Dickson,David,Westerlands,M50,1:51:42
47,Jelly,Ewan,Perth Road Runners,M,1:52:11
48,Anderson,Eck,Anster Haddies,M,1:53:23
49,Lomas,Paul,Unattached,M40,1:53:50
50,MacIntyre,Jacqueline,Carnegie Harriers,F,1:54:37
51,Rennie,Willie,Carnegie Harriers,M40,1:55:03
52,Bartlett,Pat,Interlopers,M40,1:55:15
53,Ingram,Richard,Cosmics,M40,1:56:32
54,Jackson,Jane,Carnethy,F40,1:56:32
55,Cassells,Derek,Carnegie Harriers,M,1:56:39
56,Garside,Richard,Ochil Hill Runners,M,1:57:23
57,Reynolds,Colin,Carnegie Harriers,M40,1:58:25
58,Hughes,Nick,Unattached,M,1:58:30
59,Payne,Lina,Deeside Runners,F40,1:58:36
60,McIntyre,Iain,Highland Hill Runners,M50,1:58:36
61,Sim,Andrew,Carnegie Harriers,M40,1:59:36
62,Hartree,Mark,Carnethy,M40,1:59:47
63,Moffat,John,Highland Hill Runners,M50,2:00:24
64,Forte,Phil,Dundee Hawkhill,M50,2:03:05
65,Bowman,Angus,Lomond Hill Runners,M50,2:03:30
66,Duncan,David,Ochil Hill Runners,M50,2:03:33
67,Budgett,Suzanne,Horwich,F50,2:04:35
68,Sinclair,Melanie,Unattached,F40,2:04:46
69,Anderson,Kevin,Penicuik Harriers,M40,2:05:26
70,McLean,Graham,Corstorphine,M50,2:05:36
71,Turner,Dave,Lomond Hill Runners,M40,2:06:51
72,Osborn,David,Lomond Hill Runners,M50,2:07:38
73,Crookston,John,Carnegie Harriers,M50,2:08:07
74,Vallance,Calum,Carnegie Harriers,M40,2:08:19
75,Macaulay,Allan,Carnegie Harriers,M50,2:08:28
76,Thomson,Iain,Strathearn Harriers,M60,2:09:12
77,Ramsay,Graham,Shettleston Harriers,M40,2:09:18
78,Stakes,David,Unattached,M50,2:10:14
79,Gilligan,Steven,Westerlands,M,2:10:28
80,Cumming,Mike,Fife AC,M,2:10:32
81,Millar,Neil,Fife AC,M40,2:10:50
82,Ferguson,Mark,Fife AC,M,2:16:30
83,Davidson,Stewart,Fife AC,M60,2:18:51
84,O`Brien,Paul,Corstorphine,M50,2:19:17
85,Smithard,Phil,Carnegie Harriers,M60,2:20:11
86,Marwick,Katie,HBT,F,2:20:34
87,Greer,Stephen,Carnegie Harriers,M50,2:21:05
88,O`Malley,Sinead,HBT,M,2:24:52
89,Maxwell,Susie,Penicuik Harriers,M40,2:28:13
90,McLure,Neil,Carnegie Harriers,M40,2:28:40
91,Bowman,Jean,Lomond Hill Runners,F50,2:34:25
92,Lawson,Graeme,Linlithgow Harriers,M40,2:36:34
93,Gorres,Roy,Unattached,M40,2:36:45
94,Smit,Inge,Unattached,F40,2:36:45
95,Reynolds,Lesley,Carnegie Harriers,F40,2:37:09
96,Fleming,Morna,Pitreavie,F60,2:41:45
97,Brown,Sharon,Anster Haddies,F,2:42:43
98,Lumsden,Ewan,Anster Haddies,M,2:42:45
99,Zuniea,Cristobal,Chile,M,2:47:30
100,Fraser,Ronald,Dundee Road Runners,M50,3:00:25
101,Zuniea,Carlos,Chile,M40,3:04:20
