RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Fallas,Andrew,Carnethy,M,1:10:35
2,Harris,Mark,Fife AC,M40,1:13:15
3,Dougal,Darin,Moorfoot Runners,M40,1:15:42
4,Paris,Jasmin,Carnethy,F,1:20:04
5,Cox,Andrew,Moorfoot Runners,M,1:20:34
6,Mykura,Jill,Carnethy,F,1:21:12
7,Hardie,James,Carnethy,M,1:21:16
8,Borthwick,Charlie,Border Harriers,M40,1:22:06
9,Andrew,Mike,Carnethy,M40,1:22:18
10,Kemp,Alex,Unattached,M,1:22:44
11,Longmore,Rory,Hartfell HRC,M50,1:22:54
12,Kirby,Graham,Fife AC,M40,1:23:09
13,Nash,Graham,Carnethy,M40,1:23:27
14,Williams,Colin,Moorfoot Runners,M,1:25:25
15,Whiteford,Kenny,Unattached,M40,1:26:57
16,Rendle,Craig,Moorfoot Runners,M,1:26:58
17,Patterson,Robert,Unattached,M,1:26:59
18,Martin,Neil,Lomond Hill Runners,M40,1:27:29
19,Plummer,Kevin,Hartfell HRC,M40,1:27:41
20,Fallas,Helen,Carnethy,F,1:27:56
21,Cameron,Gordon,Carnethy,M50,1:28:22
22,Coopland,Martin,Annan & District AC,M40,1:29:08
23,Burnett,Neil,Carnethy,M40,1:30:04
24,Donoghue,James,Team Ironbelly,M,1:30:36
25,Robertson,Ally,Carnethy,M,1:30:38
26,Kelly,Graham,Westerlands,M40,1:30:41
27,Lowe,David,Alnwick Harriers,M40,1:31:05
28,Taylor,Richard,Dunbar RC,M40,1:31:06
29,Duff,John,Northumberland FR,M40,1:31:25
30,Henry,Graham,Portobello,M40,1:31:59
31,Proctor,Carl,Penicuik Harriers,M,1:34:01
32,Appleby,Paul,Northumberland FR,M50,1:34:20
33,Pikett,William,Norham RC,M40,1:34:48
34,Paul,Alastair,Northumberland FR,M50,1:35:39
35,Jones,Matthew,Carnethy,M,1:36:10
36,Connor,Julia,Unattached,F,1:36:37
37,MacGregor,Stuart,Unattached,M40,1:36:50
38,Thomas,Ranjit,Dumfries RC,M40,1:38:30
39,Nowicki,Michael,Carnethy,M,1:39:07
40,Gibson,Willie,Carnethy,M50,1:39:08
41,McCloy,David,Unattached,M40,1:39:40
42,McPartland,Frank,HELP,M50,1:40:03
43,Blackwood,Chris,Moorfoot Runners,M40,1:40:04
44,Furse,Chris,Westerlands,M40,1:41:22
45,Semple,Hamilton,Westerlands,M50,1:44:16
46,Telfer,John,Northumberland FR,M50,1:45:38
47,Heskin,David,Unattached,M40,1:45:46
48,Millan,Ally,HBT,M,1:47:32
49,Clark,Lesley,Cosmics,F,1:49:09
50,Powell,Alison,Edinburgh AC,F40,1:50:24
51,Coyle,Shaun,Westerlands,M40,1:51:32
52,Walker,Sean,Unattached,M,1:51:59
53,Smith,Ben,Unattached,M,1:53:13
54,Nisbet,Dougie,Durham Fell Runners,M40,1:54:25
55,Macdougall,Ken,Tinto Hill Runners,M40,1:55:10
56,Heppell,Nigel,Elvet Striders,M50,1:56:46
57,Phillips,Dominic,Unattached,M,1:57:20
58,Fettes,Paul,HELP,M50,1:57:57
59,Buchanan,Jim,Hartfell HRC,M70,1:59:23
60,Moncrieff,Stuart,Team Ironbelly,M,2:00:36
61,Khan,Mohammed,Dumfries RC,M,2:06:34
62,MacKenzie,Becky,Unattached,F,2:07:44
63,Priestley,Nigel,Annan & District AC,M50,2:10:10
64,Smith,Janice,HBT,F50,2:11:55
65,Gerrie,Robert,Unattached,M,2:27:22
66,Wall,Dick,HBT,M50,2:33:24
