FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Alexander,Sam,Westerlands CCC,M,01:04:53
2,Taylor,Luke,Highland HR,M,01:09:05
3,Howie,Robin,Highland HR,M,01:09:56
4,Mcinally,Ralph,Strathearn Harriers,M,01:10:20
5,Mann,Joe,Highland HR,M,01:10:49
6,Crutchfield,Stuart,Westerlands CCC,M,01:11:14
7,Gilmore,Andrew,Highland HR,M,01:11:30
8,Williamson,Clyde,Cosmics,U23,01:12:05
9,Cabrera Valdes,Francisco Javier,Highland HR,M,01:13:50
10,Smith,Ben,Unattached,M,01:15:41
11,Gilmore,Iain,Carnethy ,M,01:16:22
12,Gardiner,Stuart,Highland HR,M,01:16:26
13,Hill,Alex,Lochaber AC,M,01:17:39
14,Ferguson,Norman,Stonehaven RC,M,01:18:40
15,Burnett,Robin,Inverness Harriers,M50,01:18:57
16,Watson,Ed,Drumguish TT,M40,01:19:02
17,Manners,Will,Strathearn Harriers,M50,01:19:05
18,Bowers,William,Ochils,M,01:19:12
19,Pearks,David,Highland HR,M50,01:20:33
20,Shaw,Ruairidh,Lochaber AC,M,01:20:51
21,Lorimer,Hayden,HBT,M50,01:21:03
22,Sparks,Arron,Highland HR,M,01:21:07
23,Reid,Lewis,Strathclyde Uni MC,U23,01:21:19
24,Gordon,Ryan,Stonehaven RC,M40,01:21:20
25,Watters,Steven,Stonehaven RC,M40,01:21:26
26,Farquharson,Edward,Unattached,M,01:22:22
27,Whiteside,Gavin,Highland HR,M,01:23:02
28,Riding,David,Achille Ratti CC,M40,01:23:33
29,Tindley,Georgia,HBT,F,01:23:58
30,Hogarth,Andrew,Unattached,M,01:24:00
31,Wright,Finlay,Lochaber AC,M40,01:24:04
32,MacKay,Ryan,Lochaber AC,M,01:24:05
33,Macdonald,John Lawrie,Lochaber AC,M40,01:24:38
34,Williamson,Jason,Cosmics,M50,01:24:40
35,Du Plessis,Kevin,Vegan Runners UK,M40,01:24:43
36,Smith,Alan,Deeside Runners,M60,01:25:01
37,Urquhart,John,Moray RR,M50,01:25:12
38,Wilson,Stewart,Highland HR,M50,01:25:21
39,Anderson,Heather,Fife AC,F40,01:26:07
40,Smith,Christopher,Highland HR,M40,01:27:26
41,Ross,Heidi,Carnethy ,F,01:27:50
42,Wilson,Craig,Unattached,M,01:28:35
43,Cornwall,Matilda,Highland HR,F,01:28:49
44,Macdonald,Dennis,Cosmics,M50,01:30:14
45,Oldham,Veronique,Cosmics,F50,01:30:17
46,Souter,Michael,Perth Road Runners,M,01:30:27
47,Cameron,Angus,Lochaber AC,M,01:30:32
48,Berry,Hannah,Dundee University,F,01:31:04
49,Ord,Steven,Deeside Runners,M50,01:32:43
50,Watson,Rachel,Highland HR,F,01:32:53
51,Wilkinson,Chris,Highland HR,M,01:33:03
52,Morrison,Struan,Unattached,M,01:33:27
53,Janowski,Krzysztof,Unattached,M,01:33:46
54,Wolfe,Patrick,Unattached,M50,01:33:48
55,Omand,Elaine,Cosmics,,01:33:55
56,Chapman,Andrew,Cosmics,M40,01:33:57
57,Henderson,Katie,Deeside Runners,F40,01:34:18
58,Allison,Graham,Unattached,M,01:34:26
59,Marszalek,Jakub,Unattached,M,01:34:34
60,Harrison,David,Unattached,M,01:34:57
61,Meldrum,Marie,Lochaber AC,F40,01:35:03
62,Blackhall,Amanda,Lochaber AC,F50,01:35:24
63,Hall,Andy,Highland HR,M40,01:35:31
64,Little,Rachel,Insch TRC,F40,01:37:16
65,Pizon,Daniel,Unattached,M,01:37:44
66,White,Georgia,Lochaber AC,F,01:37:53
67,MacDonald,Kira,Lochaber AC,F,01:37:57
68,Battersby,Bruce,Unattached,M40,01:37:58
69,Findlay-Robinson,Rachel,Westerlands CCC,F,01:38:07
70,Woolhead,Sam,Unattached,M,01:38:48
71,Taylor,Gordie,Highland HR,M50,01:39:48
72,Wilson,Neil,Scottish MC,M50,01:40:20
73,Ball,James,Carnethy ,M,01:40:32
