RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Marshall,Brian,HELP,M40,0:53:48
2,Wiseman,Bob,Ochil Hill Runners,M,0:54:37
3,Rawlinson,Stephen,Lochtayside,M,0:55:41
4,Mudge,Angela,Carnethy,F40,0:55:51
5,Davis,Adrian,Lomond Hill Runners,M50,0:58:14
6,Hammond,John,Carnethy,M,0:58:19
7,Prasad,Elke,Squadra Porcini,F,0:58:31
8,Theaker,Damien,Westerlands,M50,1:01:24
9,Watson,Dan,Lochtayside,M40,1:04:34
10,Simpson,Stuart,Stornoway AC,M40,1:05:05
11,Gunn,Tarquin,Lochaber AC,M,1:05:11
12,McLeod,Carolyn,Grampian Orienteers,F40,1:06:10
13,Lonn,Michael,Lomond Hill Runners,M,1:06:18
14,Weir,Jonathan,Unattached,M,1:07:19
15,Peters,Steven,Dundee Road Runners,M,1:09:45
16,Shaw,Trevor,Lochtayside,M40,1:10:00
17,Ackesjo,Jan,Lomond Hill Runners,M,1:10:26
18,Campbell,Brian,Lochaber AC,M,1:10:38
19,Clutterbuck,Dan,Unattached,M,1:10:47
20,McLean,Herbie,Lochtayside,M60,1:11:08
21,Keaveney,Marcus,Lomond Hill Runners,M,1:11:20
22,Duncan,David,Ochil Hill Runners,M50,1:11:23
23,Brennan,Brian,Westerlands,M50,1:11:27
24,Bowman,Angus,Lomond Hill Runners,M,1:11:58
25,Grace,Paul,Perth Road Runners,M,1:12:36
26,Morrison,Gordon,Strathearn Harriers,M,1:13:39
27,Schneider,Mike,Unattached,M,1:14:00
28,Menhennet,Christine,Westerlands,F50,1:17:34
29,Drozdowicz,Marie Louise,Elswick Harriers,F,1:18:39
30,Gaff,Melanie,Wester Ross Athletics,F,1:20:21
31,Midgley,Peter,Westerlands,M50,1:20:21
32,Graham,Alan,Lomond Hill Runners,M,1:21:15
33,Anderson,Barry,Ochil Hill Runners,M,1:21:39
34,McInally,John,Westerlands,M40,1:22:18
35,Piper,Claire,Highland Hill Runners,F,1:22:43
36,Coyle,Caroline,Unattached,F,1:22:59
37,Kennedy,Nancy,Lochaber AC,F,1:24:14
38,Bowman,Jean,Lomond Hill Runners,F50,1:26:14
39,MacPherson,Helen,Westerlands,F50,1:26:23
40,Stapley,Tony,Portobello,M60,1:32:20
41,Forster,Kate,Lochtayside,F,1:35:05
42,Watts,Jane,Lochtayside,F,1:43:17
43,Weir,Samantha,Unattached,F,1:47:49
44,Anderson,Morag,Unattached,F,1:47:49
