RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Waldie,James,HBT,M,0:42:06
2,Fay,Thomas,Shettleston Harriers,M,0:42:16
3,Smith,Tom,Lochaber AC,M,0:43:00
4,Wright,Andrew,PH Racing,M,0:43:03
5,Johnston,Fergus,Carnethy,M,0:43:50
6,Green,Gareth,Portobello,M,0:44:41
7,Campbell,Graeme,Ochil Hill Runners,M,0:45:27
8,Harris,Mark,Fife AC,M,0:46:17
9,Buchanan,Catriona,Ochil Hill Runners,F,0:46:39
10,Mooney,Edel,Ochil Hill Runners,F,0:47:41
11,Adkin,Scout,Ambleside,F,0:50:39
12,Boyd,Euan,Carnethy,M,0:51:22
13,Preiss,Alastair,Ochil Hill Runners,M,0:53:58
14,McCulloch,Angus,Kinross Road Runners,M,0:56:13
15,Calothis,Marinos,Westerlands,M,0:56:18
16,Graves,Philip,Unattached,M50,0:56:56
17,Junnier,Beryl,Ochil Hill Runners,F50,0:57:36
18,Keaveney,Marcus,Lomond Hill Runners,M,1:00:46
19,Baxter,Katy,Ochil Hill Runners,F,1:01:09
20,Duncan,David,Ochil Hill Runners,M50,1:04:39
21,Lee,Phil,Unattached,M,1:08:43
22,Stapley,Tony,Portobello,M60,1:16:48
