FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wright,Jack,Ambleside AC ,M,01:23:12
2,Pulman,Harry,Shettleston Harriers,M ,01:26:26
3,Clarkson,Alex,Shettleston Harriers,M,01:32:11
4,Horne,Allan,Northern Fells RC,M,01:39:53
5,Duncan,Eric,Highland Hill Runners,M50,01:39:54
6,Anderson,Adam,Hartfell Hill Runners,M50,01:44:27
7,McDonald,Alistair,Hartfell Hill Runners,M,01:45:23
8,Park,Luke,Hartfell Hill Runners,M,01:48:12
9,Murphy,Craig,Girvan Harriers,M50,01:50:25
10,Gillies,Sam,Carnethy HRC,M,01:56:50
11,Malcolmson,Craig,Hartfell Hill Runners,M50,01:57:00
12,Hellam,Lorna,Hartfell Hill Runners,F,02:01:02
13,Underwood,Jon,Calder Valley Fell Runners,M50,02:03:38
14,Irving,Roger,Hartfell Hill Runners,M60,02:03:56
15,Caldwell,Mark,Ayr Seaforth AAC,M50,02:07:46
16,Brown,Alec ,Unattached,M,02:15:58
17,Howie,Brian,Carnethy HRC,M70,02:20:51
18,McMillan,Kayleigh,Unattached,F,02:28:55
