RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Robertson,Stuart,Perth Road Runners,M40,0:33:41
2,Hunter,Brodie,Unattached,M,0:34:10
3,Morrison,Catriona,Perth Road Runners,F40,0:35:01
4,Sheridan,Bob,Deeside Runners,M50,0:35:52
5,Mcronald,Andrew,Unattached,M,0:37:28
6,Stewart,Craig,Forfar Road Runners,M40,0:37:56
7,Nicoll,Laura,Unattached,FJ,0:38:40
8,Jennings,Richard,Unattached,M40,0:40:20
9,Clark,Chantel,Forfar Road Runners,F,0:40:25
10,Anderson,Laurie,Lomond Hill Runners,M50,0:41:16
11,Taylor,Gordie,Lochaber AC,M50,0:41:21
12,Thomson,Fabien,Perth Road Runners,F50,0:41:43
13,Entwistle,Marie,Deeside Runners,F40,0:41:47
14,Forte,Phil,Dundee Hawkhill,M60,0:43:18
15,Duncan,David,Ochil Hill Runners,M60,0:44:20
16,Keenan,Jimmy,Forfar Road Runners,M50,0:46:10
17,Milne,Ron,Forfar Road Runners,M50,0:46:25
18,Davidson,Iain,Unattached,M,0:48:10
19,Milne,Elizabeth,Forfar Road Runners,F50,0:48:16
20,Grewar,Lucy,Forfar Road Runners,F,0:49:15
21,Watson,Graeme,Forfar Road Runners,M50,0:49:43
22,Fraser,Ronald,Dundee Road Runners,M50,0:50:04
23,Davidson,Stewart,Fife AC,M60,0:55:28
24,Clark,Sarah,Forfar Road Runners,F,0:56:58
