RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Chepelin,Oleg,HBT,M,2:46:36
2,Fallas,Andrew,Carnethy,M,2:52:18
3,Whitlie,Stewart,Carnethy,M40,2:52:19
4,Harris,Mark,Fife AC,M40,2:52:22
5,Simpson,Peter,Carnegie Harriers,M50,3:00:29
6,Mattocks,Craig,Gala Harriers,M,3:04:11
7,Godfree,Dave,Forth Valley Orienteers,M,3:04:35
8,Poll,Bruce,Lochaber AC,M,3:06:45
9,Hensman,Will,Central AC,M,3:08:20
10,Priestley,Andrea,Ochil Hill Runners,F40,3:09:14
11,Upson,Chris,Westerlands,M40,3:12:25
12,Nash,Graham,Carnethy,M40,3:12:42
13,Davis,Adrian,Lomond Hill Runners,M40,3:17:54
14,Love,Craig,Dundee Hawkhill,M,3:19:23
15,Whitaker,Jonathan,Ilkley Harriers,M40,3:19:45
16,Kitchin,Andy,Edinburgh RC,M40,3:20:40
17,Goulson,Dave,Unattached,M40,3:21:47
18,Gordon,Claire,HBT,F,3:22:19
19,Hynd,Wull,Moorfoot Runners,M40,3:23:11
20,Kirby,Graham,Fife AC,M40,3:23:14
21,Heron,Gregor,Carnethy,M40,3:23:36
22,Matthews,Steve,Dundee Hawkhill,M,3:23:44
23,Cassells,Derek,Carnegie Harriers,M,3:24:49
24,Johns,Andy,Kinross Road Runners,M,3:26:20
25,Jenkins,Kate,Gala Harriers,F,3:26:46
26,King,Steven,Carnegie Harriers,M,3:27:00
27,Anderson,Laurie,Lomond Hill Runners,M50,3:27:42
28,Higginbottom,Jacqui,Carnethy,F40,3:29:23
29,Patterson,Jim,Newcastle AC,M60,3:30:02
30,Darlow,Tim,Gala Harriers,M,3:31:04
31,Homewood,Ellen,Westerlands,F,3:33:24
32,Rogers,David,Westerlands,M40,3:36:46
33,Connor,Julia,Unattached,F,3:36:56
34,Mitchell,Dave,Dundee Hawkhill,M40,3:37:16
35,Short,Kenny,Teviotdale Harriers,M40,3:37:42
36,Baxter,Grant,Ochil Hill Runners,M,3:37:45
37,Whitaker,Helene,Ilkley Harriers,F40,3:38:10
38,Malia,David,Mercia,M40,3:38:30
39,Duncan,David,Ochil Hill Runners,M50,3:40:20
40,Donnelly,John,Westerlands,M40,3:41:15
41,Robertson,Adrian,Unattached,M,3:41:42
42,Reynolds,Colin,Carnegie Harriers,M,3:42:06
43,Tinsley,Matt,Unattached,M,3:42:14
44,Macmillan,Susannah,Unattached,F40,3:42:33
45,Burt,Louise,Fife AC,F40,3:43:54
46,Weir,Jonathan,Unattached,M,3:44:07
47,Gorgas,Steffen,Westerlands,M40,3:44:08
48,Rawlik,Konrad,Carnethy,M,3:44:37
49,Barrie,Stewart,HBT,M40,3:45:45
50,Dickson,David,Westerlands,M50,3:46:20
51,Campbell,Neil,Carnethy,M40,3:48:28
52,Adams,Keith,Westerlands,M50,3:53:45
53,Williams,Rupert,Cosmics,M40,3:55:58
54,Brennan,Brian,Westerlands,M50,4:00:36
55,Mackie,Peter,Shettleston Harriers,M,4:04:27
56,Hepburn,Tommy,Corstorphine,M50,4:06:44
57,Thompson,Fabienne,Perth Road Runners,F40,4:06:45
58,Gall,Allan,Central AC,M50,4:07:07
59,Brown,Jamie,HBT,M,4:07:26
60,Brett,Gill,Central AC,F40,4:07:42
61,Sword,Lawrence,Unattached,M40,4:07:57
62,Duke,Alasdair,Westerlands,M,4:09:34
63,Mitchell,Neill,Fife AC,M40,4:09:59
64,Browne,Matthew,Ochil Hill Runners,M,4:11:07
65,Nash,Simon,Ochil Hill Runners,M40,4:11:47
66,Richardson,Matt,Lothian,M40,4:14:31
67,Yearsley,Simon,Unattached,M40,4:20:54
68,Yearsley,Mark,Cumberland Fell Runners,M40,4:20:55
69,Martin,Ron,Ochil Hill Runners,M40,4:21:45
70,Macaulay,Allan,Carnegie Harriers,M50,4:21:50
71,Laird,Fraser,Westerlands,M,4:24:04
72,Love,Charlie,Dundee Hawkhill,M60,4:26:45
73,West,Alison,Carnegie Harriers,F50,4:34:01
74,Jelly,Ewan,Perth Road Runners,M,4:42:16
75,Crewe,Ruth,Westerlands,F,4:42:16
76,Ferguson,Allan,Forfar Road Runners,M,4:42:17
77,Clunas,Gillian,Cosmics,F50,4:58:55
78,Howie,Brian,Carnethy,M50,5:04:28
79,Irving,John,Dundee Road Runners,M,5:10:20
80,Oliver,Chris,HBT,M60,5:10:22
81,Sinclair,Melanie,Unattached,F,5:16:10
82,Hamer,John,Westerlands,M40,5:16:14
83,Stedham,Rebecca,Unattached,F,5:16:15
84,Stakes,David,Unattached,M40,5:32:02
