RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Haines,Hector,HBT,M,2:27:37
2,Fallas,Andrew,Carnethy,M,2:31:36
3,Sullivan,Matthew,Shettleston Harriers,M,2:33:00
4,Anthony,Alasdair,Ochil Hill Runners,M,2:38:29
5,Richmond,Kenny,Shettleston Harriers,M40,2:39:34
6,Harris,Mark,Fife AC,M40,2:40:34
7,Eiser,Dave,Ochil Hill Runners,M,2:42:51
8,Reid,Michael,Carnethy,M,2:46:52
9,Manners,Will,Strathearn Harriers,M40,2:47:42
10,Hutchinson,Charles,HBT,M,2:51:00
11,van Gompel,Roger,Dundee Hawkhill,M40,2:51:27
12,Gay,Jon,Lochaber AC,M,2:51:46
13,Upson,Chris,Westerlands,M40,2:54:18
14,Smith,Stuart,Cosmics,M,2:54:34
15,Paris,Jasmin,Carnethy,F,2:54:58
16,Warman,Julian,HBT,M40,2:55:39
17,Walker,Iain,Westerlands,M,2:56:23
18,Scott,Vivian,Unattached,M,2:58:17
19,Naylor,Donald,HBT,M40,2:59:29
20,Morgan,Charlotte,Carnethy,F,2:59:33
21,Buchanan,Catriona,Ochil Hill Runners,F,2:59:40
22,Robertson,Shona,Shettleston Harriers,F40,3:00:23
23,Beaven,Ally,Highland Hill Runners,M,3:01:18
24,Camp,Theophile,Team Tecnica,M,3:03:59
25,Love,Craig,Dundee Hawkhill,M40,3:04:30
26,Breckenridge,Bill,Shettleston Harriers,M40,3:04:38
27,Andersson,Jonas,Carnethy,M,3:04:42
28,Best,Steven,Carnethy,M,3:05:17
29,Gordon,Claire,HBT,F,3:05:20
30,White,David,Kilmarnock Harriers,M40,3:06:49
31,MacDonald,Grant,Garscube Harriers,M,3:06:50
32,Mykura,Jill,Carnethy,F,3:06:51
33,Gilkison,Alan,Westerlands,M40,3:07:16
34,Taylor,Graeme,Edinburgh AC,M,3:07:30
35,Ackland,Graeme,Lothian,M50,3:07:33
36,Campbell,Graeme,Ochil Hill Runners,M,3:07:39
37,Gilmore,Iain,Carnethy,M,3:08:00
38,Fallas,Helen,Carnethy,F,3:08:13
39,Davis,Matt,Carnethy,M40,3:08:29
40,Mackie,Peter,Shettleston Harriers,M,3:09:31
41,Jackson,Chris,Pennine Fell Runners,M,3:09:40
42,Welsh,Ali,Bowland Fell Runners,M50,3:09:57
43,Craighead,Scott,Carnethy,M,3:10:10
44,Ball,Duncan,Penicuik Harriers,M50,3:10:16
45,Malcolm,Stuart,Highland Hill Runners,M40,3:10:33
46,Stewart,Gordon,Highland Hill Runners,M50,3:10:37
47,Wilson,Stewart,Highland Hill Runners,M40,3:10:37
48,Buret,Hadrien,Carnethy,M,3:10:38
49,Cassells,Derek,Carnegie Harriers,M,3:11:11
50,Binnie,John,Lochaber AC,M40,3:11:29
51,Smith,Alan,Deeside Runners,M50,3:12:30
52,Boyd,Euan,Carnethy,M,3:12:45
53,Heron,Gregor,Carnethy,M40,3:13:36
54,Paterson,Ewan,Highland Hill Runners,M60,3:14:52
55,Tullie,John,Teviotdale Harriers,M50,3:15:45
56,Smith,Bruce,Carnethy,M40,3:15:54
57,McClelland,Morag,HBT,F,3:16:04
58,Cowan,David,Fife AC,M40,3:16:07
59,Nash,Graham,Carnethy,M40,3:16:33
60,Kirby,Graham,Fife AC,M40,3:17:07
61,Rennie,Nick,Unattached,M40,3:17:20
62,Malcolm,John,Carnethy,M,3:18:07
63,Stewart,Gregor,Westerlands,M,3:18:50
64,Cooper,Brian,Perth Road Runners,M,3:19:18
65,Davidson,Simon,Unattached,M,3:19:28
66,Simpson,Peter,Carnegie Harriers,M50,3:19:46
67,Cox,Alistair,Tinto Hill Runners,M,3:19:48
68,Hardie,James,Carnethy,M,3:19:55
69,Bass,Owen,Solway,M50,3:19:58
70,Taylor,Robert,EUMC,M,3:20:07
71,Anthony,Eilidh,HBT,F,3:20:17
72,Harrington,Patrick,Carnethy,M,3:20:59
73,Watson,Dan,Lochtayside,M40,3:21:42
74,Robertson,Ally,Carnethy,M,3:21:58
75,Osman,Richard,Penicuik Harriers,M,3:22:11
76,Pryde,Gordon,Lomond Hill Runners,M50,3:22:39
77,Zeiner,Karl,Harmeny AC,M,3:23:40
78,Bartlett,Pat,Interlopers,M40,3:25:09
79,Oldham,Veronique,Cosmics,F40,3:25:15
80,Earle,Paddy,Tinto Hill Runners,M50,3:25:20
81,Mitchell,Dave,Dundee Hawkhill,M50,3:26:48
82,Addy,Stephen,Cosmics,M,3:26:49
83,Smith,F,Unattached,M,3:27:29
84,Middlemiss,Tom,Carnethy,M,3:27:39
85,Matthews,Steve,Dundee Hawkhill,M40,3:27:46
86,Longmore,Rory,Hartfell HRC,M50,3:28:01
87,Moyes,Angus,Unattached,M,3:28:04
88,Lang,Richard,Cosmics,M40,3:28:07
89,McCall,Tim,Norham RC,M50,3:28:08
90,Gilmore,Neil,Carnethy,M40,3:28:25
91,Davies,Chris,Carnethy,M40,3:28:56
92,Rodwell,Damon,Border Search and Rescue,M40,3:29:15
93,Higginbottom,Jacqui,Carnethy,F40,3:29:29
94,Patterson,Robert,Unattached,M,3:29:31
95,Kelly,Graham,Westerlands,M40,3:29:34
96,Wheater,James,Unattached,M,3:30:55
97,Miller,Stephen,Carnethy,M,3:31:03
98,Lubbers,Thijs,Unattached,M,3:31:04
99,Strachan,Alan,Unattached,M40,3:31:10
100,Young,Neil,Fife AC,M40,3:31:35
101,Brooks,Mike,Penicuik Harriers,M40,3:32:06
102,Stark,Ian,Unattached,M40,3:32:07
103,Henry,Graham,Portobello,M40,3:32:10
104,Ward,Dave,HBT,M,3:32:34
105,Hawkins,Ian,Fife AC,M40,3:32:38
106,Blair-Fish,John,Carnethy,M60,3:32:59
107,Clements,Gordon,Bellahouston RR,M40,3:33:25
108,Larmour,Colin,Cosmics,M40,3:33:34
109,Evans,Neah,Westerlands,F,3:33:36
110,Duff,John,Northumberland FR,M40,3:33:48
111,Fraser,Billy,Northumberland FR,M50,3:34:07
112,Quigley,James,Unattached,M,3:34:21
113,Ball,Matthew,Carnethy,M,3:34:21
114,Wilson,Rob,Penicuik Harriers,M40,3:34:38
115,Oliver,Alex,Carnethy,M40,3:34:48
116,Macrae,Donald,Unattached,M,3:35:32
117,Bremner,Alan,Newhaven Harbour Tri Club,M50,3:35:46
118,Wilson,Alan,Tinto Hill Runners,M50,3:36:46
119,Riddell,Duncan,Westerlands,M40,3:37:18
120,Creber,Maggie,Carnethy,F50,3:37:22
121,Morant,Philip,Unattached,M40,3:37:57
122,Greig,David,Carnegie Harriers,M40,3:37:59
123,Poolman,Ian,Glenrothes Tri Club,M,3:38:06
124,Jarvis,James,HBT,M40,3:38:39
125,Finlay,Alayne,Ochil Hill Runners,F,3:38:50
126,MacIntyre,Jacqueline,Carnegie Harriers,F,3:39:58
127,Kidd,Richie,Unattached,M,3:40:16
128,Donnelly,John,Westerlands,M40,3:41:14
129,Kiely,Tom,Edinburgh RC,M40,3:41:40
130,Cameron,Gordon,Carnethy,M50,3:42:39
131,Calothis,Marinos,Westerlands,M40,3:43:17
132,Crewe,Ruth,Westerlands,F,3:43:18
133,Moffat,John,Highland Hill Runners,M50,3:43:52
134,Watson,Gordon,Dundee Hawkhill,M60,3:43:59
