RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Simpson,Robert,Shettleston Harriers,M,1:11:06
2,Waldie,James,HBT,M,1:11:09
3,Alexander,Sam,Westerlands,M,1:13:08
4,Stewart,Gregor,Westerlands,M,1:16:03
5,Knox,Thomas,Anster Haddies,M,1:17:16
6,Gilmore,Iain,Carnethy,M,1:17:20
7,Sedman,Eliot,Carnethy,M,1:21:44
8,Buchanan,Catriona,Ochil Hill Runners,F,1:23:39
9,Muir,Jonny,Carnethy,M,1:23:48
10,Sharp,Brian,Ochil Hill Runners,M,1:24:33
11,Chalk,Giles,Ochil Hill Runners,M,1:24:39
12,Scott,Dominic,Unattached,M,1:24:57
13,Beattie,James,Unattached,M40,1:25:01
14,Sanderson,Stuart,Penicuik Harriers,M50,1:25:36
15,Gilmore,Neil,Carnethy,M50,1:27:03
16,Hutchinson,Chris,Unattached,M,1:27:31
17,Bowers,William,Ochil Hill Runners,M,1:27:44
18,Simpson,Peter,Carnegie Harriers,M50,1:27:56
19,Spalding,Ross,Ochil Hill Runners,M40,1:28:58
20,Price,Aron,Westerlands,M,1:29:02
21,Vasepuru,Tom,Ochil Hill Runners,M,1:30:22
22,McCall,Tim,Norham RC,M50,1:30:23
23,Henderson,Scott,Unattached,M,1:31:01
24,Wilson,Rob,Penicuik Harriers,M40,1:31:27
25,Ashworth,James,Ochil Hill Runners,M40,1:32:09
26,King,Steven,Carnegie Harriers,M40,1:32:11
27,Davie,Kevin,Carnegie Harriers,M,1:32:20
28,White,David,Kilmarnock Harriers,M40,1:33:08
29,MacQueen,Douglas,Carnethy,M,1:33:12
30,McKiddie,Christopher,Westerlands,M,1:33:17
31,Bloodworth,Jack,Ochil Hill Runners,M,1:35:05
32,Turnbull,Les,Norham RC,M60,1:37:24
33,Lynch,Mike,Carnethy,M40,1:37:57
34,Hopkins,Claire,Carnethy,F,1:38:02
35,Newman,Miles,Deeside Runners,M50,1:38:12
36,Hetherington,Michelle,Carnethy,F50,1:39:10
37,McNeil,Gordon,Wee County Harriers,M50,1:40:21
38,Atkin,David,Westerlands,M50,1:40:30
39,Scott,David,Ochil Hill Runners,M60,1:41:18
40,Kealey,Philip,Unattached,M40,1:41:45
41,Browne,Matthew,Ochil Hill Runners,M40,1:41:48
42,Fitzpatrick,Pat,Ochil Hill Runners,M60,1:43:50
43,Mill,John,Dundee Road Runners,M50,1:44:31
44,Forte,Phil,Dundee Hawkhill,M60,1:45:43
45,Douglas,Alastair,Unattached,M40,1:46:33
46,Munro,Frazer,Kinross Road Runners,M40,1:47:42
47,Murphy,Joanna,Carnegie Harriers,F,1:50:16
48,Millar,Jonathan,Carnegie Harriers,M,1:50:18
49,Eadie,Gordon,Carnethy,M50,1:50:34
50,Hernes,Maya,Westerlands,F,1:50:34
51,Thomson,Iain,Strathearn Harriers,M60,1:51:18
52,Halliday,William,Mid Argyll Tri & Cycle Club,M50,1:51:31
53,Crawford,Ross,Unattached,M,1:52:01
54,Douglas,George,Westerlands,M50,1:54:18
55,Campbell-Swan,Claire,Wee County Harriers,F,1:55:11
56,Wilson,Andrea,Penicuik Harriers,F40,1:56:43
57,Shemilt,Jim,Ochil Hill Runners,M60,1:59:55
58,Kajanus,Antti,Unattached,M,2:00:58
59,Fraser,Ronald,Dundee Road Runners,M50,2:01:32
60,Downie,Chris,Penicuik Harriers,M50,2:01:51
61,Fleming,Morna,Pitreavie,F60,2:04:33
62,Davidson,Stewart,Fife AC,M60,2:04:38
63,Frankl,Steve,Unattached,M,2:05:08
64,Smithard,Phil,Carnegie Harriers,M60,2:05:28
65,King,Alex,Ochil Hill Runners,M50,2:05:35
66,Tunstall,Duncan,Deeside Runners,M50,2:06:17
67,Oliver,Chris,HBT,M70,2:06:20
68,May,Timothy,ESOC,M50,2:06:30
