RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Simpson,Robbie,Deeside Runners,M,0:33:17
2,Whitehead,Dan,Deeside Runners,M,0:35:30
3,Greig,Kyle,Metro Aberdeen,M,0:36:28
4,Harris,Mark,Fife AC,M40,0:36:39
5,Rogan,Paul,Moray Road Runners,M40,0:36:50
6,Anderson,Iain,Dundee Hawkhill,M40,0:38:26
7,Lorimer,Hayden,HBT,M,0:38:30
8,Bennett,Lee,Northumberland FR,M40,0:39:09
9,Findlay,Roger,Unattached,M,0:39:30
10,Kerridge,Donald,Deeside Runners,M40,0:40:24
11,Oldham,Veronique,Cosmics,F40,0:41:09
12,Sheridan,Bob,Deeside Runners,M40,0:41:21
13,Larmour,Colin,Cosmics,M40,0:41:56
14,Henry,Peter,Deeside Runners,M,0:42:23
15,Hirst,David,Deeside Runners,M40,0:42:33
16,Smith,Stuart,Cosmics,M,0:42:34
17,McLeod,Carolyn,Grampian Orienteers,F40,0:42:53
18,Hughes,Gary,Deeside Runners,M,0:42:55
19,Armitage,Sonia,Cosmics,F40,0:43:37
20,Pearce,Simon,Cosmics,M,0:43:55
21,MacKenzie,Ruth,Deeside Runners,F40,0:44:03
22,McKendrick,Scott,North Ayrshire AC,M40,0:44:22
23,Irvine,Rob,Cosmics,M40,0:46:43
24,Wolfe,Ruth,Metro Aberdeen,F40,0:46:49
25,Morgan,Dougal,Cosmics,M40,0:46:47
26,Milne,Graham,Unattached,M50,0:46:57
27,Reid,Colin,Cosmics,M40,0:47:17
28,Charlton,Keith,Aberdeen AAC,M40,0:48:17
29,Mackay,Mike,Unattached,M,0:48:36
30,Armitage,Rachel,Inverness Harriers,F,0:48:44
31,Thompson,Craig,Unattached,M,0:49:13
32,Clark,David,Garioch Road Runners,M,0:50:27
33,Oliver,David,Deeside Runners,M50,0:50:42
34,Waddell,Roland,Unattached,M50,0:50:54
35,Larmour,Pauline,Cosmics,F40,0:51:08
36,Burn,Stewart,Forres Harriers,M50,0:51:35
37,McAdam,Pauline,Teviotdale Harriers,F50,0:51:43
38,Stewart,Simon,Unattached,M40,0:52:01
39,Taylor,Colin,Cosmics,M40,0:52:06
40,Mackay,Fiona,Cosmics,F40,0:56:21
41,Smith,Ann,Cosmics,F40,0:57:54
42,McLaughlin,Pat,Westerlands,F50,0:59:51
43,Mulholland,Yvonne,Unattached,F,1:00:33
44,Bracegirdle,Liz,Cosmics,F50,1:00:52
45,O`Sullivan,Sarah,Cosmics,F,1:08:21
