FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Mcinally,Ralph,,M,01:05:48
2,Oliver-Jones,Ruairdh,,M,01:06:55
3,Gard-Storry,Bobby,,M,01:07:57
4,Johnston,Fergus,,M,01:08:38
5,Williamson,Clyde,,M,01:09:23
6,Ball,Duncan,,M60,01:15:41
7,McFadden,Erin,,F,01:15:55
8,Smith,Alan,,M60,01:16:00
9,Cunningham,Richie,,M50,01:16:17
10,Williamson,Jason,,M50,01:17:29
11,Ireland,Katie,,F,01:17:50
12,Irvine,Donald,,M,01:17:53
13,Templeman,Simon,,M50,01:19:23
14,Campbell,Iain,,M50,01:19:57
15,Gillanders,Charles,,M40,01:20:49
16,Rayne,James,,M,01:21:40
17,Brown,Reuben,,M40,01:22:31
18,Taylor,David,,M,01:22:46
19,Bosch,Michiel,,M40,01:24:55
20,Mathieson,Graeme,,M,01:25:02
21,Doidge-Harrison,Steve,,M50,01:25:45
22,Walker,Paul,,M40,01:25:49
23,Beveridge,Keith,,M40,01:25:52
24,Kerr,Mike,,M,01:25:58
25,Blackley,Lisa,,F40,01:28:49
26,McDonald,Calum,,M40,01:29:45
27,Cruickshank,Greig,,M60,01:32:04
28,Heath,Kevin,,M60,01:35:22
29,Aarons,Jamie,,F40,01:35:38
30,Ross,Trevor,,M40,01:44:03
31,Smith,Harry,,M50,01:48:00
32,Valentine,Russ,,M50,01:48:07
33,Aspinall,Elspeth,,F,01:48:47
34,Cleary,Richard,,M50,01:49:57
35,Williamson,Stuart,,M50,01:49:58
36,Wakely,Sarah,,F,02:00:22
37,Dougherty,Chris,,M50,02:03:26
38,Lowe,Alan,,M40,02:03:27
39,Dick,Alan,,M50,02:09:03
40,Melville,Stuart,,M50,02:09:09
