RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Lennox,Gordon,Inverness Harriers,M,0:26:14
2,Blake,Henry,Highland Hill Runners,M,0:26:46
3,Wilby,David,Highland Hill Runners,M,0:26:59
4,Nicolson,William,Highland Hill Runners,M40,0:28:12
5,Wilby,Andrew,Highland Hill Runners,M40,0:28:18
6,Whiteside,Gavin,Highland Hill Runners,M,0:28:35
7,Taylor,Luke,Highland Hill Runners,MU20,0:28:42
8,Smith,Alan,Deeside Runners,M50,0:29:09
9,Krogulec,Waldemar,Highland Hill Runners,M,0:29:26
10,Forrest,Stuart,Highland Hill Runners,M,0:29:38
11,Macdonald,Dougie,Highland Hill Runners,M40,0:30:12
12,Cumming,Mike,Highland Hill Runners,M40,0:30:19
13,Worsley,Steven,Inverness Harriers,M50,0:31:14
14,Cowie,Hector,Unattached,M,0:31:49
15,Cowie,Lachlan,Unattached,MU20,0:31:59
16,Fraser,Catriona,Inverness Harriers,F,0:32:13
17,Lyons,Karen,Highland Hill Runners,F40,0:32:52
18,Taylor,Gordie,Lochaber AC,M50,0:33:26
19,Moffat,John,Highland Hill Runners,M50,0:33:32
20,Wilby,Raymond,Highland Hill Runners,M60,0:34:24
21,Mackie,Shona,Highland Hill Runners,F,0:34:30
22,Hall,Jim,Badenoch,M50,0:35:35
23,MacKenzie,Kenneth,Highland Hill Runners,M40,0:35:42
24,Wilby,Sue,Highland Hill Runners,F40,0:36:10
25,Brett,Alex,Highland Hill Runners,M50,0:36:14
26,Maclean,Robert,Ross County AC,M50,0:36:36
27,Henderson,Jenny,Highland Hill Runners,F,0:47:37
