FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Greig,Kyle,Metro Aberdeen,M,00:29:12
2,Brooks,Rob,Unattached,M40,00:29:29
3,Torrance,Peter,Unattached,M40,00:30:36
4,Mosgrove,Neil,Metro Aberdeen,M,00:31:39
5,Littlejohn,Kevin,Deeside Runners,M40,00:32:55
6,Williamson,Jason,Cosmics,M50,00:33:25
7,Johnston,Fergus,Deeside Runners,M40,00:33:30
8,Bolton,Ryan,Unattached,M,00:33:32
9,Croll,David,Deeside Runners,M60,00:33:37
10,Smith,Alan,Deeside Runners,M60,00:34:20
11,Sheridan,Bob,Deeside Runners,M50,00:34:26
12,Pritchett,Martin,Unattached,M50,00:35:01
13,Clark,Eric,Unattached,M,00:35:09
14,More,Dave,Metro Aberdeen,M40,00:36:19
15,Jackson,Kimberley,Unattached,F ,00:37:31
16,Heath,Kevin,Cosmics,M60,00:37:49
17,Jackson,Harry,Unattached,MJ,00:38:30
18,McLelland,Drew,JSK Running Club,M40,00:38:34
19,Baxter,Ros,Deeside Runners,F40,00:38:56
20,Cruickshank,Greig,JSK Running Club,M60,00:39:29
21,Jackson,Anna,Unattached,FJ,00:40:57
22,Hamilton,Ian,Cosmics,M60,00:41:21
23,Katy,May,Unattached,F,00:42:02
24,Oliver,David,Deeside Runners,M60,00:42:56
25,Walker,Jamie,JSK Running Club,M40,00:43:58
26,Paterson,Rachel,JSK Running Club,F50,00:46:33
27,Oliver,Jane,Deeside Runners,F60,00:48:53
28,Jackson,Richard,Unattached,M50,00:49:37
