FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,McInally,Ralph,Unattached,M,00:53:58
2,Barthelmes,Tobias,Keswick AC,M,00:54:57
3,Callan,Tom,Westerlands CCC,M,00:56:05
4,Done,Phil,Unattached,M,00:56:11
5,Morris,Ross,Westerlands CCC,M,00:56:29
6,Foggo,Iain,Lochaber AC,M,00:57:09
7,Cope,David,Howgill Harriers,M,00:57:09
8,Allsop,David,Arran Runners,M40,01:00:57
9,Gard-Storry,Bobby,Ochils HR,M,01:01:33
10,Wiseman,Bob,Ochils HR,M40,01:01:42
11,Reid,Lewis,Unattached,M,01:01:47
12,Adams,David,Unattached,M,01:01:49
13,Henderson,Walter,Shettleston Harriers,M50,01:02:04
14,Anderson,Ali,Unattached,M,01:02:52
15,Dodman,Ben,Lochaber AC,M40,01:05:23
16,McConville,Miles,Unattached,M,01:05:23
17,Brodie,Stuart,Ochils HR,M40,01:06:57
18,Collins,Brian,Unattached,M,01:07:32
19,Wight,Ally,Hardrock Hoodlums,M40,01:08:57
20,Johnstone,Leo,Unattached,M,01:09:17
21,Wheeler,Mark,Hamilton H,M40,01:09:18
22,Gillies,Sam,Carnethy,M,01:09:28
23,Malcolmson,Craig,Hartfell HR,M50,01:09:30
24,Reid,Don,Westerlands CCC,M60,01:11:09
25,Watson,Edward,Unattached,M,01:12:16
26,Banford,Alison,Hartfell HR,F40,01:12:29
27,Mason,David,Linlithgow AC,M50,01:12:35
28,Miller,Raeanne,Unattached,F,01:12:54
29,Jones,Sam,Unattached,M,01:13:36
30,Jobanputra,Claire,Unattached,F,01:15:14
31,Johnston,Stephen,Milburn Harriers,M60,01:15:31
32,Blackley,Lisa,Unattached,F40,01:16:12
33,Sumner,Philip,Helensburgh AAC,M40,01:21:12
34,Brickell,Jack,Unattached,M,01:25:55
35,Ward,Ausrine,Kirkintilloch Olympians,F40,01:26:04
36,Cant,Matthew,Unattached,M,01:26:59
37,Strachan,Paul,Westerlands CCC,M70,01:27:00
38,Pattinson,Robert,Motherwell AC,M50,01:27:05
39,Kelsall,Fiona,Ochils HR,F50,01:27:09
40,Chambers,Andy,Ochils HR,M40,01:27:14
41,Douglas,Lewis,Unattached,M,01:27:29
42,Douglas,Allan,Unattached,M60,01:27:29
43,Anderson,Laurie,Lomond HR,M60,01:27:40
44,Stewart,Emma,Dunoon HR,F40,01:27:41
45,Pugh,Roderick,Kilmarnock Harriers,M60,01:29:00
46,Hogg,Calum,Unattached,M,01:30:38
47,Stakes,David,Westerlands CCC,M50,01:35:02
48,McKeown,Stephen,Milburn Harriers,M50,01:36:52
49,Lawes,Matthew,Helensburgh AAC,M,01:37:06
50,Joshi,Mihir,Unattached,M,01:50:56
