Year,Pos,Name,Club,Cat,Time
1995,1,A Davis,Carnethy,M,2:56:57
1995,2,J Coyle,Carnethy,M,3:00:00
1995,3,D Cummins,Shettleston,M,3:03:08
1995,4,A Ward,Carnethy,M,3:04:45
1995,5,D Hirst,Deeside Runners,M,3:05:23
1995,6,M Flynn,Carnethy,M,3:05:47
1995,7,M Gorman,Westerlands,M,3:09:12
1995,8,N Melville,Livingston & District,M,3:09:52
1995,9,S Taylor,Clayton-le-moors,M,3:11:06
1995,10,B Waldie,Carnethy,M,3:12:28
1995,11,C Eades,Livingston & District,M,3:13:45
1995,12,D Milligan,Solway,M40,3:14:37
1995,13,A Wilson,Dundee Road Runners,M,3:17:05
1995,14,G Woolnough,Kenda,M40,3:19:20
1995,15,R Shaw,Carnethy,M,3:20:01
1995,16,J Blairfish,Carnethy,M40,3:20:24
1995,17,G Simpson,Hunters Bog Trotters,M,3:20:42
1995,18,J Donnelly,Shettleston,M,3:20:52
1995,19,J Holden,Fife AC,M40,3:21:20
1995,20,J Faulkner,Keswick,M,3:21:47
1995,21,J Clark,Ochil HR,M,3:22:04
1995,22,J Tullie,Teviotdale Harriers,M,3:22:06
1995,23,R Macintyre,Clydesdale,M,3:22:16
1995,24,G Armstrong,Haddington ELP,M,3:22:54
1995,25,P Baxter,Westerlands,M,3:23:33
1995,26,C Love,Dundee Road Runners,M,3:24:09
1995,27,J Bowers,Ochil HR,M,3:26:44
1995,28,W Gibson,Carnethy,M,3:28:12
1995,29,S Rivers,Unattached,M,3:28:54
1995,30,D Rogers,Westerlands,M,3:29:59
1995,31,R Greenaway,Ochil HR,M40,3:30:02
1995,32,M Diver,Clydesdale,M,3:30:07
1995,33,D Cryle,Lomond Hill Runners,M,3:30:52
1995,34,T Ross,Fife AC,M40,3:31:30
1995,35,M Stone,Clayton-le-moors,M,3:31:45
1995,36,A Matthewson,Livingston & District,M,3:31:57
1995,37,G Pryde,Lomond Hill Runners,M,3:33:10
1995,38,J Durnin,Dundee Road Runners,M,3:33:49
1995,39,D Shiell,Carnethy,M,3:34:18
1995,40,W Mykura,Carnethy,M,3:35:08
1995,41,R Stout,Carnethy,M,3:36:35
1995,42,C Pryce,Unattached,M,3:37:16
1995,43,P Buchan,Fife AC,M,3:37:41
1995,44,B Landels,Fife AC,M,3:37:43
1995,45,A Morrison,Arbroath Footers,M40,3:38:36
1995,46,E Scott,Westerlands,F,3:38:54
1995,47,J Paxton,Gala Harriers,M40,3:39:29
1995,48,P Forte,Dundee Road Runners,M,3:41:08
1995,49,D Sanderson,Ambleside AC,M,3:43:24
1995,50,P Shaw,Hunters Bog Trotters,M,3:43:44
1995,51,R Williamson,Kings Own Sthrn Brdrs,M,3:45:20
1995,52,N Dyson,Mandal,M,3:45:45
1995,53,J Cairns,Westerlands,F40,3:46:13
1995,54,T Ritchie,Westerlands,M40,3:46:17
1995,55,C Downie,Lothian,M,3:46:26
1995,56,B Hughes,Ochil HR,M40,3:47:07
1995,57,S Ruffel,Carnethy,M40,3:48:08
1995,58,J Littlewood,Scottish Vets,M,3:48:32
1995,59,I Richardson,North Shields Poly,M40,3:48:52
1995,60,A Wanless,Blackhill Bound,M40,3:52:33
1995,61,P Morris,Carnethy,M,3:55:12
1995,62,I Holland,North Shields Poly,M40,3:55:52
1995,63,D Adams,Hamilton Harriers,M40,3:55:55
1995,64,D Farquarson,Arbroath Footers,M,3:56:28
1995,65,L Gorman,Lochaber AC,F40,3:58:59
1995,66,D Macdonald,Lasswade AC,F40,3:59:10
1995,67,A Ives-smith,North Shields Poly,M,3:59:22
1995,68,J Quinn,Unattached,M40,3:59:28
1995,69,M Paxton,Perth Road Runners,M40,3:59:41
1995,70,S Lewsley,Unattached,F40,4:01:17
1995,71,I Donnelly,Law And District,M40,4:01:31
1995,72,J Page,Holmfirth HAC,M40,4:01:34
1995,73,R Garnett,Esoc,M40,4:01:49
1995,74,A Thomson,Lomond Hill Runners,M,4:02:07
1995,75,M Silmon,North Shields Poly,M,4:02:51
1995,76,D Greenlee,Hunters Bog Trotters,M,4:04:04
