RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Richmond,Kenny,Shettleston Harriers,M40,2:59:22
2,Lennox,Jethro,Shettleston Harriers,M40,3:01:32
3,Flanagan,Dessie,Carnethy,M40,3:03:30
4,Britton,James,Carnethy,M,3:04:52
5,Alexander,Sam,Westerlands,M,3:05:47
6,Whitlie,Stewart,Carnethy,M50,3:09:49
7,Keith,Alec,Inverness Harriers,M50,3:13:43
8,Harris,Mark,Fife AC,M40,3:16:17
9,Gorman,Manny,Westerlands,M40,3:18:15
10,Riach,David,Westerlands,M50,3:18:42
11,Johnston,Fergus,Carnethy,M,3:24:06
12,Brown,Andrew,Norham RC,M,3:25:14
13,Cabrera Valdes,Francisco Javier,Highland Hill Runners,M,3:25:34
14,Hamlin,Robert,Westerlands,M,3:28:14
15,Manners,Will,Strathearn Harriers,M50,3:28:27
16,Reid,Michael,Carnethy,M40,3:28:46
17,Harrington,Patrick,Carnethy,M,3:30:02
18,Topalian,Stanley,Westerlands,M,3:31:17
19,Halsall,Steve,Keswick AC,M,3:33:04
20,Cox,Andrew,Moorfoot Runners,M,3:34:33
21,Park,Adam,Ochil Hill Runners,M,3:34:35
22,Pape,Tom,Dark Peak,M40,3:34:39
23,Robertson,Shona,Shettleston Harriers,F40,3:35:49
24,Knox,Jonny,Anster Haddies,M50,3:36:07
25,Williams,Colin,Moorfoot Runners,M40,3:36:56
26,Darlow,Tim,Gala Harriers,M40,3:38:46
27,White,David,Kilmarnock Harriers,M40,3:39:44
28,Gillespie,Gregor,Glasgow Uni H&H,M,3:40:32
29,Scott,Vivian,Unattached,M,3:44:23
30,Ball,Duncan,Penicuik Harriers,M50,3:45:42
31,Cowie,Ross,Unattached,M,3:47:06
32,Montgomery,James,Bellahouston RR,M,3:48:54
33,Henderson,Walter,Shettleston Harriers,M40,3:50:13
34,Anderson,Heather,Fife AC,F,3:51:02
35,Pugh,Roderick,Kilmarnock Harriers,M60,3:53:01
36,Boswell,Greg,Unattached,M,3:53:24
37,McLure,Neil,Carnegie Harriers,M50,3:53:45
38,Gray,Adam,Unattached,M,3:54:50
39,Priestley,Andrea,Ochil Hill Runners,F50,3:55:16
40,Easton,Neil,Stonehaven RC,M,3:56:08
41,Park,Luke,HBT,M,3:56:48
42,Short,Kenneth,Unattached,M50,4:03:15
43,McInnes,Hugh,Edinburgh AC,M40,4:03:45
44,Berry,Alex,Westerlands,F,4:04:38
45,Bussey,Gavin,Unattached,M40,4:08:33
46,White,David,Helm Hill Runners,M40,4:09:17
47,Winter,Chris,Northumberland FR,M,4:10:55
48,Ingram,Richard,Unattached,M40,4:11:06
49,Rolland,Sally,Unattached,F40,4:11:18
50,Ross,Nicola,Corstorphine,F40,4:11:19
51,Pryde,Gordon,Lomond Hill Runners,M50,4:11:32
52,Kelly,Graham,Westerlands,M40,4:14:29
53,Trewartha,Gary,Gala Harriers,M40,4:15:14
54,Duffy,John,Shettleston Harriers,M50,4:16:06
55,Duff,John,Northumberland FR,M40,4:17:27
56,Bain,Emma,Northumberland FR,F40,4:17:32
57,Thomas,Neil,HBT,M40,4:17:34
58,Burnett,Seona,Harmeny AC,F40,4:17:47
59,Scott,David,Ochil Hill Runners,M60,4:17:56
60,Davis,Duncan,Carnethy,M40,4:18:03
61,Cairns,Gillian,Penicuik Harriers,F40,4:18:14
62,Wilson,Alison,Fellandale,F50,4:18:20
63,Taylor,Kenneth,Unattached,M50,4:18:55
64,Magill,Cat,HBT,F,4:19:15
65,Mcronald,Andrew,Unattached,M40,4:20:30
66,Dudchenko,Paul,Linlithgow Harriers,M50,4:21:30
67,Flores,Leyre,Westerlands,F,4:21:54
68,Purves,James,Gala Harriers,M50,4:22:05
69,Scriven,Alice,Unattached,F40,4:24:05
70,Roberts,Jon,Unattached,M40,4:24:53
71,Wise,Helen,Carnethy,F,4:30:46
72,Rees-Jenkins,Jenni,Insch Trail Running Club,F40,4:32:54
73,McMillan,Lorna,Westerlands,F40,4:32:55
74,Horodyski,Piotr,Unattached,M,4:34:01
75,Ritchie,Hilary,Fife AC,F50,4:35:05
76,MacDonald,Gio,Carnethy,M40,4:35:30
77,Fullwood,Andrew,Westerlands,M50,4:37:03
78,Elder,Alan,Moorfoot Runners,M50,4:37:19
79,Telfer,John,Northumberland FR,M50,4:39:23
80,Kammer,Philip,Cosmics,M60,4:40:09
81,Waugh,Andrew,Unattached,M40,4:41:27
82,Howett,Andrew,Carnethy,M,4:44:01
83,Wray,Alex,Stirling Tri Club,M,4:44:17
84,Clark,Laura,Unattached,F,4:44:19
85,Scott,Jocelyn,Fife AC,F60,4:44:51
86,Bee,Gordon,Unattached,M40,4:48:25
87,Young,Heather,Carnethy,F,4:48:40
88,Ascroft,Lorna,Carnethy,F,4:48:49
89,Greens,Michael,Penicuik Harriers,M,4:53:28
90,Walsh,David,Dunoon Hill Runners,M50,4:53:51
91,Kemp,Sadie,Penicuik Harriers,F40,4:56:51
92,Villalain,Ruben,Edinburgh RC,M,5:00:58
93,Fowler,Nigel,Fife AC,M40,5:02:21
94,Topalian,Lucy,Westerlands,F,5:08:36
95,Marshall,Gilly,Penicuik Harriers,F40,5:09:00
96,Lees,Gary,Unattached,M,5:09:53
97,Strong,Zoe,Unattached,F,5:12:05
98,Munro,Allan,Unattached,M40,5:23:28
99,Keillor,Malcolm,Unattached,M40,5:23:38
100,Webb,Alastair,Unattached,M50,5:33:35
