RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Espie,James,Deeside Runners,M,0:28:41
2,Todd,Finlay,Glasgow Uni H&H,M,0:29:32
3,Campbell,Alasdair,Cambuslang Harriers,M,0:29:37
4,Sedman,Eliot,Carnethy,M40,0:30:11
5,Callan,Thomas,Westerlands,M,0:30:38
6,Carter,Justin,Cambuslang Harriers,MV40,0:31:10
7,Grant-Pantrey,Chris,Shettleston Harriers,M,0:31:11
8,Paton,Iain,Glasgow Caledonian University,M,0:31:34
9,Richmond,Kenny,Shettleston Harriers,M40,0:31:44
10,Young,Del,Garscube Harriers,M,0:31:52
11,Merry,Andrew,Glasgow Uni H&H,M,0:32:07
12,Connaghan,John,Shettleston Harriers,MV40,0:32:09
13,Boyne,Grant,Shettleston Harriers,M,0:32:24
14,Beresford,Will,Westerlands,M,0:32:30
15,Bowden,James,HBT,M,0:32:32
16,Stubbs,Harrison,Westerlands,M,0:32:47
17,Callender,James,Westerlands,M,0:32:54
18,O`Brien,Christopher,Corstorphine,M,0:33:07
19,Cowie,Martyn,Unattached,M,0:33:19
20,MacLeod,James,Garscube Harriers,M,0:33:23
21,Cruickshanks,Ross,Shettleston Harriers,M,0:33:27
22,Warman,Julian,HBT,M50,0:33:28
23,Elliotte,Tom,Westerlands,M,0:33:54
24,Marshall,Brian,HELP,M40,0:34:19
25,MacInnes,Alasdair,Westerlands,M,0:34:22
26,Barton,Neill,Unattached,M,0:34:29
27,McCall,Andrew,Greenock Glenpark Harriers,M,0:34:58
28,MacDonald,Grant,Garscube Harriers,MV40,0:35:22
29,Gardner,Simon,Clydeside Orienteers,M,0:35:30
30,Reid,Lewis,Unattached,M20,0:35:49
31,Campbell,Alan,Unattached,MV40,0:35:53
32,Sinclair,Lewis,Glasgow Caledonian University,M,0:36:06
33,Anderson,Colin,Unattached,M,0:36:08
34,Doherty,Daniel,Greenock Glenpark Harriers,M,0:36:11
35,Edwards,Andy,Blane Runners,M40,0:36:28
36,Sweeney,Michael,Unattached,MV40,0:36:30
37,Butler,Chris,Westerlands,M,0:36:34
38,McKeever,Russell,Unattached,M,0:36:37
39,Perrie,Craig,Maryhill Harriers,MV40,0:37:05
40,Weir,Jonathan,Unattached,MV40,0:37:16
41,Carruthers,Alex,Glasgow Uni H&H,M,0:37:36
42,McKiddie,Christopher,Westerlands,m,0:37:39
43,Charalambous,Paul,Unattached,M,0:37:43
44,Thurlbeck,Ian,Westerlands,M50,0:37:47
45,Peters,Ella,Westerlands,F,0:37:51
46,Adams,David,Unattached,M,0:38:06
47,Mowat,Rhona,Giffnock North,F,0:38:18
48,McCaffrey,Gordon,Westerlands,M60,0:38:25
49,McParland,Tony,Bellahouston RR,MV50,0:38:34
50,Stewart,Clare,Glasgow Caledonian University,F,0:38:38
51,Reid,Don,Westerlands,m60,0:38:46
52,Anderson,Sean,Unattached,M40,0:38:48
53,Anderson,Ross,Westerlands,M,0:38:54
54,McGeoch,Ross,Bellahouston RR,M40,0:38:54
55,Chetwin,Derek,Matlock AC,M,0:38:58
56,McEwan,Iain,Helensburgh AAC,M40,0:39:00
57,Crawford,Ross,Unattached,MV40,0:39:14
58,Dickson,David,Westerlands,M60,0:39:15
59,McGreevy,Paul,Unattached,MV50,0:39:16
60,Dooner,Creagh,Unattached,MV40,0:39:32
61,Fleming,Rod,Westerlands,M,0:39:41
62,Boyd,Duncan,Garscube Harriers,M,0:39:42
63,Blamire,Joss,Unattached,M,0:39:48
64,Drummond,Suzy,Fusion Triathlon,F40,0:39:52
65,Gilmour,Mairi,Westerlands,F,0:39:56
66,Ballantine,Jamie,Blane Runners,M40,0:39:59
67,Beard,Romy,Westerlands,F,0:40:04
68,Osborne,Alex,Westerlands,M,0:40:07
69,King,Martin,Clydesdale Harriers,M40,0:40:09
70,Furse,Chris,Westerlands,MV50,0:40:12
71,Whittet,Craig,Blane Runners,M40,0:40:23
72,Dunn,Michael,Greenock Glenpark Harriers,MV60,0:40:50
